MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
54475.70000000012	1.6681645889887517e-15	3.943771312647853e-18	9.115183729099485e-16	2.467093226407205e-18	3.9708140261749983e-16	6.451985686975465e-19	7.166913643954628e-16	1.9473444306682325e-18	2.264690635122522e-15	1.6723297167682016e-17	3.5039652250485872e-15	4.2848907202080684e-17	nan	nan
54475.750000000124	1.6936989981745312e-15	3.918442892352058e-18	9.25368068283674e-16	2.455203928944849e-18	4.041708444438046e-16	6.431715136581651e-19	7.286203954132083e-16	1.9350338375667458e-18	2.2891954012199054e-15	1.6506366002184024e-17	3.491564657508557e-15	4.204362871095237e-17	nan	nan
54475.80000000013	1.7162365155345439e-15	3.8905380643819284e-18	9.37650798035516e-16	2.4413517940379413e-18	4.1071793870019006e-16	6.400269044909275e-19	7.393432708511122e-16	1.9203510027074244e-18	2.309120566342781e-15	1.626503674050092e-17	3.474715462122989e-15	4.122426432392895e-17	nan	nan
54475.85000000013	1.7358757391394442e-15	3.8606797613172605e-18	9.484429408271056e-16	2.425933981975001e-18	4.1674819354074296e-16	6.358842136813932e-19	7.489134488144154e-16	1.9035946136374514e-18	2.324642889496942e-15	1.600206051014634e-17	3.4533718008936043e-15	4.0389692856786375e-17	nan	nan
54475.90000000013	1.7527249685132375e-15	3.829452389190687e-18	9.57823346948565e-16	2.409338405713765e-18	4.2228621076984955e-16	6.30864388387959e-19	7.573862644679438e-16	1.885076597716527e-18	2.3359541739261044e-15	1.5720070650797322e-17	3.4275118621439607e-15	3.9540006639886524e-17	nan	nan
54475.950000000135	1.7669004756875884e-15	3.7974072966949845e-18	9.658724600436489e-16	2.3919415755659804e-18	4.2735574144286563e-16	6.250883874690549e-19	7.648183317955709e-16	1.865121972244073e-18	2.3432582313339583e-15	1.542162743695527e-17	3.3971387998598546e-15	3.8676413143419174e-17	nan	nan
54476.00000000014	1.778524874083202e-15	3.7650677426081345e-18	9.72671524205924e-16	2.374104887282258e-18	4.319797444835761e-16	6.1867642422448475e-19	7.712670029050366e-16	1.844067099611753e-18	2.3467679974101393e-15	1.5109259532623155e-17	3.362281630270758e-15	3.7801132328508836e-17	nan	nan
54476.05000000014	1.7877255907473538e-15	3.7329329177049515e-18	9.78301874624193e-16	2.3561702265001642e-18	4.361804443218217e-16	6.117476631923479e-19	7.767898824284363e-16	1.822256882427304e-18	2.346702792238146e-15	1.478550348583023e-17	3.322996050589908e-15	3.691728991413254e-17	nan	nan
54476.100000000144	1.7946334472683734e-15	3.701480833211381e-18	9.828443102170452e-16	2.3384556857179893e-18	4.3997938475430455e-16	6.044202525987751e-19	7.814443950632481e-16	1.800041345698147e-18	2.3432857204720814e-15	1.4452945082772718e-17	3.279365135604429e-15	3.602880611139457e-17	nan	nan
54476.15000000015	1.7993813543799792e-15	3.671170034985416e-18	9.863785466558073e-16	2.3212520448623302e-18	4.4339747720053383e-16	5.9681171583836e-19	7.852874046707853e-16	1.7777719406421073e-18	2.33674120778592e-15	1.4114268644809634e-17	3.2314998583493987e-15	3.514027896182699e-17	nan	nan
54476.20000000015	1.8021031246990563e-15	3.642440123498598e-18	9.889827478692365e-16	2.3048204212010943e-18	4.464550422832313e-16	5.890398462696416e-19	7.883748835567332e-16	1.7557977489571905e-18	2.3272926720479025e-15	1.3772322093854816e-17	3.1795393723758705e-15	3.425686123147567e-17	nan	nan
54476.25000000015	1.8029324071545837e-15	3.6157109565234126e-18	9.907331335261231e-16	2.2893911411179223e-18	4.491718442683615e-16	5.812242704969867e-19	7.90761630594032e-16	1.7344615463331794e-18	2.315160330029429e-15	1.3430206171681282e-17	3.123650986634974e-15	3.3384129851954636e-17	nan	nan
54476.300000000156	1.802001745366568e-15	3.5913801734508375e-18	9.917036592180521e-16	2.2751634003620287e-18	4.515671183821586e-16	5.734886628451555e-19	7.925010367018503e-16	1.7140953707708594e-18	2.3005591433327096e-15	1.3091394319085256e-17	3.0640297616200508e-15	3.252794715907807e-17	nan	nan
54476.35000000016	1.7994417605390823e-15	3.569818311146587e-18	9.91965765137814e-16	2.2623046702382168e-18	4.536595913995652e-16	5.659630450078886e-19	7.936448958548648e-16	1.6950148214610965e-18	2.2836969107720043e-15	1.2759883275885023e-17	3.0008976592619752e-15	3.169431361057248e-17	nan	nan
54476.40000000016	1.7953804573595523e-15	3.551360314609588e-18	9.91588188122698e-16	2.2509480901576126e-18	4.554674962037018e-16	5.587844885439045e-19	7.942432592970487e-16	1.677510780529109e-18	2.2647725188436457e-15	1.2440360226644639e-17	2.9345021909830195e-15	3.0889212204102775e-17	nan	nan
54476.450000000164	1.789942640881001e-15	3.5362913627397984e-18	9.906368303628425e-16	2.241185014197107e-18	4.570085822030992e-16	5.520918504953054e-19	7.94344316132447e-16	1.6618348952892789e-18	2.2439743673550816e-15	1.2138346041862654e-17	2.865114529242241e-15	3.011844535265824e-17	nan	nan
54476.50000000017	1.7832477307895835e-15	3.524752507930436e-18	9.89174534052516e-16	2.2329879395769267e-18	4.583001566619327e-16	5.459813209552527e-19	7.939937994660982e-16	1.6481161359917469e-18	2.2214789938905414e-15	1.1860231544141327e-17	2.7930270771326796e-15	2.938746538666556e-17	nan	nan
54476.55000000017	1.7754072714106895e-15	3.516640510210398e-18	9.872608651049682e-16	2.2261291732279053e-18	4.593590984551873e-16	5.404927265248937e-19	7.932347885116433e-16	1.6363363742946687e-18	2.1974499286061205e-15	1.1613063182321998e-17	2.7185505254898296e-15	2.8701200016675314e-17	nan	nan
54476.60000000017	1.7665280095545917e-15	3.511771473443449e-18	9.849523949717133e-16	2.2203273404610006e-18	4.602018145775317e-16	5.356588897688552e-19	7.9210835266731855e-16	1.626426655801271e-18	2.1720388988240386e-15	1.1403513600651997e-17	2.6420114326024614e-15	2.806366773419963e-17	9.792644967154834e-16	3.403636906185231e-17
54476.650000000176	1.756712239872805e-15	3.509924327217122e-18	9.823027742927202e-16	2.2152894951169127e-18	4.608442371445768e-16	5.315115859523127e-19	7.906536130522506e-16	1.6182851956485479e-18	2.1454143062250776e-15	1.12319177315406e-17	2.5637546810461355e-15	2.7476510197125436e-17	9.78383903909846e-16	3.315693060220823e-17
54476.70000000018	1.7460577036187125e-15	3.510855720454198e-18	9.793627856743567e-16	2.21072625454767e-18	4.613018233778758e-16	5.28078564419161e-19	7.889077768204415e-16	1.6117851772323465e-18	2.1177538864531933e-15	1.1093582717470386e-17	2.4841355551471945e-15	2.6939826014351292e-17	9.774995433140949e-16	3.239678323372904e-17
54476.75000000018	1.734657553314953e-15	3.514310710922639e-18	9.761804139122907e-16	2.2063615556913855e-18	4.615895559744856e-16	5.253786714765328e-19	7.869061868164198e-16	1.606780135992835e-18	2.089221573156322e-15	1.09837407721527e-17	2.4035124766709524e-15	2.6452936255028814e-17	9.76621042736617e-16	3.174947496828619e-17
