# wavelength flux
4328.14651 1.70296e-17
4329.42221 1.71825e-17
4330.68787 1.67951e-17
4331.96357 1.60722e-17
4333.22923 1.57214e-17
4334.49489 1.59728e-17
4335.77059 1.63482e-17
4337.03625 1.64488e-17
4338.31195 1.64835e-17
4339.57761 1.69031e-17
4340.85331 1.73814e-17
4342.11897 1.73510e-17
4343.39467 1.69781e-17
4344.66033 1.67646e-17
4345.92599 1.65715e-17
4347.20169 1.61142e-17
4348.46734 1.54196e-17
4349.74305 1.52943e-17
4351.00870 1.58048e-17
4352.28441 1.64212e-17
4353.55006 1.66518e-17
4354.81572 1.66271e-17
4356.09142 1.65411e-17
4357.35708 1.63874e-17
4358.63278 1.62195e-17
4359.89844 1.63150e-17
4361.17414 1.65647e-17
4362.43980 1.65393e-17
4363.70546 1.61599e-17
4364.98116 1.57139e-17
4366.24682 1.55625e-17
4367.52252 1.57133e-17
4368.78818 1.57428e-17
4370.06388 1.52861e-17
4371.32954 1.45820e-17
4372.59519 1.41625e-17
4373.87090 1.41632e-17
4375.13655 1.44447e-17
4376.41226 1.47250e-17
4377.67791 1.48043e-17
4378.95362 1.45286e-17
4380.21927 1.40148e-17
4381.49498 1.35833e-17
4382.76063 1.36325e-17
4384.02629 1.41366e-17
4385.30199 1.44961e-17
4386.56765 1.41057e-17
4387.84335 1.31188e-17
4389.10901 1.25569e-17
4390.37467 1.26267e-17
4391.65037 1.26448e-17
4392.91603 1.24496e-17
4394.19173 1.21664e-17
4395.45739 1.19750e-17
4396.73309 1.16508e-17
4397.99875 1.14431e-17
4399.27445 1.15819e-17
4400.54011 1.15538e-17
4401.80576 1.10427e-17
4403.08147 1.05427e-17
4404.34712 1.04197e-17
4405.62283 1.03024e-17
4406.88848 9.94009e-18
4408.16419 9.68307e-18
4409.42984 9.88676e-18
4410.69550 1.02885e-17
4411.97120 1.04617e-17
4413.23686 1.05173e-17
4414.51256 1.06399e-17
4415.77822 1.08215e-17
4417.05392 1.06959e-17
4418.31958 1.01873e-17
4419.58524 9.76326e-18
4420.86094 9.87765e-18
4422.12660 1.03589e-17
4423.40230 1.06284e-17
4424.66796 1.04385e-17
4425.94366 1.02272e-17
4427.20932 1.02162e-17
4428.48502 1.02741e-17
4429.75068 1.04156e-17
4431.01633 1.06086e-17
4432.29204 1.05759e-17
4433.55769 1.00307e-17
4434.83339 9.36329e-18
4436.09905 9.37285e-18
4437.37475 9.98830e-18
4438.64041 1.03063e-17
4439.90607 9.93188e-18
4441.18177 9.40377e-18
4442.44743 9.43235e-18
4443.72313 9.83197e-18
4444.98879 1.00068e-17
4446.26449 9.93488e-18
4447.53015 9.90026e-18
4448.79581 9.85833e-18
4450.07151 9.76858e-18
4451.33717 9.63481e-18
4452.61287 9.88018e-18
4453.87853 1.03095e-17
4455.15423 1.06480e-17
4456.41989 1.07944e-17
4457.68554 1.07891e-17
4458.96124 1.07355e-17
4460.22690 1.06518e-17
4461.50260 1.05878e-17
4462.76826 1.06703e-17
4464.04396 1.07366e-17
4465.30962 1.06920e-17
4466.57528 1.06669e-17
4467.85098 1.07365e-17
4469.11664 1.08840e-17
4470.39234 1.09956e-17
4471.65800 1.11348e-17
4472.93370 1.13242e-17
4474.19936 1.13326e-17
4475.47506 1.10059e-17
4476.74072 1.05262e-17
4478.00638 1.02034e-17
4479.28208 1.01486e-17
4480.54773 1.02666e-17
4481.82344 1.04684e-17
4483.08909 1.05999e-17
4484.35475 1.04799e-17
4485.63045 1.03512e-17
4486.89611 1.07669e-17
4488.17181 1.16877e-17
4489.43747 1.24720e-17
4490.71317 1.27995e-17
4491.97883 1.29524e-17
4493.25453 1.30648e-17
4494.52019 1.30137e-17
4495.78585 1.27833e-17
4497.06155 1.26700e-17
4498.32721 1.27495e-17
4499.60291 1.27735e-17
4500.86857 1.26219e-17
4502.14427 1.25101e-17
4503.40993 1.27392e-17
4504.67558 1.32460e-17
4505.95129 1.37798e-17
4507.21694 1.42821e-17
4508.49265 1.46630e-17
4509.74826 1.47343e-17
4511.02396 1.44337e-17
4512.28962 1.39669e-17
4513.55528 1.35599e-17
4514.83098 1.33037e-17
4516.09664 1.33789e-17
4517.37234 1.36370e-17
4518.63800 1.40000e-17
4519.91370 1.45336e-17
4521.17936 1.51753e-17
4522.44501 1.54319e-17
4523.72072 1.51196e-17
4524.98637 1.46263e-17
4526.26207 1.46127e-17
4527.52773 1.49777e-17
4528.80343 1.54748e-17
4530.06909 1.59474e-17
4531.33475 1.62989e-17
4532.61045 1.65348e-17
4533.87611 1.67476e-17
4535.15181 1.70701e-17
4536.41747 1.72319e-17
4537.69317 1.70113e-17
4538.95883 1.66906e-17
4540.23453 1.66868e-17
4541.50019 1.69011e-17
4542.76585 1.70988e-17
4544.04155 1.72624e-17
4545.30721 1.76138e-17
4546.58291 1.79788e-17
4547.84856 1.80256e-17
4549.12427 1.78208e-17
4550.38992 1.79194e-17
4551.65558 1.85972e-17
4552.93128 1.94087e-17
4554.19694 1.97009e-17
4555.47264 1.94813e-17
4556.73830 1.92438e-17
4558.01400 1.94700e-17
4559.27966 2.02178e-17
4560.54532 2.07860e-17
4561.82102 2.06293e-17
4563.08668 2.00503e-17
4564.36238 1.99199e-17
4565.62804 2.03782e-17
4566.90374 2.07746e-17
4568.16940 2.08419e-17
4569.43505 2.09208e-17
4570.71076 2.12174e-17
4571.97641 2.15655e-17
4573.25212 2.17930e-17
4574.51777 2.20571e-17
4575.79348 2.24913e-17
4577.05913 2.29459e-17
4578.33484 2.32157e-17
4579.60049 2.32469e-17
4580.86615 2.32511e-17
4582.14185 2.32519e-17
4583.40751 2.31640e-17
4584.68321 2.30275e-17
4585.94887 2.31336e-17
4587.22457 2.35412e-17
4588.49023 2.38806e-17
4589.75589 2.37985e-17
4591.03159 2.34620e-17
4592.29725 2.34042e-17
4593.57295 2.36678e-17
4594.83861 2.40247e-17
4596.11431 2.42629e-17
4597.37997 2.42865e-17
4598.64562 2.41791e-17
4599.92133 2.39731e-17
4601.18698 2.39809e-17
4602.46269 2.41552e-17
4603.72834 2.42594e-17
4605.00405 2.42367e-17
4606.26970 2.42247e-17
4607.53536 2.44007e-17
4608.81106 2.47761e-17
4610.07672 2.50375e-17
4611.35242 2.50621e-17
4612.61808 2.50225e-17
4613.89378 2.50674e-17
4615.15944 2.48543e-17
4616.42510 2.43031e-17
4617.70080 2.37895e-17
4618.96646 2.37799e-17
4620.24216 2.41151e-17
4621.50782 2.47287e-17
4622.78352 2.55359e-17
4624.04918 2.61021e-17
4625.32488 2.60288e-17
4626.59054 2.55155e-17
4627.85619 2.50607e-17
4629.13190 2.48384e-17
4630.39755 2.47057e-17
4631.67326 2.45638e-17
4632.93891 2.45118e-17
4634.21462 2.46544e-17
4635.48027 2.49093e-17
4636.74593 2.51997e-17
4638.02163 2.52170e-17
4639.28729 2.52076e-17
4640.56299 2.53707e-17
4641.82865 2.56806e-17
4643.10435 2.57353e-17
4644.37001 2.51153e-17
4645.63567 2.41701e-17
4646.91137 2.37075e-17
4648.17703 2.40273e-17
4649.45273 2.47103e-17
4650.71839 2.51050e-17
4651.99409 2.50900e-17
4653.25975 2.48289e-17
4654.52540 2.45194e-17
4655.80111 2.43980e-17
4657.06676 2.45605e-17
4658.34246 2.47109e-17
4659.60812 2.45724e-17
4660.88382 2.43098e-17
4662.14948 2.43229e-17
4663.41514 2.46495e-17
4664.69084 2.50811e-17
4665.95650 2.53512e-17
4667.23220 2.54219e-17
4668.49786 2.52617e-17
4669.77356 2.49402e-17
4671.03922 2.46584e-17
4672.31492 2.46052e-17
4673.58058 2.48501e-17
4674.84624 2.51977e-17
4676.12194 2.52617e-17
4677.38760 2.48942e-17
4678.66330 2.45041e-17
4679.92895 2.45818e-17
4681.20466 2.51586e-17
4682.47031 2.57871e-17
4683.73597 2.57973e-17
4685.01167 2.51816e-17
4686.27733 2.44993e-17
4687.55303 2.42517e-17
4688.81869 2.43284e-17
4690.09439 2.44764e-17
4691.36005 2.44080e-17
4692.62571 2.41388e-17
4693.90141 2.38307e-17
4695.16707 2.37293e-17
4696.44277 2.38235e-17
4697.70843 2.38672e-17
4698.98413 2.38485e-17
4700.24979 2.38812e-17
4701.51545 2.37419e-17
4702.79115 2.34761e-17
4704.05680 2.31812e-17
4705.33251 2.29957e-17
4706.59816 2.28077e-17
4707.87387 2.25375e-17
4709.13952 2.23119e-17
4710.40518 2.22338e-17
4711.68088 2.22615e-17
4712.94654 2.21327e-17
4714.22224 2.18617e-17
4715.48790 2.16320e-17
4716.76360 2.15944e-17
4718.02926 2.17524e-17
4719.29492 2.20298e-17
4720.57062 2.21691e-17
