MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
54430.71989999833	1.1809128314839714e-15	7.992347738533768e-18	3.9926985862794843e-16	1.5662988011785891e-18	5.770735811437207e-16	3.362852019924049e-18	1.172692982487146e-15	3.635673522494838e-17	8.019719444714586e-16	8.27680199489934e-18
54430.76989999833	1.2296223830848737e-15	8.340826036106046e-18	4.1271245183348975e-16	1.611566499332585e-18	6.004648182381574e-16	3.508191133815958e-18	1.217597048970745e-15	3.7693927307527643e-17	8.319795092330261e-16	8.572471586939697e-18
54430.819899998336	1.2777221348806672e-15	8.683324288652984e-18	4.256691743986382e-16	1.6524410063372066e-18	6.235284540498795e-16	3.650873021819548e-18	1.2606923241511886e-15	3.898590764460464e-17	8.618276925498818e-16	8.876488704010298e-18
54430.86989999834	1.3251931230666313e-15	9.01877978158243e-18	4.38223157465484e-16	1.7158581536413465e-18	6.46260034314219e-16	3.790187746890575e-18	1.3020959198052146e-15	4.022438129145526e-17	8.915070464339846e-16	9.185931073586743e-18
54430.91989999834	1.372021263530024e-15	9.346508172711417e-18	4.504232819834722e-16	1.7952501601217294e-18	6.686559115845497e-16	3.925716274532661e-18	1.3419245799531356e-15	4.1427799267993346e-17	9.210081452819739e-16	9.498462487592782e-18
54430.969899998345	1.4182015509613848e-15	9.665799398260182e-18	4.622959337211247e-16	1.865095427486983e-18	6.90712434188605e-16	4.057311145959757e-18	1.3802944698000208e-15	4.26368760843999e-17	9.503215612267964e-16	9.812247876731896e-18
54431.01989999835	1.4637299598118626e-15	9.976323936957479e-18	4.738670991980773e-16	1.912987536290841e-18	7.124259461892442e-16	4.1850446317214844e-18	1.4173114939596156e-15	4.386264703272069e-17	9.7943791472052e-16	1.012587169423721e-17
54431.06989999835	1.508602454680983e-15	1.0278119468751999e-17	4.851627592177127e-16	1.9425761607790493e-18	7.337932399894016e-16	4.309127780995422e-18	1.4530678603858579e-15	4.5068624536550454e-17	1.0083497266064061e-15	1.043815240990857e-17
54431.11989999835	1.5528149902605883e-15	1.0571528430379e-17	4.962088893208947e-16	1.972191239307268e-18	7.548149655331639e-16	4.4295909676349904e-18	1.4876545517921794e-15	4.62336426856632e-17	1.037051948354056e-15	1.0748052526455096e-17
54431.16989999836	1.5963651130910278e-15	1.0856994370943991e-17	5.0703079306406595e-16	2.0272210015754978e-18	7.754937243435066e-16	4.546423355969576e-18	1.52116229025207e-15	4.735887802828118e-17	1.0655396875536252e-15	1.1054776818135467e-17
54431.21989999836	1.6392563580168035e-15	1.1134608398387544e-17	5.176443919715285e-16	2.103427946214361e-18	7.958321288440098e-16	4.659723292999542e-18	1.5536815558022206e-15	4.846689967553847e-17	1.0938080490741758e-15	1.1357744237861848e-17
54431.26989999836	1.681493653685832e-15	1.1404517132853477e-17	5.280586826474688e-16	2.1761509958699696e-18	8.158327871732955e-16	4.7696884558121655e-18	1.5853015456114146e-15	4.959467618904976e-17	1.1218521350008513e-15	1.1656555534443995e-17
54431.319899998365	1.7230819188409488e-15	1.1667037834756779e-17	5.382824962054855e-16	2.229517192011932e-18	8.354983032170882e-16	4.876604647226271e-18	1.6160928982476947e-15	5.0738777266952226e-17	1.1496670570088804e-15	1.1950964709902284e-17
54431.36989999837	1.7640260623998578e-15	1.1922641981074687e-17	5.483246601692217e-16	2.2599351230612216e-18	8.548313180306975e-16	4.980827733956957e-18	1.6461105333116544e-15	5.186341842428423e-17	1.177249004730866e-15	1.2240768330949838e-17
54431.41989999837	1.8043309838722694e-15	1.2171938327637725e-17	5.581939985415551e-16	2.2762068836267138e-18	8.738357816458401e-16	5.0825723144934784e-18	1.6754087014126846e-15	5.2947527913843824e-17	1.2045960676747712e-15	1.25257197658986e-17
54431.469899998374	1.844002512647106e-15	1.2415495583066355e-17	5.67899332066727e-16	2.2978560149479214e-18	8.925171920339138e-16	5.181868341784721e-18	1.7040414846065658e-15	5.3988232257520336e-17	1.2317065258672775e-15	1.2805654984284487e-17
54431.51989999838	1.883049446756382e-15	1.2653482129255598e-17	5.774493172731048e-16	2.348257969297e-18	9.108811326820905e-16	5.278791080165458e-18	1.732062807390033e-15	5.500058172931077e-17	1.2585786563299476e-15	1.308049675166893e-17
54431.56989999838	1.921481163497112e-15	1.2886069822773636e-17	5.868505423314832e-16	2.4225604855669375e-18	9.28933183074947e-16	5.373474730273654e-18	1.7595264476710793e-15	5.601526078938207e-17	1.2852107330581922e-15	1.335024445094517e-17
54431.61989999838	1.959307030826795e-15	1.3113532860003921e-17	5.961081620076041e-16	2.497484455079011e-18	9.466789187631371e-16	5.466110456210756e-18	1.7864820533867264e-15	5.706065522133269e-17	1.3116010269966256e-15	1.3614965070743584e-17
54431.669899998386	1.996536407510895e-15	1.3336244308395837e-17	6.05227299631809e-16	2.5561334968658503e-18	9.641239114319402e-16	5.556943014858192e-18	1.812961558595965e-15	5.811256881201277e-17	1.337747820545813e-15	1.3874783449955061e-17
54431.71989999839	2.033178643256016e-15	1.3554670600824618e-17	6.142130759211425e-16	2.5911693750829747e-18	9.812737318702117e-16	5.646264573790323e-18	1.8389919386555017e-15	5.914056259548421e-17	1.363650179257225e-15	1.4129785793634114e-17
54431.76989999839	2.0692430979455075e-15	1.3769354436348003e-17	6.230706089593941e-16	2.605336762713944e-18	9.981342219819506e-16	5.7342697024966985e-18	1.864600054962744e-15	6.012784433088041e-17	1.3893083375304287e-15	1.4379969605014644e-17
54431.819899998394	2.1047397285166528e-15	1.3980609395814378e-17	6.318050143953569e-16	2.6109805342058367e-18	1.0147117171914952e-15	5.8209387063387e-18	1.8898126604357223e-15	6.107262257699791e-17	1.4147226222003811e-15	1.4625364672455556e-17
