MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56004.24879999869	2.4123720593348118e-14	2.0499526299630685e-16	4.3294391074276656e-15	4.876516839921717e-17	7.938297023137354e-15	7.763783969627225e-17	nan	nan	1.3104430712543874e-14	1.000509551923839e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.298799998694	2.4303794933934246e-14	2.055287938130286e-16	4.369630739223904e-15	4.859459592611571e-17	8.035118064705708e-15	7.92954932009147e-17	nan	nan	1.3229717463762101e-14	1.0235853762523382e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.3487999987	2.4482422628346268e-14	2.0610907227049604e-16	4.409730262253175e-15	4.849367808809715e-17	8.130761430208929e-15	8.088867130392886e-17	nan	nan	1.3352742644788235e-14	1.0460046389771195e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.3987999987	2.4659593690421095e-14	2.0672814157575809e-16	4.449731701249313e-15	4.8456666904771196e-17	8.225229053110049e-15	8.241610709211036e-17	nan	nan	1.3473549679884908e-14	1.0677017377528034e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.4487999987	2.4835298138773683e-14	2.0737858825584593e-16	4.4896290804567155e-15	4.8478110332739535e-17	8.318522862299375e-15	8.387689509365899e-17	nan	nan	1.3592181995697635e-14	1.0886206865675568e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.498799998706	2.5009525990740343e-14	2.080535443820913e-16	4.529416423606821e-15	4.8552914470604093e-17	8.410644782207168e-15	8.52704739218833e-17	nan	nan	1.370868301527144e-14	1.1087145869957395e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.54879999871	2.518226726439766e-14	2.08746684207487e-16	4.5690877538877636e-15	4.867639182851625e-17	8.501596732714297e-15	8.659661102265599e-17	nan	nan	1.3823096161608542e-14	1.1279451469381905e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.59879999871	2.5353511971092586e-14	2.0945221935941605e-16	4.6086370939143795e-15	4.8844295920849506e-17	8.591380629236768e-15	8.785538906525543e-17	nan	nan	1.3935464858557774e-14	1.146282249635517e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.648799998715	2.5523250135564024e-14	2.1016488975132169e-16	4.648058465702415e-15	4.9052842958072345e-17	8.679998382672862e-15	8.904719365232687e-17	nan	nan	1.4045832528755122e-14	1.1637035918610113e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.69879999872	2.5691471767611118e-14	2.1087995134385e-16	4.6873458906399515e-15	4.929872177661837e-17	8.767451899461708e-15	9.017270197913335e-17	nan	nan	1.4154242593390664e-14	1.1801943390101797e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.74879999872	2.5858166884906663e-14	2.1159316375396888e-16	4.7264933894550046e-15	4.9579093337228155e-17	8.853743081558271e-15	9.123287214913633e-17	nan	nan	1.426073847433463e-14	1.1957468540019585e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.79879999872	2.6023325503239167e-14	2.1230077457074043e-16	4.7654949821940596e-15	4.989158119625793e-17	8.938873826436327e-15	9.222893285486185e-17	nan	nan	1.4365363591882922e-14	1.2103604260414158e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.84879999873	2.618693763886821e-14	2.129995040201453e-16	4.804344688188315e-15	5.0234254316121194e-17	9.0228460271218e-15	9.316237312757559e-17	nan	nan	1.446816136685463e-14	1.2240410659656925e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.89879999873	2.6348993309062814e-14	2.1368652689348465e-16	4.843036526024756e-15	5.0605603503941046e-17	9.105661572176535e-15	9.403493189138003e-17	nan	nan	1.456917521848501e-14	1.2368012904660677e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.94879999873	2.6509482529947966e-14	2.1435945603110675e-16	4.881564513524128e-15	5.1004512620225925e-17	9.187322345721076e-15	9.48485870481814e-17	nan	nan	1.4668448566798858e-14	1.2486599527487035e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56004.998799998735	2.6668395312332247e-14	2.1501632541270568e-16	4.919922667704194e-15	5.1430225571525105e-17	9.267830227417653e-15	9.560554382355352e-17	nan	nan	1.476602483076508e-14	1.2596420636341546e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.04879999874	2.682572167833001e-14	2.156555693787035e-16	4.958105004757558e-15	5.1882309970928523e-17	9.347187092528594e-15	9.630822209801357e-17	nan	nan	1.486194742779728e-14	1.269778623195882e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.09879999874	2.6981451821122773e-14	2.1627599769569237e-16	4.996105355849119e-15	5.236052221527758e-17	9.425395130543282e-15	9.695917142690614e-17	nan	nan	1.4956259652863764e-14	1.2791061128059928e-16	2.3405718611710207e-14	5.572037276355935e-16	6.2941345923087375e-15	9.4611253762212e-17	1.1492286274493216e-14	2.142553295939253e-16	nan	nan	3.905850468720108e-15	5.556806966047222e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.148799998744	2.7135578929518894e-14	2.1687662055705075e-16	5.033914515456824e-15	5.2863284194343295e-17	9.502461779905492e-15	9.75599578642734e-17	nan	nan	1.5049002773213142e-14	1.2876608918862048e-16	2.34552011300813e-14	5.475878312256503e-16	6.3282041616715756e-15	9.238206326568997e-17	1.1542810008790731e-14	2.0959547700928527e-16	nan	nan	3.925350493553381e-15	5.445217076910779e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.19879999875	2.7288098650256266e-14	2.1745666276124645e-16	5.0715207881273395e-15	5.33879553751053e-17	9.578398781783603e-15	9.811137394414023e-17	nan	nan	1.5140216391757793e-14	1.2954801499297558e-16	2.350477511622791e-14	5.382239213063474e-16	6.3623568328861566e-15	9.02912466612211e-17	1.159346344988779e-14	2.050982853856227e-16	nan	nan	3.94488284858915e-15	5.3388281211468574e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.24879999875	2.7439006702281692e-14	2.1801567879120048e-16	5.1089124039621265e-15	5.393209763677062e-17	9.65321800011581e-15	9.861437972357213e-17	nan	nan	1.5229940061749917e-14	1.3026064527399057e-16	2.3554432807717324e-14	5.291119080435514e-16	6.396584003649738e-15	8.833611138796714e-17	1.1644240219088877e-14	2.007638664127729e-16	nan	nan	3.964443389304044e-15	5.2375868328819845e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.29879999875	2.758829879808153e-14	2.185535405427531e-16	5.146077592023794e-15	5.4493517114141736e-17	9.726931294537075e-15	9.907013978601374e-17	nan	nan	1.5318213336945882e-14	1.309087814298538e-16	2.360416644241112e-14	5.20251665226096e-16	6.430877072032403e-15	8.651367831181635e-17	1.1695133938331492e-14	1.9659230647893075e-16	nan	nan	3.984027971241154e-15	5.141434106399404e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56005.348799998756	2.773597065767933e-14	2.1907042362984897e-16	5.1830045802769e-15	5.507026375422159e-17	9.799550520434082e-15	9.948002999661247e-17	nan	nan	1.5405075770107997e-14	1.3149775929597302e-16	2.3653968258409503e-14	5.11643028890604e-16	6.465227436425952e-15	8.482069578027907e-17	1.1746138230146294e-14	1.9258366326519313e-16	nan	nan	4.003632449998461e-15	5.050305004365556e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
