MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56405.57139998188	3.5910962675154077e-14	6.410352095189513e-16	2.0055889078645015e-14	3.3315697370646876e-16	nan	nan	7.019990197440553e-15	1.467551267550657e-16	1.3723418598540606e-14	2.581289551569371e-16	5.5118003489370275e-14	1.662737190860577e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.62139998189	3.636812019529264e-14	6.258823636605954e-16	2.0235774090904782e-14	3.2603171021166103e-16	nan	nan	7.1182295335499e-15	1.4289408523876369e-16	1.3875452885285139e-14	2.5191044853519017e-16	5.6654250954294196e-14	1.6956007823530745e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.67139998189	3.682434571967855e-14	6.112298390578932e-16	2.0415546673604332e-14	3.1908712062535775e-16	nan	nan	7.21648198836425e-15	1.391293582046261e-16	1.402747447221629e-14	2.458419819672555e-16	5.817080916489137e-14	1.7275881809679486e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.72139998189	3.727948224382649e-14	5.970828099466452e-16	2.0595173812731533e-14	3.1232693442992385e-16	nan	nan	7.314740253378037e-15	1.3546328233241475e-16	1.4179464033726714e-14	2.399267455873975e-16	5.966506611212939e-14	1.7587457740576143e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.771399981895	3.773336090314052e-14	5.834459807831644e-16	2.077461752536034e-14	3.0575477964902436e-16	nan	nan	7.412997018792888e-15	1.3189833063162755e-16	1.4331402247379e-14	2.341680886672402e-16	6.113448058281039e-14	1.789139827228209e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.8213999819	3.818580189521369e-14	5.703236166064319e-16	2.0953839221121954e-14	2.993743954058255e-16	nan	nan	7.511244970562618e-15	1.2843710955505841e-16	1.4483269294588566e-14	2.2856947918365605e-16	6.257652365787564e-14	1.8189994663427472e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.8713999819	3.863662499422802e-14	5.577201654876243e-16	2.113280030581577e-14	2.9318965304601476e-16	nan	nan	7.609476323011363e-15	1.2508228461936227e-16	1.463504233642889e-14	2.2313430763296665e-16	6.398878583658777e-14	1.8485288776025116e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.921399981904	3.908564965128453e-14	5.456402234840515e-16	2.1311461774641736e-14	2.8720451913530095e-16	nan	nan	7.707682434253145e-15	1.218365151089885e-16	1.4786697401588082e-14	2.1786602076044119e-16	6.536892111519057e-14	1.8779844274053566e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56405.97139998191	3.953268735735721e-14	5.34087987436853e-16	2.1489781278908314e-14	2.8142287974026683e-16	nan	nan	7.805854573321174e-15	1.1870256303810337e-16	1.4938210513845942e-14	2.1276819468540884e-16	6.671462341272692e-14	1.9077248038977567e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.02139998191	3.997754136623493e-14	5.230671796245882e-16	2.166771485910568e-14	2.7584861399444363e-16	nan	nan	7.903984005247099e-15	1.1568329374957213e-16	1.5089557701379304e-14	2.0784451963172427e-16	6.80237686762316e-14	1.9380432724745238e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.07139998191	4.0420014579170863e-14	5.125814914440918e-16	2.1845218547763072e-14	2.7048565591667257e-16	nan	nan	8.002061991738198e-15	1.1278165769713832e-16	1.5240714374123886e-14	2.0309872582558373e-16	6.929427546270434e-14	1.9693073861651504e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.121399981916	4.0859909734497004e-14	5.026345213771003e-16	2.202224836112449e-14	2.6533796544297366e-16	nan	nan	8.10007951002182e-15	1.1000060447025991e-16	1.5391654051706955e-14	1.9853444986998794e-16	7.05241698778639e-14	2.0019119884326113e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.17139998192	4.129702449973823e-14	4.932293440061641e-16	2.2198759113464346e-14	2.604094220467931e-16	nan	nan	8.198027194299515e-15	1.0734304001622362e-16	1.5542349890439418e-14	1.9415533448033947e-16	7.171169990590251e-14	2.0361770547223533e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.22139998192	4.173115020506112e-14	4.843683268622269e-16	2.237470347138742e-14	2.5570373092524264e-16	nan	nan	8.295895655810057e-15	1.0481186885652004e-16	1.569277504673445e-14	1.8996502439590794e-16	7.285514145972491e-14	2.0724809726774297e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.271399981924	4.21620777866759e-14	4.760534449593585e-16	2.2550033885264882e-14	2.5122449515786073e-16	nan	nan	8.39367550813159e-15	1.024099589136752e-16	1.584290267158564e-14	1.8596712361718067e-16	7.395298496939125e-14	2.1111452807042063e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
