MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	sdss_z'	sdss_z'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55874.89001598866	nan	nan	7.167254100940611e-17	3.2970342967765344e-18	1.4803843266944056e-16	3.4075143823041196e-18	1.3089808789000461e-16	5.1426799200779434e-18	1.7541388635294084e-16	1.0031003530678205e-17	6.578120273811283e-17	7.649681094231531e-18	8.765699947472849e-17	1.0511055514468891e-17	nan	nan	3.9162477077524145e-17	3.8130458288516164e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.940015988665	nan	nan	7.486125738971608e-17	3.2928154204787367e-18	1.5339119577132775e-16	3.387032453528324e-18	1.3741862356322118e-16	5.1673499253114165e-18	1.822457107373596e-16	9.927420687567135e-18	6.940970973153406e-17	7.870876731587369e-18	9.325479720071906e-17	1.0874098257355711e-17	nan	nan	4.152460822688163e-17	4.105555879023469e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55874.99001598867	nan	nan	7.806792230088832e-17	3.2897348549444734e-18	1.5879578796270876e-16	3.362436552558765e-18	1.4398634193969322e-16	5.189520327070064e-18	1.8917685978201734e-16	9.878958761088653e-18	7.307100205754421e-17	8.061582280306819e-18	9.890377838232047e-17	1.1226774395319023e-17	nan	nan	4.390803709422685e-17	4.3553169428066195e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.04001598867	nan	nan	8.12933584738096e-17	3.2873924323361566e-18	1.6425428952384651e-16	3.335146405524235e-18	1.506038008709945e-16	5.208312166039799e-18	1.9620637651515215e-16	9.873574333296574e-18	7.676645865561032e-17	8.216756786160614e-18	1.0460609625825613e-16	1.1550193704317023e-17	nan	nan	4.63138342788062e-17	4.558391337193367e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.09001598867	nan	nan	8.453838866560406e-17	3.285470996290794e-18	1.6976878083570605e-16	3.3067301897708575e-18	1.572735583265124e-16	5.223226778801699e-18	2.033331294562179e-16	9.89696069075783e-18	8.049745908727978e-17	8.333469906547105e-18	1.1036390537037809e-16	1.1831254285883126e-17	nan	nan	4.874307082081491e-17	4.712897452029937e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.140015988676	nan	nan	8.780383566334442e-17	3.2837320733523082e-18	1.7534134238503433e-16	3.2788712134990016e-18	1.639981723949206e-16	5.234105366839117e-18	2.105559902092137e-16	9.93516417307094e-18	8.426538356113734e-17	8.410471079891788e-18	1.161793616161638e-16	1.2061374921129327e-17	nan	nan	5.1196818222511945e-17	4.818284611875348e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.19001598868	nan	nan	9.10905222827574e-17	3.2820107964015358e-18	1.809740547680956e-16	3.2533231144584863e-18	1.707802012990695e-16	5.241090475533197e-18	2.1787383342468368e-16	9.975601885856539e-18	8.807161295796439e-17	8.447892283138667e-18	1.220546223009947e-16	1.2235507294704386e-17	nan	nan	5.3676148469152034e-17	4.874940535020879e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.24001598868	nan	nan	9.439927137288426e-17	3.2802102614534065e-18	1.866689986956018e-16	3.231851210733291e-18	1.7762220338747723e-16	5.244589123466287e-18	2.252855367613908e-16	1.0007733822241062e-17	9.191752885592165e-17	8.447052312027624e-18	1.2799184619065804e-16	1.2351414957216485e-17	nan	nan	5.618213405013256e-17	4.8839830283270185e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.290015988685	nan	nan	9.77309058131464e-17	3.2782954667253736e-18	1.9242789067343324e-16	3.215742230512845e-18	1.8452673715298382e-16	5.245236765343224e-18	2.3278998084833948e-16	1.0023452591424052e-17	9.580451355534122e-17	8.410336814828172e-18	1.3399319356375753e-16	1.2409171097295108e-17	nan	nan	5.871584798023637e-17	4.8471622271836e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.34001598869	nan	nan	1.0108624851722917e-16	3.276286888133183e-18	1.982508783458979e-16	3.204371168261367e-18	1.914963612352053e-16	5.243860932718765e-18	2.4038604924660324e-16	1.0017277182662587e-17	9.97339501041317e-17	8.341133986964323e-18	1.4006082626426596e-16	1.2410824742231356e-17	nan	nan	6.127836382049532e-17	4.7668378706401535e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.39001598869	nan	nan	1.0446612243437641e-16	3.274253716814021e-18	2.041376871885765e-16	3.1965498430498634e-18	1.9853363442397017e-16	5.241443227935168e-18	2.480726284115103e-16	9.986428574175428e-18	1.03707222322624e-16	8.243809400285925e-18	1.4619690775402722e-16	1.2360192493534759e-17	nan	nan	6.387075569954727e-17	4.6460172730457696e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.44001598869	nan	nan	1.0787135054835492e-16	3.272306741475045e-18	2.100880427955315e-16	3.1910751501198464e-18	2.0564111566668264e-16	5.239078389356783e-18	2.5584860765472053e-16	9.930841582247404e-18	1.0772571482895301e-16	8.123704368946813e-18	1.5240360316518703e-16	1.2262740912845959e-17	nan	nan	6.649409833470082e-17	4.488453224893737e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.4900159887	nan	nan	1.113027519124169e-16	3.270587447689075e-18	2.1610167087348024e-16	3.1867854918532185e-18	2.128211845262286e-16	5.237763889775765e-18	2.637128791063746e-16	9.853139661256916e-18	1.117908130638461e-16	7.987140270483823e-18	1.5868307935294893e-16	1.21255296400095e-17	nan	nan	6.914946705288557e-17	4.298811625035806e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.5400159887	nan	nan	1.147609324576528e-16	3.2690813460788287e-18	2.2217829725494293e-16	3.1826073048161315e-18	2.2007482943907046e-16	5.2372444636513356e-18	2.716643376773113e-16	9.758571303545628e-18	1.1590390331610583e-16	7.841406226559367e-18	1.6503750494805065e-16	1.1957185932587886e-17	nan	nan	7.183793781211886e-17	4.082928006840764e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.5900159887	nan	nan	1.182461813865066e-16	3.267525973906908e-18	2.283176478856922e-16	3.1775917466368896e-18	2.2740238932657397e-16	5.2367006582998695e-18	2.797018810215521e-16	9.654878583339358e-18	1.200663727474894e-16	7.694699870603272e-18	1.7146905040952514e-16	1.176787708214076e-17	nan	nan	7.456058722236482e-17	3.848178882568032e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.640015988705	nan	nan	1.2175876222038067e-16	3.2656625888521244e-18	2.3451944883207424e-16	3.1709424983950705e-18	2.3480419962233025e-16	5.235371638944564e-18	2.8782440949848203e-16	9.552040568990327e-18	1.2427960941810717e-16	7.555982293115312e-18	1.7797988807714667e-16	1.15692382773122e-17	nan	nan	7.731849256689135e-17	3.60398984990273e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.69001598871	nan	nan	1.252989385243487e-16	3.263261086028725e-18	2.4078342627488295e-16	3.1620360343952583e-18	2.4228059592683323e-16	5.232582265846273e-18	2.960308261354474e-16	9.461810828709519e-18	1.285450023113056e-16	7.434702788987691e-18	1.8457219222448104e-16	1.137420153878853e-17	nan	nan	8.01127318233348e-17	3.3624636804591444e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.74001598871	nan	nan	1.2886697390275432e-16	3.2601222703510926e-18	2.4710930651458933e-16	3.1504358446883092e-18	2.498319140174607e-16	5.227762142219987e-18	3.0432003659019023e-16	9.396959944559146e-18	1.3286394135914974e-16	7.340354030219681e-18	1.9124813911122524e-16	1.1196660839525231e-17	nan	nan	8.294438368495643e-17	3.1389838111047457e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.790015988714	nan	nan	1.32463132000678e-16	3.256079572962687e-18	2.5349681596581336e-16	3.1359018890287704e-18	2.574584898461839e-16	5.2204605397901026e-18	3.126909623195933e-16	9.36804261055911e-18	1.3723765532326543e-16	7.280670024996482e-18	1.980099070364201e-16	1.1050908257750939e-17	nan	nan	8.58145275818214e-17	2.9523505021326686e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.84001598872	nan	nan	1.3608767650402357e-16	3.2510002875952242e-18	2.599456811613579e-16	3.1183962988727482e-18	2.6516065954022167e-16	5.2103576805415406e-18	3.2114262066794786e-16	9.36952295300891e-18	1.4166614239919122e-16	7.253302742280837e-18	2.048596258480372e-16	1.0950447093908455e-17	nan	nan	8.872424370196376e-17	2.823552135492164e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.89001598872	nan	nan	1.39740871142021e-16	3.2447863848275388e-18	2.6645562874354307e-16	3.0980858192430703e-18	2.7293875940253177e-16	5.197272837715735e-18	3.296740717181673e-16	9.388825609277902e-18	1.4614883651859346e-16	7.250840068028001e-18	2.1179802833096766e-16	1.0897633487843348e-17	nan	nan	9.167457875151466e-17	2.7716483057966417e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.94001598872	nan	nan	1.434229796847236e-16	3.237374958474699e-18	2.730263854746649e-16	3.0753410625727195e-18	2.8079312591213773e-16	5.181169593959312e-18	3.382843782003533e-16	9.413981342823595e-18	1.5068516963452335e-16	7.265501417453866e-18	2.1882430452331964e-16	1.0882515628392707e-17	nan	nan	9.466573010552554e-17	2.796614405506032e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55875.990015988726	nan	nan	1.4713426594421627e-16	3.2287383373482267e-18	2.7965767822982366e-16	3.050731998118384e-18	2.887240957275653e-16	5.162158437746142e-18	3.4697260530198983e-16	9.434576886354017e-18	1.5527457467412898e-16	7.289712680294865e-18	2.259375668300701e-16	1.089386348540966e-17	nan	nan	9.769700979522874e-17	2.878371147670156e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.04001598873	nan	nan	1.5087499377737726e-16	3.218883883328458e-18	2.8634923399692377e-16	3.0250185975902e-18	2.9673200568602423e-16	5.140496722791068e-18	3.5573782063521435e-16	9.442362849652822e-18	1.599164855276725e-16	7.316528389703884e-18	2.331369297726247e-16	1.0920586496548795e-17	nan	nan	1.0076768917290482e-16	2.9942586420206947e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.09001598873	nan	nan	1.5464542708208076e-16	3.2078534801446553e-18	2.9310077987637517e-16	2.9991349674204694e-18	3.048171928040628e-16	5.116585830490669e-18	3.6457909420485006e-16	9.431613959353702e-18	1.6461033703783385e-16	7.339920937514335e-18	2.4042150996601725e-16	1.0952411512925193e-17	nan	nan	1.0387704036541185e-16	3.1239001206545275e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.140015988734	nan	nan	1.5844582980090813e-16	3.1957226997890076e-18	2.9991204308273673e-16	2.9741648431026816e-18	3.129799942759315e-16	5.0909651539707546e-18	3.7349549837598495e-16	9.399319012680562e-18	1.6935556498891667e-16	7.354957889319963e-18	2.477904260959013e-16	1.0980363591593833e-17	nan	nan	1.0702433625950092e-16	3.2510008556255315e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.19001598874	nan	nan	1.6227646592114774e-16	3.182599617433167e-18	3.0678275094172797e-16	2.9513060888889793e-18	3.212207474801284e-16	5.064302390440504e-18	3.8248610784167783e-16	9.345261512780923e-18	1.741516060960609e-16	7.357897395579142e-18	2.5524279889564297e-16	1.0997074415760484e-17	nan	nan	1.1020885048690327e-16	3.3634431223390794e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.24001598874	nan	nan	1.6613759947246486e-16	3.1686232311483087e-18	3.1371263089052796e-16	2.9318220118412245e-18	3.295397899738354e-16	5.037379428603191e-18	3.915499995908546e-16	9.272023929882982e-18	1.7899789799443207e-16	7.346230827810294e-18	2.627777511235203e-16	1.099695992737034e-17	nan	nan	1.134298574095864e-16	3.452688713678762e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55876.29001598874	nan	nan	1.7002949453078535e-16	3.153961426891033e-18	3.2070139445300006e-16	2.916831687895399e-18	3.37937459498482e-16	5.011073063802848e-18	4.0068625287626786e-16	9.184916156250688e-18	1.8389387922860887e-16	7.318695771561867e-18	2.70394407539837e-16	1.0976309958852627e-17	nan	nan	1.1668663210503312e-16	3.513086161898828e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
