MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56499.350000000195	3.443546172072053e-14	6.811542103314285e-16	nan	nan	9.623890488260067e-15	1.464697225313113e-16	nan	nan	1.8416986235614958e-14	3.5837527196741163e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.4000000002	3.5176492201025054e-14	6.87843139665968e-16	nan	nan	9.885342883597285e-15	1.500879338552373e-16	nan	nan	1.879557855642692e-14	3.6084058901181806e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.4500000002	3.591575696392347e-14	6.943447578079171e-16	nan	nan	1.0147881472373931e-14	1.5362922978935203e-16	nan	nan	1.9173035608061406e-14	3.632390004531393e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.500000000204	3.665312932810402e-14	7.006576703056579e-16	nan	nan	1.04113960820632e-14	1.570888220299579e-16	nan	nan	1.9549307487392413e-14	3.655689385254802e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.55000000021	3.7388482615770674e-14	7.067812344307841e-16	nan	nan	1.06757765421968e-14	1.6046275240013694e-16	nan	nan	1.9924344202993663e-14	3.6782928765318484e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.60000000021	3.81216901392194e-14	7.1271551772096e-16	nan	nan	1.0940912684621488e-14	1.6374784567949142e-16	nan	nan	2.0298095931059746e-14	3.700193478280005e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.65000000021	3.8852625212983446e-14	7.184612709423375e-16	nan	nan	1.1206694342812217e-14	1.6694166887817215e-16	nan	nan	2.0670512642749008e-14	3.7213883784333384e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.700000000215	3.9581161164380613e-14	7.240199074989884e-16	nan	nan	1.1473011352012818e-14	1.700424961252181e-16	nan	nan	2.104154447384743e-14	3.7418785860903624e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.75000000022	4.0307171280137734e-14	7.293934725453577e-16	nan	nan	1.1739753548735324e-14	1.7304927843174122e-16	nan	nan	2.1411141459867806e-14	3.761668887687181e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.80000000022	4.103052891953403e-14	7.345846260478905e-16	nan	nan	1.2006810770329664e-14	1.7596161757563052e-16	nan	nan	2.1779253712650282e-14	3.7807676322459316e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.850000000224	4.175110737089439e-14	7.395966220051854e-16	nan	nan	1.2274072855120195e-14	1.7877974354049586e-16	nan	nan	2.214583128117718e-14	3.7991866399880773e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.90000000023	4.2468779959618955e-14	7.444333065287866e-16	nan	nan	1.254142964184298e-14	1.815044947850529e-16	nan	nan	2.25108242323902e-14	3.816941014589327e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56499.95000000023	4.318341998457987e-14	7.490990749062106e-16	nan	nan	1.2808770969414072e-14	1.841373009270809e-16	nan	nan	2.2874182660170112e-14	3.834049063281568e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.00000000023	4.3894900763826143e-14	7.535988789043211e-16	nan	nan	1.3075986676728833e-14	1.866801671721686e-16	nan	nan	2.3235856601526318e-14	3.8505321916254746e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.050000000236	4.4603095627552114e-14	7.579382021039175e-16	nan	nan	1.3342966602270924e-14	1.8913566013166527e-16	nan	nan	2.359579616680235e-14	3.8664147301106362e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.10000000024	4.530787789188911e-14	7.621230541976829e-16	nan	nan	1.3609600584149545e-14	1.9150689444829052e-16	nan	nan	2.395395140498053e-14	3.8817238793910386e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.15000000024	4.6009120862101565e-14	7.661599578289471e-16	nan	nan	1.3875778459284298e-14	1.9379751980884842e-16	nan	nan	2.431027239796871e-14	3.8964895807931206e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.200000000244	4.670669786902305e-14	7.700559314866704e-16	nan	nan	1.4141390063701036e-14	1.960117079151967e-16	nan	nan	2.4664709206722127e-14	3.9107443976992453e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.25000000025	4.7400482189472336e-14	7.738184754750572e-16	nan	nan	1.4406325231993968e-14	1.981541388895664e-16	nan	nan	2.50172119296114e-14	3.9245235021934403e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56500.30000000025	4.809034717985214e-14	7.774555744628963e-16	nan	nan	1.4670473796951184e-14	2.0022998677951372e-16	nan	nan	2.5367730600652696e-14	3.9378644465766556e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
