MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54147.12799998175	1.9130049514880597e-16	1.4935481065013134e-17	2.3434516739233073e-16	1.278464333752498e-17	nan	nan	1.0562201837527278e-16	8.035246355653666e-18	2.1360149614269646e-16	1.4820602613201006e-17	nan	nan	1.705457563713645e-16	3.405359940185404e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.290830503575679e-16	3.459060454511164e-17
54147.17799998175	1.9933784932959811e-16	1.547618848216845e-17	2.4179734368226297e-16	1.2760034257488113e-17	nan	nan	1.0877106665057707e-16	8.172902008903409e-18	2.1955314504435253e-16	1.5061080679620903e-17	nan	nan	1.784764186944921e-16	3.6091520511630515e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.366339201847177e-16	3.4878425342283055e-17
54147.227999981755	2.0745449506709156e-16	1.5922451986906182e-17	2.4931229687947164e-16	1.2727495342643804e-17	nan	nan	1.1193720561069446e-16	8.305638668039118e-18	2.255319582081097e-16	1.5300445522916234e-17	nan	nan	1.8648892533644927e-16	3.801546469232505e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.4425014297469207e-16	3.5135102854143317e-17
54147.27799998176	2.1565441319684465e-16	1.627498103838865e-17	2.5689154796791446e-16	1.2692969833307646e-17	nan	nan	1.1512074094709353e-16	8.434497436561305e-18	2.315377426957545e-16	1.5538293547954277e-17	nan	nan	1.9458623742082034e-16	3.9800892206149554e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.519326567904832e-16	3.536837603466902e-17
54147.32799998176	2.2394158533684677e-16	1.6535428901424473e-17	2.6453661849762956e-16	1.2662612404977652e-17	nan	nan	1.1832197845070093e-16	8.560554049206006e-18	2.3757030576907812e-16	1.577425855136988e-17	nan	nan	2.0277131866064703e-16	4.143166266328674e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.596824013491362e-16	3.558644219835534e-17
54147.37799998176	2.323199939255501e-16	1.670625877006325e-17	2.7224903059828825e-16	1.2642647061762197e-17	nan	nan	1.215412240137498e-16	8.684906670439739e-18	2.436294548884487e-16	1.600802348875153e-17	nan	nan	2.1104713544866806e-16	4.289765925429081e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.6750031804455537e-16	3.579782240073825e-17
54147.427999981766	2.4079362225924094e-16	1.6790676550226072e-17	2.800302992928e-16	1.2639154418895424e-17	nan	nan	1.247787834883599e-16	8.808662438059479e-18	2.497149977112101e-16	1.6239329811852163e-17	nan	nan	2.1941665694748324e-16	4.4193209820598897e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.7538734997036995e-16	3.6011206259687986e-17
54147.47799998177	2.4936645452919173e-16	1.6792611376936917e-17	2.87881247618643e-16	1.2655015199405121e-17	nan	nan	1.2803487324705854e-16	8.932615733565683e-18	2.558267420901321e-16	1.646798467767422e-17	nan	nan	2.2788285517966997e-16	4.531603584321163e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.833443991257296e-16	3.6234897399360606e-17
54147.52799998177	2.580424758591852e-16	1.671673327028311e-17	2.9580146664008617e-16	1.2687584236457283e-17	nan	nan	1.313094672285319e-16	9.056713487507584e-18	2.6196449607195153e-16	1.669386629420065e-17	nan	nan	2.3644870511829636e-16	4.626655257775028e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.913716749525238e-16	3.6470908260274584e-17
54147.577999981775	2.6682567234356536e-16	1.656850226804832e-17	3.037904209505114e-16	1.2733431028308681e-17	nan	nan	1.3460249883177374e-16	9.180756158791036e-18	2.681280678956596e-16	1.6916927623102663e-17	nan	nan	2.4511718477711316e-16	4.7047405726275695e-17	nan	nan	nan	nan	nan	nan	nan	nan	2.994688253349974e-16	3.671610513430213e-17
