MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54400.36979999958	nan	nan	nan	nan	nan	nan	nan	nan	4.055701404052211e-15	1.3437024323018046e-16	2.0080193369139765e-15	6.415760825602975e-17	3.2134889810872624e-15	1.0246573675460583e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.41979999958	nan	nan	nan	nan	nan	nan	nan	nan	4.128284734822676e-15	1.3543648352064437e-16	2.039917963834115e-15	6.423170537910392e-17	3.26342796340147e-15	1.0251547419972417e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.469799999584	nan	nan	nan	nan	nan	nan	nan	nan	4.200809017497422e-15	1.3705026080141815e-16	2.0717771956343767e-15	6.45010402945784e-17	3.3133127506577073e-15	1.0286074031297917e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.51979999959	nan	nan	nan	nan	nan	nan	nan	nan	4.2732034395760025e-15	1.3914938621783268e-16	2.1035809603138215e-15	6.495128983504309e-17	3.3631193370577964e-15	1.0348109423552729e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.56979999959	nan	nan	nan	nan	nan	nan	nan	nan	4.3454109203806226e-15	1.416707913301094e-16	2.135313597885096e-15	6.556745943899637e-17	3.412824310742994e-15	1.0435501356159686e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.61979999959	nan	nan	nan	nan	nan	nan	nan	nan	4.4173753373622346e-15	1.4455456416941192e-16	2.1669594474326105e-15	6.633435587763951e-17	3.4624042586376234e-15	1.0546054980649194e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.669799999596	nan	nan	nan	nan	nan	nan	nan	nan	4.4890405436308845e-15	1.4774540588800674e-16	2.198503172947859e-15	6.723690194666323e-17	3.5118362390127088e-15	1.0677577027606559e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.7197999996	nan	nan	nan	nan	nan	nan	nan	nan	4.560350784186172e-15	1.511933119174171e-16	2.229932411270457e-15	6.82600702351514e-17	3.561101621726261e-15	1.0827866653930473e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.7697999996	nan	nan	nan	nan	nan	nan	nan	nan	4.631261235362452e-15	1.548521293164711e-16	2.2612363890225354e-15	6.938931631961753e-17	3.610184082419808e-15	1.0994778757762332e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.819799999605	nan	nan	nan	nan	nan	nan	nan	nan	4.701738770977915e-15	1.5867946440079947e-16	2.2924043462909744e-15	7.061097552755103e-17	3.659067316438809e-15	1.1176282757749582e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
