FilterSet	Flux	Flux_err	Instr	MJD	Source	band
GeneralFilters	9.09868512422844e-16	5.02811921589723e-17	LCOGT	56461.06	nan	Bessell_U
GeneralFilters	1.1667522196760388e-15	7.522329551082722e-17	LCOGT	56462.06	nan	Bessell_U
GeneralFilters	2.877256870517156e-15	1.325025755757213e-16	LCOGT	56464.97	nan	Bessell_U
GeneralFilters	5.7940019332562e-15	2.6682364960585723e-16	LCOGT	56468.11	nan	Bessell_U
GeneralFilters	3.0463418430494635e-15	5.892147505428005e-17	LCOGT	56479.76	nan	Bessell_U
GeneralFilters	6.713958241765059e-16	6.183784064992733e-17	LCOGT	56485.85	nan	Bessell_U
GeneralFilters	4.3508953323156763e-16	2.055756541688737e-16	LCOGT	56494.2	nan	Bessell_U
GeneralFilters	2.633774786429489e-16	1.1934917425094702e-16	LCOGT	56510.14	nan	Bessell_U
GeneralFilters	2.457981646764922e-16	7.719847029824884e-17	LCOGT	56512.15	nan	Bessell_U
GeneralFilters	2.0881976420595907e-16	4.478504145773014e-17	LCOGT	56518.19	nan	Bessell_U
GeneralFilters	8.403594389453697e-16	4.4449304488065796e-17	LCOGT	56460.885	nan	Bessell_V
GeneralFilters	1.3138381880843404e-15	1.6749807819263882e-16	LCOGT	56462.5625	nan	Bessell_V
GeneralFilters	2.5582609887229865e-15	3.298743625312663e-17	LCOGT	56465.07	nan	Bessell_V
GeneralFilters	3.4733204093385115e-15	2.8791416871961554e-17	LCOGT	56467.07	nan	Bessell_V
GeneralFilters	4.068027574878188e-15	3.7310121945502754e-17	LCOGT	56468.585	nan	Bessell_V
GeneralFilters	4.889311494939292e-15	5.4376420608828807e-17	LCOGT	56471.0	nan	Bessell_V
GeneralFilters	5.142151268219538e-15	3.7888770739543544e-17	LCOGT	56472.17	nan	Bessell_V
GeneralFilters	5.5041414994210535e-15	5.070218418214039e-17	LCOGT	56475.005000000005	nan	Bessell_V
GeneralFilters	5.555777546726785e-15	4.605354201269174e-17	LCOGT	56476.05	nan	Bessell_V
GeneralFilters	4.960721526095277e-15	1.8275973498371373e-16	LCOGT	56477.24	nan	Bessell_V
GeneralFilters	4.998727818687651e-15	1.4425494778930983e-16	LCOGT	56480.020000000004	nan	Bessell_V
GeneralFilters	4.621094483658882e-15	2.979329715993488e-17	LCOGT	56481.2	nan	Bessell_V
GeneralFilters	3.951344070078414e-15	4.367186857468541e-17	LCOGT	56482.7	nan	Bessell_V
GeneralFilters	3.1070257192945867e-15	3.147844086114107e-17	LCOGT	56485.2	nan	Bessell_V
GeneralFilters	2.476489249549906e-15	1.6877566070004957e-17	LCOGT	56487.145	nan	Bessell_V
GeneralFilters	1.1490656662975602e-15	2.4341557561685565e-17	LCOGT	56499.21	nan	Bessell_V
GeneralFilters	1.0335817878530494e-15	2.1895172157431595e-17	LCOGT	56503.74	nan	Bessell_V
GeneralFilters	9.771131279581935e-16	1.3499316735618395e-17	LCOGT	56508.03	nan	Bessell_V
GeneralFilters	8.615951352989273e-16	1.7245386312132092e-17	LCOGT	56510.065	nan	Bessell_V
GeneralFilters	8.783864809773552e-16	1.3581098366602395e-17	LCOGT	56512.14	nan	Bessell_V
