MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55692.87,17.7,0.03,5.28990834448e-16,1.46165569168e-17,Bessell_B,LTetal,GeneralFilters
55692.87,15.99,0.04,4.59678695233e-16,1.69351889794e-17,Bessell_I,LTetal,GeneralFilters
55692.87,16.2,0.04,7.35639958492e-16,2.71019776357e-17,Bessell_R,LTetal,GeneralFilters
55692.87,18.06,0.17,2.36951019753e-16,3.7100792238e-17,Bessell_U,LTetal,GeneralFilters
55692.87,16.75,0.03,7.29149375996e-16,2.01471418048e-17,Bessell_V,LTetal,GeneralFilters
55692.88,17.37,0.03,5.5028807979e-16,1.52050215525e-17,sdss_g',LTetal,GeneralFilters
55692.88,16.44,0.01,5.26943065867e-16,4.85332499329e-18,sdss_i',LTetal,GeneralFilters
55692.88,16.41,0.03,7.83067848277e-16,2.16369642509e-17,sdss_r',LTetal,GeneralFilters
55692.88,18.92,0.26,2.35672221248e-16,5.64361557217e-17,sdss_u',LTetal,GeneralFilters
55692.88,16.54,0.02,3.31343061169e-16,6.10356474651e-18,sdss_z',LTetal,GeneralFilters
55695.89,17.8,0.07,4.82445374936e-16,3.11044027984e-17,Bessell_B,LTetal,GeneralFilters
55695.89,16.02,0.04,4.47151174617e-16,1.64736580638e-17,Bessell_I,LTetal,GeneralFilters
55695.89,16.24,0.05,7.09031142932e-16,3.26520908037e-17,Bessell_R,LTetal,GeneralFilters
55695.89,18.31,0.06,1.88216885237e-16,1.04012494607e-17,Bessell_U,LTetal,GeneralFilters
55695.89,16.85,0.07,6.64992134418e-16,4.28736273187e-17,Bessell_V,LTetal,GeneralFilters
55695.9,17.42,0.07,5.25521036376e-16,3.38815933236e-17,sdss_g',LTetal,GeneralFilters
55695.9,16.49,0.1,5.03226721158e-16,4.63488938614e-17,sdss_i',LTetal,GeneralFilters
55695.9,16.52,0.07,7.07618848984e-16,4.56218731694e-17,sdss_r',LTetal,GeneralFilters
55695.9,19.3,0.27,1.66076580861e-16,4.12997896138e-17,sdss_u',LTetal,GeneralFilters
55695.9,16.6,0.07,3.13529117639e-16,2.02139692298e-17,sdss_z',LTetal,GeneralFilters
55702.95,18.18,0.03,3.39975911873e-16,9.39388159987e-18,Bessell_B,LTetal,GeneralFilters
55702.95,16.02,0.02,4.47151174617e-16,8.23682903191e-18,Bessell_I,LTetal,GeneralFilters
55702.95,16.36,0.03,6.34841503059e-16,1.75413189763e-17,Bessell_R,LTetal,GeneralFilters
