MJD,Mag,Mag_err,band,Instr,Flux,Flux_err
56474.961,15.161,0.007,sdss_r',LCOGT,2.16906594138e-15,1.39844849266e-17
56474.963,15.267,0.01,sdss_i',LCOGT,1.10606056599e-15,1.01871942848e-17
56475.049,15.808,0.006,Bessell_B,LCOGT,3.02167775433e-15,1.66984083671e-17
56475.053,15.258,0.007,Bessell_V,LCOGT,2.8814859642e-15,1.85776265552e-17
56475.055,14.955,0.006,Bessell_R,LCOGT,2.31560943913e-15,1.27965306618e-17
56475.057,14.853,0.008,Bessell_I,LCOGT,1.30994896457e-15,9.65206066691e-18
56475.059,15.536,0.006,sdss_g',LCOGT,3.26401335496e-15,1.80376043867e-17
56475.063,15.151,0.007,sdss_r',LCOGT,2.18913606143e-15,1.41138817724e-17
56475.065,15.265,0.007,sdss_i',LCOGT,1.10809988255e-15,7.14418395909e-18
56475.067,15.219,0.022,sdss_z',LCOGT,6.96131064047e-16,1.41055288954e-17
56475.187,15.268,0.01,sdss_i',P60,1.10504231555e-15,1.01778158517e-17
56475.187,15.16,0.01,sdss_r',P60,2.17106464524e-15,1.99962443522e-17
56475.188,15.527,0.01,sdss_g',P60,3.29118221146e-15,3.03129083937e-17
56475.189,15.259,0.01,sdss_i',P60,1.1142404201e-15,1.02625335254e-17
56475.19,15.158,0.01,sdss_r',P60,2.17506757982e-15,2.00331127422e-17
56475.191,15.54,0.01,sdss_g',P60,3.25201040919e-15,2.99521227618e-17
56476.049,15.837,0.012,Bessell_B,LCOGT,2.94203711551e-15,3.2516595865e-17
56476.053,15.238,0.009,Bessell_V,LCOGT,2.93505678794e-15,2.43295848252e-17
56476.055,14.926,0.011,Bessell_R,LCOGT,2.37829274588e-15,2.40953742632e-17
56476.057,14.78,0.011,Bessell_I,LCOGT,1.40105239204e-15,1.41945863506e-17
56476.059,15.613,0.013,sdss_g',LCOGT,3.04054844238e-15,3.64058318933e-17
56476.063,15.17,0.013,sdss_r',LCOGT,2.15116020493e-15,2.57567929867e-17
56476.065,15.267,0.012,sdss_i',LCOGT,1.10606056599e-15,1.22246331417e-17
56476.067,15.145,0.022,sdss_z',LCOGT,7.45231174636e-16,1.51004321032e-17
56476.222,15.549,0.01,sdss_g',P60,3.22516491767e-15,2.97048666475e-17
56477.222,15.203,0.01,sdss_i',P60,1.17321851694e-15,1.08057418717e-17
56477.222,15.122,0.01,sdss_r',P60,2.248395747e-15,2.07084901208e-17
56477.237,15.361,0.04,Bessell_V,LCOGT,2.62069517107e-15,9.6549978147e-17
56477.239,14.954,0.019,Bessell_R,LCOGT,2.31774317671e-15,4.05596867494e-17
56477.241,14.752,0.036,Bessell_I,LCOGT,1.43765399638e-15,4.76686175178e-17
56477.243,15.61,0.012,sdss_g',LCOGT,3.04896140578e-15,3.36983667939e-17
56477.247,15.104,0.024,sdss_r',LCOGT,2.28598173007e-15,5.05312075634e-17
56477.249,15.212,0.035,sdss_i',LCOGT,1.16353354556e-15,3.75078899608e-17
56478.243,15.677,0.005,sdss_g',LCOGT,2.86649987409e-15,1.32007197583e-17
56478.247,15.145,0.008,sdss_r',LCOGT,2.20126716298e-15,1.62195358565e-17
56478.249,15.201,0.01,sdss_i',LCOGT,1.17538165703e-15,1.08256651282e-17
56478.251,15.082,0.028,sdss_z',LCOGT,7.89752508591e-16,2.03668903585e-17
56479.233,16.118,0.012,Bessell_B,LCOGT,2.2711621785e-15,2.51018120447e-17
56479.236,15.306,0.007,Bessell_V,LCOGT,2.75687140288e-15,1.77742067876e-17
56479.239,14.928,0.009,Bessell_R,LCOGT,2.3739158013e-15,1.96781152899e-17
56479.241,14.753,0.012,Bessell_I,LCOGT,1.43633047772e-15,1.58749111037e-17
56479.243,15.734,0.005,sdss_g',LCOGT,2.7198936746e-15,1.25255732593e-17
56479.246,15.187,0.01,sdss_i',P60,1.19063572345e-15,1.0966160272e-17
56479.247,15.139,0.009,sdss_r',LCOGT,2.21346548905e-15,1.83480935002e-17
56479.247,15.149,0.01,sdss_r',P60,2.19317231547e-15,2.01998635198e-17
56479.248,15.722,0.01,sdss_g',P60,2.75012178944e-15,2.53295577452e-17
56479.249,15.216,0.011,sdss_i',LCOGT,1.15925481611e-15,1.17448445777e-17
56479.251,15.008,0.023,sdss_z',LCOGT,8.45456006844e-16,1.79099564629e-17
56479.762,16.368,0.021,Bessell_U,LCOGT,1.12579309884e-15,2.17747690204e-17
56479.858,16.122,0.017,Bessell_B,LCOGT,2.26281030199e-15,3.54301302335e-17
56479.861,15.316,0.024,Bessell_V,LCOGT,2.73159625393e-15,6.03814350181e-17
56479.863,15.779,0.024,sdss_g',LCOGT,2.60946770906e-15,5.76818058964e-17
56479.866,15.17,0.029,sdss_r',LCOGT,2.15116020493e-15,5.7457461278e-17
56479.868,15.203,0.018,sdss_i',LCOGT,1.17321851694e-15,1.94503353691e-17
56480.049,16.176,0.009,Bessell_B,LCOGT,2.15302041236e-15,1.78470457431e-17
56480.052,15.327,0.007,Bessell_V,LCOGT,2.7040611493e-15,1.74337265002e-17
56480.055,14.919,0.008,Bessell_R,LCOGT,2.39367570137e-15,1.76372543598e-17
56480.057,14.773,0.009,Bessell_I,LCOGT,1.41011449199e-15,1.16888709913e-17
56480.059,15.813,0.006,sdss_g',LCOGT,2.52901803865e-15,1.39758701657e-17
56480.063,15.173,0.007,sdss_r',LCOGT,2.14522453383e-15,1.38307736916e-17
56480.065,15.219,0.007,sdss_i',LCOGT,1.15605609791e-15,7.4533691056e-18
56480.067,15.155,0.022,sdss_z',LCOGT,7.38398854159e-16,1.49619905096e-17
56480.203,15.199,0.01,sdss_i',P60,1.17754878544e-15,1.08456251185e-17
56480.204,15.188,0.01,sdss_r',P60,2.11579094979e-15,1.94871548035e-17
56480.205,15.798,0.01,sdss_g',P60,2.56420018412e-15,2.36171564776e-17
56480.233,16.249,0.013,Bessell_B,LCOGT,2.0130202667e-15,2.41027823816e-17
56480.236,15.379,0.009,Bessell_V,LCOGT,2.57760584842e-15,2.13665644879e-17
56480.239,14.958,0.01,Bessell_R,LCOGT,2.30922000519e-15,2.12687022416e-17
56480.241,14.752,0.011,Bessell_I,LCOGT,1.43765399638e-15,1.45654109082e-17
56480.243,15.829,0.009,sdss_g',LCOGT,2.49202231562e-15,2.06571363673e-17
56480.247,15.179,0.009,sdss_r',LCOGT,2.13340228113e-15,1.76844250436e-17
56480.249,15.227,0.012,sdss_i',LCOGT,1.14756926683e-15,1.26834042575e-17
56480.251,15.107,0.031,sdss_z',LCOGT,7.71775546738e-16,2.20357779763e-17
56481.192,15.219,0.01,sdss_i',P60,1.15605609791e-15,1.06476701509e-17
56481.193,15.241,0.01,sdss_r',P60,2.01498935025e-15,1.85587377617e-17
56481.195,16.342,0.014,Bessell_B,LCOGT,1.84777100233e-15,2.38260398053e-17
56481.198,15.438,0.007,Bessell_V,LCOGT,2.44127390233e-15,1.57394745072e-17
56481.2,15.02,0.007,Bessell_R,LCOGT,2.18104844033e-15,1.40617389522e-17
56481.203,14.784,0.014,Bessell_I,LCOGT,1.39590022075e-15,1.79994026218e-17
56481.205,15.894,0.006,sdss_g',LCOGT,2.34720989338e-15,1.29711612255e-17
56481.209,15.245,0.008,sdss_r',LCOGT,2.00757951295e-15,1.47923925105e-17
56481.211,15.237,0.01,sdss_i',LCOGT,1.13704828855e-15,1.04726017569e-17
56481.213,15.127,0.029,sdss_z',LCOGT,7.57689055483e-16,2.02378648817e-17
56482.231,16.016,0.01,sdss_g',P60,2.09774129239e-15,1.93209113153e-17
56482.697,16.629,0.017,Bessell_B,LCOGT,1.41856142963e-15,2.22112371293e-17
56482.7,15.608,0.012,Bessell_V,LCOGT,2.08745205092e-15,2.3071372679e-17
56482.702,16.087,0.009,sdss_g',LCOGT,1.96495191482e-15,1.6288088355e-17
56482.706,15.34,0.008,sdss_r',LCOGT,1.83938548532e-15,1.3553093116e-17
