MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54322.416203571585	2.4459588267373145e-15	6.893845036450333e-16	6.019421698527964e-16	4.0416122326410025e-17	7.455254491526212e-16	1.7922289729640057e-16	nan	nan	1.6417846693525524e-15	9.36867293056415e-17	nan	nan	nan	nan
54322.46620357159	2.531378646562946e-15	6.903775672640699e-16	6.25435712188904e-16	4.027105388638775e-17	7.969309885551689e-16	1.769667451315508e-16	nan	nan	1.7091617568344901e-15	9.673578476719937e-17	nan	nan	nan	nan
54322.51620357159	2.61774166241452e-15	6.915065932859199e-16	6.490444567203729e-16	4.014414146535116e-17	8.484852873869491e-16	1.7479797123138732e-16	nan	nan	1.7768802232787774e-15	9.974670201399893e-17	nan	nan	nan	nan
54322.566203571594	2.7050516851588554e-15	6.927640808336536e-16	6.727721551560882e-16	4.003269044814895e-17	9.001928601112292e-16	1.7271411279054307e-16	nan	nan	1.844953191691243e-15	1.0271260417021577e-16	nan	nan	nan	nan
54322.6162035716	2.7933114423526966e-15	6.941360160544959e-16	6.966225594648277e-16	3.9934350774612514e-17	9.520582214994815e-16	1.707126888505476e-16	nan	nan	1.9133937857547823e-15	1.0562870520191016e-16	nan	nan	nan	nan
54322.6662035716	2.8825203690945124e-15	6.955809376271756e-16	7.20599421881895e-16	3.984711140166333e-17	1.0040858865817557e-15	1.6879120842682881e-16	nan	nan	1.9822151297444933e-15	1.084919544052224e-16	nan	nan	nan	nan
54322.7162035716	2.972677382207985e-15	6.9705585802590545e-16	7.447064949346022e-16	3.976929070575508e-17	1.056280370628397e-15	1.6694717865217446e-16	nan	nan	2.051430348714099e-15	1.113007441011781e-16	nan	nan	nan	nan
54322.766203571606	3.0637814861199336e-15	6.985220985565019e-16	7.689475314274339e-16	3.9699523358557977e-17	1.1086461892284018e-15	1.6517811280403135e-16	nan	nan	2.1210525683468118e-15	1.140546682262181e-16	nan	nan	nan	nan
54322.81620357161	3.1558317725344e-15	6.999454193155726e-16	7.933262844650871e-16	3.963674421555085e-17	1.1611878582632997e-15	1.6348153816368452e-16	nan	nan	2.191094915132602e-15	1.1675432128875194e-16	nan	nan	nan	nan
54322.86620357161	3.2488274201144586e-15	7.012960914850197e-16	8.178465074652121e-16	3.9580169588906205e-17	1.2139098938705865e-15	1.6185500363080008e-16	nan	nan	2.26157051627076e-15	1.1940112947508845e-16	nan	nan	nan	nan
