MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54517.36659994551	nan	nan	2.1977034355644938e-16	1.0117800640842033e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0032592547895785e-16	4.6111006201368466e-18
54517.416599945514	nan	nan	2.2384908979210063e-16	1.0202315208274487e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0410073117198712e-16	4.277652499130641e-18
54517.46659994552	nan	nan	2.2797152570541663e-16	1.028735917924792e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0791096300668778e-16	3.892724700452856e-18
54517.51659994552	nan	nan	2.3213771282606114e-16	1.0372888662038402e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.11756249963412e-16	3.459427231763064e-18
54517.56659994552	nan	nan	2.363477128045971e-16	1.0458864238428544e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.1563622150593175e-16	2.9815658934031187e-18
54517.616599945526	nan	nan	2.406015874129157e-16	1.0545251356093845e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.195505075760534e-16	2.4640724859083787e-18
54517.66659994553	nan	nan	2.448993985447612e-16	1.0632020648190453e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.234987385882241e-16	1.914207278812788e-18
54517.71659994553	nan	nan	2.492412082153968e-16	1.0719148185856928e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.2748054542410286e-16	1.3459356566630011e-18
54517.766599945535	nan	nan	2.5362707856198656e-16	1.0806615667312377e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.314955594271946e-16	8.034269524897914e-19
54517.81659994554	nan	nan	2.580570718440005e-16	1.0894410547636974e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.3554341244312905e-16	5.282985206231527e-19
54517.86659994554	nan	nan	2.6253125044292846e-16	1.098252611198833e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.396238415696943e-16	8.653344543413896e-19
54517.91659994554	nan	nan	2.6704967686256635e-16	1.1070961496586946e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.437369126569166e-16	1.3810532882682215e-18
