MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56947.652900000074	1.6613220276223417e-15	1.0767389481107347e-17	1.0023829318485194e-15	6.6105644272275966e-18	1.366560535641359e-15	1.0369475579314045e-17	nan	nan	7.538209147991129e-16	7.249577148043884e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.70290000008	1.6873448417646282e-15	1.0940012471850833e-17	1.017011425554346e-15	6.712499691671136e-18	1.3906352129292324e-15	1.0527165937030496e-17	nan	nan	7.610648824690434e-16	7.442637116541165e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.75290000008	1.712605887242116e-15	1.1108085857440402e-17	1.0311485631388776e-15	6.811901623317292e-18	1.41419143791806e-15	1.0677814286820956e-17	nan	nan	7.681636258153392e-16	7.549558567849874e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.80290000008	1.7371253578399493e-15	1.1271920555391416e-17	1.044810776239588e-15	6.908952473766554e-18	1.4372363262424395e-15	1.0821524097119197e-17	nan	nan	7.751212928591232e-16	7.567711432763672e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.852900000085	1.7609234361277242e-15	1.1431879634741624e-17	1.0580144893103957e-15	7.00388149745029e-18	1.4597769857847748e-15	1.0958424669454944e-17	nan	nan	7.81942029648609e-16	7.515440478743292e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.90290000009	1.784020293760801e-15	1.158837552332789e-17	1.0707761198737102e-15	7.096962726999356e-18	1.4818205167836502e-15	1.1088670638217734e-17	nan	nan	7.886299800681735e-16	7.432284454222519e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56947.95290000009	1.8064360901198806e-15	1.1741865498016796e-17	1.0831120787626754e-15	7.188511419589044e-18	1.5033740119395943e-15	1.1212441265266485e-17	nan	nan	7.951892859550352e-16	7.377621245482124e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.002900000094	1.8281905030013556e-15	1.1892691358808939e-17	1.0950383585687906e-15	7.278805471795338e-18	1.5244445565191457e-15	1.1329939526287361e-17	nan	nan	8.016240871098606e-16	7.423863774458566e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.0529000001	1.849302081503802e-15	1.2040862722146381e-17	1.106569065846284e-15	7.36781876590839e-18	1.5450392394084317e-15	1.1441388473380385e-17	nan	nan	8.079384835038787e-16	7.622229009601329e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.1029000001	1.8697892026100994e-15	1.2186376442102962e-17	1.1177177650318757e-15	7.455464462658537e-18	1.5651655580704125e-15	1.1546937292867337e-17	nan	nan	8.141364063078742e-16	7.927681315308669e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.1529000001	1.8896702338390553e-15	1.2329273689851086e-17	1.1284980147247572e-15	7.541695056384913e-18	1.5848315373356908e-15	1.1646633917096618e-17	nan	nan	8.202217394594799e-16	8.269241304238786e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.202900000106	1.9089635335043386e-15	1.2469642068040635e-17	1.1389233679308713e-15	7.626505041629097e-18	1.6040452301999163e-15	1.1740540407073903e-17	nan	nan	8.261983651355602e-16	8.586736602736725e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.25290000011	1.9276874510092505e-15	1.2607616570284494e-17	1.1490073722792655e-15	7.70993229333833e-18	1.6228146827866004e-15	1.1828742000411773e-17	nan	nan	8.320701637946384e-16	8.836326799185629e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.30290000011	1.9458603271006723e-15	1.2743379470002553e-17	1.158763570202944e-15	7.79205827327304e-18	1.6411479344609751e-15	1.1911347847222699e-17	nan	nan	8.378410141768974e-16	8.990905841246935e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.352900000114	1.9635004941529306e-15	1.2877159202620199e-17	1.1682054991670585e-15	7.87300714501178e-18	1.6590530179587369e-15	1.1988491500561303e-17	nan	nan	8.435147937496757e-16	9.039125685004643e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.40290000012	1.9806262764391934e-15	1.3009228289255024e-17	1.177346691844765e-15	7.952943859204997e-18	1.676537959498469e-15	1.2060331171156584e-17	nan	nan	8.490953780922577e-16	8.984829502806859e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.45290000012	1.9972559904131556e-15	1.3139900337167986e-17	1.1862006763393126e-15	8.032071254952544e-18	1.6936107789042497e-15	1.2127049750829823e-17	nan	nan	8.545866416914033e-16	8.847439063715728e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.50290000012	2.0134075305822276e-15	1.326946982992969e-17	1.1947808598388267e-15	8.110612016493663e-18	1.7102794897218602e-15	1.2188854603692504e-17	nan	nan	8.599924575170655e-16	8.663092850441665e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
