spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_U_fitflux	Bessell_U_fitfluxerr	Bessell_U_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g'_fitflux	sdss_g'_fitfluxerr	sdss_g'_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-09-07_20-39-51_CA-2.2m_CAFOS_None.dat	55811.86	3.620137800106103e-15	4.880448070843626e-17	True	3.3138501967409623e-15	2.2272848369684843e-17	True	4.3234273027607984e-15	1.8543759156744364e-16	True	1.529877079172594e-15	3.875130195635271e-17	True	4.363684769934171e-15	1.5280878382605616e-16	True	1.6181187710846506e-17	9.939593629298842e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-09-16_20-00-13_CA-2.2m_CAFOS_None.dat	55820.83	3.1144490656355688e-15	4.08837355174112e-17	True	2.824720610814885e-15	4.097273706864602e-17	True	3.686901045393874e-15	6.376297621869164e-16	True	1.3211467060241813e-15	3.474910372059051e-17	True	3.7231052547785036e-15	5.991459787644848e-16	True	2.21761280956327e-18	9.939637201378666e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-09-23_20-26-14_WHT-4.2m_ISIS_None.dat	55827.85	2.722474689130413e-15	4.291198857909928e-17	True	2.4744096301989444e-15	2.5431372138472668e-17	True	3.261032086078343e-15	1.7098484475662942e-16	True	1.1501793794247141e-15	3.0575826080141923e-17	True	3.244810340420464e-15	1.4494825893128915e-16	True	4.561168477113711e-19	9.9396380185764e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-10-30_03-32-05_Ekar_AFOSC_None.dat	55864.15	1.415762194665323e-15	2.6487745493667043e-17	True	1.2706383558924245e-15	2.5743874880430657e-17	True	1.7179242758369713e-15	3.2385203850532885e-17	True	5.985455358332827e-16	2.0760793325989176e-17	True	1.6540372053470174e-15	2.5726704717123465e-16	True	1.0457331514383697e-22	9.939638055154733e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-11-02_05-07-29_CA-2.2m_CAFOS_None.dat	55867.21	1.3398906965709197e-15	2.5983698207330616e-17	True	1.2012777521625826e-15	2.5623833921221795e-17	True	1.6276092910662756e-15	2.4428006842967053e-17	True	5.664691414270746e-16	1.9863926014313413e-17	True	1.5626970624195155e-15	2.572520678424494e-16	True	5.1086364484686115e-23	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-11-28_06-32-00_NOT_ALFOSC_None.dat	55893.27	8.382055198626367e-16	2.1378530002634406e-17	True	7.447808782747461e-16	2.320004810861788e-17	True	1.0275624182120466e-15	5.0219684705590245e-17	True	3.5437037136713964e-16	1.5412458510614622e-17	True	9.633269239735916e-16	2.4904565071758103e-16	True	1.1028898395477992e-25	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-12-03_05-57-41_NOT_ALFOSC_None.dat	55898.25	7.663379963713405e-16	2.0846551934180142e-17	True	6.797572252308481e-16	2.2582764066700746e-17	True	9.411053274434391e-16	3.954501711687854e-17	True	3.239867479554771e-16	1.5175185007677708e-17	True	8.782613539555795e-16	2.5254023130120764e-16	True	3.391891051141254e-26	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-12-18_00-00-00_Lick-3m_KAST_None.flm	55913.0	5.876451746259584e-16	1.6167202647146715e-17	True	5.186130835307067e-16	2.0376898391019892e-17	True	7.254087756057536e-16	1.0261218915307468e-16	True	2.48440309827647e-16	1.4880686372498923e-17	True	6.678930973081751e-16	2.2211712345103106e-16	True	1.0229261034561866e-27	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2011-12-24_00-00-00_Lick-3m_KAST_None.flm	55919.0	5.274865256844724e-16	1.5645495065548548e-17	True	4.645608878606689e-16	1.9543852549707977e-17	True	6.525213159116337e-16	1.0250605404133816e-16	True	2.2300687825128206e-16	1.45698302336396e-17	True	5.974941632021321e-16	2.2204779427524073e-16	True	2.4538267084588364e-28	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2012-01-25_02-50-38_NOT_ALFOSC_None.dat	55951.12	2.960447588812464e-16	1.7422756892383882e-17	True	2.5833827996655485e-16	1.5578831352922016e-17	True	3.701263126986533e-16	4.68199257839574e-17	True	1.2051840069317003e-16	4.400886974840526e-15	False	3.2917784440391767e-16	2.615590352038168e-16	True	1.1468556007097162e-31	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/SN_2011dh_2012-02-23_10-59-31_Lick-3m_KAST_UCB-SNDB_0.flm	55980.46	2.857878357713497e-16	8.048690451431447e-15	False	-6.339763229767442e-17	3.716282224279942e-15	False	2.2055905973286934e-16	1.3245491615789316e-16	True	6.179482014709568e-17	8.904926451835888e-15	False	1.9093483280266285e-16	1.721842371515162e-16	True	1.0108565270499924e-34	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2012-03-18_00-00-00_NOT_ALFOSC_None.dat	56004.0	2.295534731153822e-16	1.435527159408127e-14	False	-1.3077899297444002e-16	6.452713405895332e-15	False	2.0453930919082448e-17	6.727172347960154e-15	True	3.4536920146708816e-17	1.037655764088675e-14	False	1.0752041130869415e-17	1.0160773987193025e-14	True	3.525930176871948e-37	9.939638055154735e-15	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2011dh/2011dh_2012-05-24_01-19-38_GTC_OSIRIS_None.dat	56071.06	8.200520922142375e-17	2.0800055991921528e-14	False	-8.567203622956936e-17	9.475744931404627e-15	False	9.561210251196463e-21	6.770282701485567e-15	False	5.79881388405289e-18	1.119546166204752e-14	False	6.005100313820937e-21	1.0192650160971832e-14	False	3.344296727781442e-44	9.939638055154735e-15	False
