MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56341.41829998322	nan	nan	8.834553262066795e-16	2.727076759463494e-17	1.5154950253720359e-15	4.8085434968040544e-17	2.6664990103028607e-15	7.742963086900427e-17	3.3796829890206513e-15	4.189420868425879e-17	9.88167982896975e-16	1.667001478359235e-17	1.870448822380772e-15	3.139022091647118e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.46829998322	nan	nan	8.94762717767653e-16	2.699404310653484e-17	1.5425540041358846e-15	4.7752873307112946e-17	2.7087587324607614e-15	7.688046814747882e-17	3.4476419670969025e-15	4.233930503725898e-17	1.0073173750448135e-15	1.6369842892941862e-17	1.903045006182391e-15	3.1151105783656096e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.518299983225	nan	nan	9.061098773982682e-16	2.6736306689159165e-17	1.569627197013429e-15	4.748065700280598e-17	2.7511134888612458e-15	7.639882161850696e-17	3.515488514742068e-15	4.284582198369939e-17	1.0264816653808502e-15	1.611044051839779e-17	1.9355867068756684e-15	3.09618114848006e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.56829998323	nan	nan	9.174939489703209e-16	2.6497085303665498e-17	1.596705698011438e-15	4.7262646494188165e-17	2.7935495968472577e-15	7.598009460984666e-17	3.583188703583458e-15	4.339907023894058e-17	1.0456591036801652e-15	1.5889926727893205e-17	1.968067368857792e-15	3.0819588785395247e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.61829998323	nan	nan	9.289119631660863e-16	2.6275804152522066e-17	1.6237806011319326e-15	4.709288343487651e-17	2.836053362814367e-15	7.561960998641051e-17	3.6507086000663834e-15	4.3986877541566754e-17	1.0648479397295206e-15	1.5706301691368987e-17	2.0004805120378147e-15	3.072136276324088e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.668299983234	nan	nan	9.403609023168332e-16	2.607183887817714e-17	1.6508430002437634e-15	4.6965650012462513e-17	2.8786110508396693e-15	7.531236200573894e-17	3.718014410444344e-15	4.4599372001939234e-17	1.0840464293743538e-15	1.555746533776591e-17	2.032819675395348e-15	3.066396795275257e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.71829998324	nan	nan	9.51837749279976e-16	2.5884556195229942e-17	1.6778840410710968e-15	4.687539249729606e-17	2.9212089166311484e-15	7.505336662145238e-17	3.78507534202191e-15	4.522712628488688e-17	1.1032529646622494e-15	1.5440971728309597e-17	2.065078397894283e-15	3.064425590876044e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.76829998324	nan	nan	9.633394875385785e-16	2.5713317701208462e-17	1.7048950749320034e-15	4.6816393797666906e-17	2.9638332164543587e-15	7.483778051996708e-17	3.851863419611269e-15	4.586109875108254e-17	1.1224660724165004e-15	1.5354075315747733e-17	2.0972502185299524e-15	3.065913121181841e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.81829998324	nan	nan	9.748631011082786e-16	2.5557483485175453e-17	1.7318675035103507e-15	4.678318096476252e-17	3.006470206710686e-15	7.466092999629873e-17	3.918350768445223e-15	4.64940796754413e-17	1.141684285231328e-15	1.5294058156017777e-17	2.129328676502074e-15	3.0705583033114047e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.868299983245	nan	nan	9.864055711934404e-16	2.541640069477033e-17	1.758792727849648e-15	4.6770675766523096e-17	3.049106156296348e-15	7.451831131447987e-17	3.984509503867982e-15	4.712060221483462e-17	1.1609061357114063e-15	1.5258287925249563e-17	2.1613074082654977e-15	3.0780630631616924e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
