MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i	sdss_i_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56373.454600000056	nan	nan	nan	nan	3.03432579029256e-15	3.280786411523592e-17	nan	nan	4.696201018534138e-15	1.778882076190357e-16	2.2279259584209867e-15	5.622232266477912e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.50460000006	nan	nan	nan	nan	3.055113170202122e-15	3.2842792964870164e-17	nan	nan	4.7222715530205695e-15	1.7764953677297644e-16	2.233255592260219e-15	5.591349158632831e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.55460000006	nan	nan	nan	nan	3.076017948343049e-15	3.297645835039681e-17	nan	nan	4.7478430229957684e-15	1.7726084406682014e-16	2.238578820244456e-15	5.562967284135345e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.604600000064	nan	nan	nan	nan	3.0970223477346837e-15	3.3201889893811175e-17	nan	nan	4.772916204370221e-15	1.7672698470545464e-16	2.2438951406860377e-15	5.537108362658189e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.65460000007	nan	nan	nan	nan	3.1181085944621573e-15	3.351186682854738e-17	nan	nan	4.797491776107832e-15	1.7605402500156164e-16	2.2492040511863872e-15	5.513791348701939e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56373.70460000007	nan	nan	nan	nan	3.139258917138254e-15	3.3899121347245464e-17	nan	nan	4.8215703201329285e-15	1.7524930072093997e-16	2.2545050486197594e-15	5.493032220698057e-17	nan	nan	1.1622581774731573e-14	7.221869211246802e-16	1.271618640516142e-14	1.7720548480723071e-15	1.3478385571288846e-14	1.052075047223713e-15	1.1534774870099917e-14	1.407060110748728e-15
56373.75460000007	nan	nan	nan	nan	3.1604555463654864e-15	3.4356517788597364e-17	nan	nan	4.84515232122335e-15	1.7432147941278826e-16	2.2597976291169402e-15	5.474843782065634e-17	nan	nan	1.1600910201870349e-14	7.1422704694687e-16	1.2628877858110822e-14	1.7382582868527797e-15	1.3434030939437993e-14	1.0380919815211458e-15	1.1482464067319446e-14	1.3855543846776685e-15
56373.804600000076	nan	nan	nan	nan	3.18168071419843e-15	3.4877200672301996e-17	nan	nan	4.868238166889681e-15	1.7328062589032505e-16	2.2650812880489465e-15	5.4592354768301375e-17	nan	nan	1.1579050235608535e-14	7.065214991404044e-16	1.253551463505202e-14	1.7119395391863425e-15	1.33891997250357e-14	1.0246750595457662e-15	1.1428917674085647e-14	1.3653046204787738e-15
56373.85460000008	nan	nan	nan	nan	3.2029166536058392e-15	3.545470884321989e-17	nan	nan	4.8908281472406775e-15	1.7213826952647235e-16	2.270355520064935e-15	5.446213211138023e-17	nan	nan	1.1557001860806052e-14	6.99068352588755e-16	1.2436406041461017e-14	1.6922045742491458e-15	1.3343897348545451e-14	1.0118180573081042e-15	1.1374180553468509e-14	1.346285018292701e-15
56373.90460000008	nan	nan	nan	nan	3.2241455979329156e-15	3.608305642376571e-17	nan	nan	4.912922454834747e-15	1.7090747139727556e-16	2.2756199095239312e-15	5.43576064746441e-17	nan	nan	1.15347650592993e-14	6.918655335270582e-16	1.233185714380802e-14	1.6780942620196372e-15	1.3298129216194655e-14	9.995142762765751e-16	1.1318297422621146e-14	1.3284680048335892e-15
56373.954600000085	nan	nan	nan	nan	3.245349780363151e-15	3.675678365568512e-17	nan	nan	4.934521184517496e-15	1.6960288851958044e-16	2.2808743152749535e-15	5.427801290627244e-17	nan	nan	1.1512339809902285e-14	6.84910821279204e-16	1.2222168949558959e-14	1.668620925546133e-15	1.3251900720120346e-14	9.877565611743987e-16	1.1261312857341824e-14	1.3118244603927725e-15
56374.00460000009	nan	nan	nan	nan	3.266511433381348e-15	3.747098205933127e-17	nan	nan	4.95562433324534e-15	1.6824083147419279e-16	2.286118647509674e-15	5.422244609931892e-17	nan	nan	1.1489726088406713e-14	6.782018505304463e-16	1.2107638585319927e-14	1.6628025534513085e-15	1.320521723851446e-14	9.76537320811977e-16	1.1203271296624712e-14	1.2963239681986142e-15
56374.05460000009	nan	nan	nan	nan	3.287612788235156e-15	3.8221298832638846e-17	nan	nan	4.976231799895096e-15	1.6683931057621074e-16	2.2913528156043617e-15	5.418997173068904e-17	nan	nan	1.1466923867583254e-14	6.717361141410735e-16	1.1988559473200991e-14	1.6596920813918579e-15	1.3158084135769024e-14	9.658485518621635e-16	1.1144217047199818e-14	1.2819350823967915e-15
56374.10460000009	nan	nan	nan	nan	3.3086360743973083e-15	3.900392529778967e-17	nan	nan	4.996343385059524e-15	1.6541806446733677e-16	2.2965767281159845e-15	5.4179630838976214e-17	nan	nan	1.1443933117181716e-14	6.655109665004942e-16	1.1865221505475338e-14	1.6584003967228068e-15	1.3110506762620827e-14	9.556818654334375e-16	1.1084194288062353e-14	1.2686256103116443e-15
56374.154600000096	nan	nan	nan	nan	3.329563519027992e-15	3.981557371518516e-17	nan	nan	5.015958790828832e-15	1.6399856360940612e-16	2.301790292778285e-15	5.419044420542134e-17	nan	nan	1.1420753803931927e-14	6.595236274172455e-16	1.1737911217608902e-14	1.6581128626531413e-15	1.3062490456296004e-14	9.460285162410003e-16	1.1023247074992053e-14	1.2563629041797523e-15
56374.2046000001	nan	nan	nan	nan	3.35037734643689e-15	4.065344611619816e-17	nan	nan	5.0350776205580286e-15	1.6260397974950717e-16	2.3069934164978408e-15	5.422141668587961e-17	nan	nan	1.1397385891544299e-14	6.537711865309866e-16	1.1606911959735043e-14	1.6580999939200761e-15	1.301404054065432e-14	9.368794341243948e-16	1.096141934506257e-14	1.2451141572329042e-15
56374.2546000001	nan	nan	nan	nan	3.371059777544988e-15	4.1515198092777235e-17	nan	nan	5.05369937862019e-15	1.6125911116189786e-16	2.312186005350094e-15	5.427154144613493e-17	nan	nan	1.13738293407102e-14	6.482506082285516e-16	1.1472504066648163e-14	1.657723392757055e-15	1.296516232633309e-14	9.28225257611541e-16	1.0898754921141428e-14	1.2348466988550368e-15
56374.304600000105	nan	nan	nan	nan	3.391593029346806e-15	4.239889980989187e-17	nan	nan	5.071823470145445e-15	1.5999025258133384e-16	2.3173679645753656e-15	5.433980405813666e-17	nan	nan	1.1350084109102605e-14	6.429587370385606e-16	1.1334965026389686e-14	1.656438223153635e-15	1.2915861110890916e-14	9.20056369183814e-16	1.0835297516380773e-14	1.2255282835489524e-15
56374.35460000011	nan	nan	nan	nan	3.411959314371924e-15	4.3302995920810827e-17	nan	nan	5.089449200745811e-15	1.588249985329037e-16	2.3225391985748496e-15	5.442518642044124e-17	nan	nan	1.1326150151376641e-14	6.378923034729464e-16	1.1194569647499213e-14	1.65379345945937e-15	1.2866142178951079e-14	9.123629318590022e-16	1.0771090738699394e-14	1.2171273686133468e-15
56374.40460000011	nan	nan	nan	nan	3.4321408401472413e-15	4.4226265581128284e-17	nan	nan	5.106575776225663e-15	1.5779196960523156e-16	2.3276996109065665e-15	5.452667047225491e-17	nan	nan	1.1302027419169821e-14	6.330479302779243e-16	1.1051590225003043e-14	1.649430988696351e-15	1.2816010802344844e-14	9.051349266751433e-16	1.0706178095256169e-14	1.2096133757325845e-15
56374.454600000114	nan	nan	nan	nan	3.4521198086579577e-15	4.516778337624378e-17	nan	nan	5.123202302277894e-15	1.569204534950136e-16	2.3328491042813175e-15	5.464324167651519e-17	nan	nan	1.1277715861102622e-14	6.2842213905060755e-16	1.0906296705211936e-14	1.6430844482497035e-15	1.276547224025429e-14	8.98362190635574e-16	1.0640602996915505e-14	1.2029569320994548e-15
56374.50460000012	nan	nan	nan	nan	3.4718784158096366e-15	4.612688168660189e-17	nan	nan	5.139327784165747e-15	1.5623995670419474e-16	2.3379875805586007e-15	5.477389225356211e-17	nan	nan	1.1253215422778926e-14	6.240113571728305e-16	1.0758956849399413e-14	1.634578487457672e-15	1.2714531739354975e-14	8.92034454657556e-16	1.0574408762704801e-14	1.1971300871984875e-15
