#MJD,band,Flux,Flux_err,FilterSet,Instr
55692.88,sdss_z',3.6392507761911645e-16,6.703747669531009e-18,GeneralFilters,LTetal
55695.89,Bessell_B,6.216365687267851e-16,4.007839069958584e-17,GeneralFilters,LTetal
55695.89,Bessell_I,5.014379403083459e-16,1.8473656422643318e-17,GeneralFilters,LTetal
55695.89,Bessell_R,8.299042648713756e-16,3.821850377812941e-17,GeneralFilters,LTetal
55695.89,Bessell_U,2.53769839492957e-16,1.4023839587210224e-17,GeneralFilters,LTetal
55695.89,Bessell_V,8.060533313737188e-16,5.1968178779375933e-17,GeneralFilters,LTetal
55695.9,sdss_g',6.609486733642543e-16,4.261293575064069e-17,GeneralFilters,LTetal
55695.9,sdss_i',5.708282082824081e-16,5.2575220922077344e-17,GeneralFilters,LTetal
55695.9,sdss_r',8.354525405476562e-16,5.386361584155596e-17,GeneralFilters,LTetal
55695.9,sdss_u',2.2436771602995253e-16,5.579558189436382e-17,GeneralFilters,LTetal
55695.9,sdss_z',3.443594323963507e-16,2.220167307862624e-17,GeneralFilters,LTetal
55702.95,Bessell_B,4.380629813987285e-16,1.2104127489134982e-17,GeneralFilters,LTetal
55702.95,Bessell_I,5.014379403083459e-16,9.236828211332872e-18,GeneralFilters,LTetal
55702.95,Bessell_R,7.430670375455528e-16,2.0531701004982123e-17,GeneralFilters,LTetal
55702.95,Bessell_U,1.8048453920463333e-16,1.994788845551685e-17,GeneralFilters,LTetal
55702.95,Bessell_V,7.085390280442243e-16,1.9577656845369308e-17,GeneralFilters,LTetal
55702.95,sdss_g',5.447129937860115e-16,2.5084960389011878e-17,GeneralFilters,LTetal
55702.95,sdss_i',5.25418579858588e-16,1.4517851874780353e-17,GeneralFilters,LTetal
55702.95,sdss_r',7.619417727469417e-16,3.50887153531497e-17,GeneralFilters,LTetal
55702.95,sdss_u',1.8662093759905962e-16,2.750147769314698e-17,GeneralFilters,LTetal
55702.95,sdss_z',3.169654920784221e-16,1.1677440272829479e-17,GeneralFilters,LTetal
55703.86,Bessell_B,3.7457307354079303e-16,4.4849291519346044e-17,GeneralFilters,LTetal
55703.86,Bessell_I,4.0199179689608164e-16,3.3322331485369683e-17,GeneralFilters,LTetal
55703.86,Bessell_R,7.161895772843004e-16,5.93671479989001e-17,GeneralFilters,LTetal
55703.86,Bessell_U,2.0914139716709375e-16,2.6967688352823613e-17,GeneralFilters,LTetal
55703.86,Bessell_V,7.085390280442243e-16,8.483651299643871e-17,GeneralFilters,LTetal
55708.97,Bessell_B,3.9585538259780207e-16,1.458385124726331e-17,GeneralFilters,LTetal
55708.97,Bessell_I,4.448536834081362e-16,1.6389015359719027e-17,GeneralFilters,LTetal
55708.97,Bessell_R,6.776851926098562e-16,2.4966845155889632e-17,GeneralFilters,LTetal
55708.97,Bessell_U,1.6766407025428404e-16,1.0809702086380574e-17,GeneralFilters,LTetal
55708.97,Bessell_V,6.058481376606141e-16,2.232027024631618e-17,GeneralFilters,LTetal
55708.97,sdss_g',4.877168219728461e-16,3.593630348406464e-17,GeneralFilters,LTetal
55708.97,sdss_i',4.926124982085811e-16,1.3611386339918964e-17,GeneralFilters,LTetal
55708.97,sdss_r',6.396196302791478e-16,4.1237801524233196e-17,GeneralFilters,LTetal
55708.97,sdss_u',1.7496870078927478e-16,1.933825546460814e-17,GeneralFilters,LTetal
55708.97,sdss_z',3.11180219856163e-16,8.598227225696063e-18,GeneralFilters,LTetal
55710.27,Bessell_B,3.922261586364436e-16,3.6125364238356266e-17,GeneralFilters,LTetal
55710.27,Bessell_I,4.248319695197729e-16,1.1738541120483493e-17,GeneralFilters,LTetal
55710.27,Bessell_R,6.776851926098562e-16,4.369197902286538e-17,GeneralFilters,LTetal
55710.27,Bessell_V,6.461952736825533e-16,5.951678417384967e-17,GeneralFilters,LTetal
55716.99,Bessell_B,3.2925816584055953e-16,1.8195478665875576e-17,GeneralFilters,LTetal
55716.99,Bessell_I,3.8037957678738966e-16,1.051027611826613e-17,GeneralFilters,LTetal
55716.99,Bessell_R,5.688896026519917e-16,1.5719000623526868e-17,GeneralFilters,LTetal
55716.99,Bessell_U,1.394568993538019e-16,2.825780122580821e-17,GeneralFilters,LTetal
55716.99,Bessell_V,5.085852694734634e-16,2.8105460640153586e-17,GeneralFilters,LTetal
55716.99,sdss_g',4.0194602232089384e-16,1.480823870695858e-17,GeneralFilters,LTetal
55716.99,sdss_i',4.212165495691877e-16,7.75909558367871e-18,GeneralFilters,LTetal
55716.99,sdss_r',5.779919422836107e-16,2.1294010082814537e-17,GeneralFilters,LTetal
55716.99,sdss_u',1.496099118418149e-16,2.3425289588441966e-17,GeneralFilters,LTetal
55716.99,sdss_z',2.8907596447652817e-16,7.987464078573294e-18,GeneralFilters,LTetal
55724.31,Bessell_B,2.975339682805103e-16,2.466350208081726e-17,GeneralFilters,LTetal
55724.31,Bessell_I,3.3745602840240924e-16,1.86485092929602e-17,GeneralFilters,LTetal
55724.31,Bessell_R,4.819788669860406e-16,2.219594708528374e-17,GeneralFilters,LTetal
55724.31,Bessell_V,4.68127093485736e-16,3.449287894687268e-17,GeneralFilters,LTetal
55728.89,Bessell_B,2.5676543185830604e-16,3.310855832443512e-17,GeneralFilters,LTetal
55728.89,Bessell_I,2.9937614439627144e-16,5.514712378280524e-18,GeneralFilters,LTetal
55728.89,Bessell_R,4.3553994949744165e-16,1.2034413541383454e-17,GeneralFilters,LTetal
55728.89,Bessell_U,1.283630432878608e-16,4.256162351510297e-17,GeneralFilters,LTetal
55728.89,Bessell_V,4.230228016641267e-16,5.454657583808818e-17,GeneralFilters,LTetal
55728.9,sdss_g',3.1927707436449698e-16,2.3525204222996362e-17,GeneralFilters,LTetal
55728.9,sdss_i',3.07967881999411e-16,1.1345956067392761e-17,GeneralFilters,LTetal
55728.9,sdss_r',4.384517259638461e-16,3.230631706249399e-17,GeneralFilters,LTetal
55728.9,sdss_u',1.210487661478845e-16,2.6757608107903602e-17,GeneralFilters,LTetal
55728.9,sdss_z',2.4491308187354845e-16,1.1278664228033788e-17,GeneralFilters,LTetal
55736.0,Bessell_B,2.277909965571437e-16,1.2588195671757112e-17,GeneralFilters,LTetal
55736.0,Bessell_I,2.559865757049431e-16,9.43089397159272e-18,GeneralFilters,LTetal
55736.0,Bessell_R,3.5894507299222085e-16,1.32240251883464e-17,GeneralFilters,LTetal
55736.0,Bessell_U,1.0775563858799847e-16,6.94726275877562e-18,GeneralFilters,LTetal
55736.0,Bessell_V,3.9297396358690555e-16,1.8097119809876872e-17,GeneralFilters,LTetal
55738.92,Bessell_B,2.2158305950162355e-16,1.8367698588161477e-17,GeneralFilters,LTetal
55738.92,Bessell_I,2.444652819191004e-16,2.0264476100412805e-17,GeneralFilters,LTetal
55738.92,Bessell_R,3.3964716695345416e-16,3.128266014029396e-17,GeneralFilters,LTetal
55738.92,Bessell_U,1.0196238957869701e-16,1.502573301053748e-17,GeneralFilters,LTetal
55738.92,Bessell_V,3.7184656779510246e-16,3.082350109998055e-17,GeneralFilters,LTetal
55738.92,sdss_g',2.7552926597120117e-16,1.5226309932231688e-17,GeneralFilters,LTetal
55738.92,sdss_i',2.7071070273842767e-16,1.2466688572764465e-17,GeneralFilters,LTetal
55738.92,sdss_r',3.8897508467780057e-16,2.149555755653444e-17,GeneralFilters,LTetal
55738.92,sdss_u',1.188393771708157e-16,3.3931084513380365e-17,GeneralFilters,LTetal
55738.92,sdss_z',2.33890177408858e-16,6.462624430803866e-18,GeneralFilters,LTetal
55741.27,Bessell_B,2.429609933786367e-16,2.2377534461358973e-17,GeneralFilters,LTetal
55741.27,Bessell_I,2.4901023084065937e-16,9.173875928605898e-18,GeneralFilters,LTetal
55741.27,Bessell_R,3.3039083871825774e-16,3.3473132884134895e-17,GeneralFilters,LTetal
55741.27,Bessell_V,3.7184656779510246e-16,3.4248334555480084e-17,GeneralFilters,LTetal
55742.89,Bessell_B,2.2158305950162355e-16,3.469454177753813e-17,GeneralFilters,LTetal
55742.89,Bessell_I,2.4000328766373287e-16,1.9894607727957737e-17,GeneralFilters,LTetal
55742.89,Bessell_R,3.2436052630396663e-16,3.286217935539649e-17,GeneralFilters,LTetal
55742.89,Bessell_U,9.129353104004209e-17,3.111124630165973e-17,GeneralFilters,LTetal
