MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55267.70000000007	nan	nan	nan	nan	1.7561671487552378e-17	4.4372726101264944e-18	2.1844529372338324e-17	2.51228387703623e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55267.75000000007	nan	nan	nan	nan	2.305437966107295e-17	5.769719928345963e-18	2.7986313979979366e-17	3.1121500185837703e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55267.800000000076	nan	nan	nan	nan	2.853260314383201e-17	7.045676425579274e-18	3.4153199174723397e-17	3.708117834773696e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55267.85000000008	nan	nan	nan	nan	3.398057218900419e-17	8.27158711355224e-18	4.034611669793985e-17	4.288270140869447e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55267.90000000008	nan	nan	nan	nan	3.9382515821045544e-17	9.454781192066653e-18	4.656599845326079e-17	4.84738407602915e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55267.950000000084	nan	nan	nan	nan	4.472266119881842e-17	1.0603057033720124e-17	5.2813776511803385e-17	5.3831673699449026e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.00000000009	nan	nan	nan	nan	4.998523297906474e-17	1.172444695394349e-17	5.909038311739236e-17	5.89477428123745e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.05000000009	nan	nan	nan	nan	5.5154663219010445e-17	1.2826924217747738e-17	6.539675069301329e-17	6.382151989232691e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.10000000009	nan	nan	nan	nan	6.022356496560575e-17	1.3914528376841612e-17	7.17338118464342e-17	6.845724684004246e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.150000000096	nan	nan	nan	nan	6.519517949177175e-17	1.4986184683830004e-17	7.810249937579397e-17	7.286228408943308e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
