MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
53549.45180000007	8.815827851955284e-15	8.52760577002893e-18	nan	nan	1.3891146443687103e-15	3.5111235509675584e-17	nan	nan	2.5305549653832053e-15	7.558915540659801e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.50180000007	8.954463797377926e-15	8.901371941552863e-18	nan	nan	1.439724922966871e-15	3.538819167366308e-17	nan	nan	2.620129033769014e-15	7.820017382762686e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.551800000074	9.088942404960979e-15	9.164664667032023e-18	nan	nan	1.490221146603256e-15	3.57041591437197e-17	nan	nan	2.7095502227962938e-15	8.068612959961392e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.60180000008	9.219949589098836e-15	9.422603169462027e-18	nan	nan	1.5405913738775227e-15	3.6052828590322865e-17	nan	nan	2.798779288328386e-15	8.304736352643468e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.65180000008	9.34817100665796e-15	1.0168186680806225e-17	nan	nan	1.5908236619007057e-15	3.642827235798158e-17	nan	nan	2.887776981351106e-15	8.528438268275761e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.70180000008	9.474271789911795e-15	1.2092667650119691e-17	nan	nan	1.6409060674530346e-15	3.682497261557957e-17	nan	nan	2.9765040468285336e-15	8.739784357031042e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.751800000085	9.598555753676057e-15	1.5290615783647935e-17	nan	nan	1.6908266479763488e-15	3.7237834675159353e-17	nan	nan	3.06492122246152e-15	8.9388539593432e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.80180000009	9.72101617948155e-15	1.9362691031534985e-17	nan	nan	1.740573460912488e-15	3.76621888756305e-17	nan	nan	3.152989237502721e-15	9.125739172088178e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.85180000009	9.841636115775864e-15	2.3998685765526952e-17	nan	nan	1.7901345620492667e-15	3.8093781977222e-17	nan	nan	3.2406688115754693e-15	9.300544152558529e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.901800000094	9.96039847993889e-15	2.900398849106681e-17	nan	nan	1.8394980104825497e-15	3.8528762427139064e-17	nan	nan	3.3279206534576646e-15	9.463384602115562e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53549.9518000001	1.0077286433448173e-14	3.425405169159176e-17	nan	nan	1.8886518621655534e-15	3.896366216124792e-17	nan	nan	3.414705528622745e-15	9.614386912229871e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.0018000001	1.0192286285954712e-14	3.966312151457624e-17	nan	nan	1.937584175697936e-15	3.939537327051703e-17	nan	nan	3.5009863704053005e-15	9.753673324295493e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.0518000001	1.0305385990112157e-14	4.516787737450226e-17	nan	nan	1.9862830063713036e-15	3.9821125861840954e-17	nan	nan	3.586728675652579e-15	9.88135915862727e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.101800000106	1.0416573386132391e-14	5.0718958194883386e-17	nan	nan	2.0347364119583013e-15	4.02384630722572e-17	nan	nan	3.6718980746189746e-15	9.997569776127231e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.15180000011	1.0525836173552547e-14	5.627629221922544e-17	nan	nan	2.0829324487429506e-15	4.064521789503135e-17	nan	nan	3.7564601810658105e-15	1.0102441872076477e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.20180000011	1.0633161913195633e-14	6.180640421298756e-17	nan	nan	2.1308591764827266e-15	4.103949142227509e-17	nan	nan	3.840380591235926e-15	1.019612378822686e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.251800000115	1.0738538024327623e-14	6.728077268646308e-17	nan	nan	2.178504648815211e-15	4.141962964609366e-17	nan	nan	3.923624882804044e-15	1.027877586843542e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.30180000012	1.084195178524565e-14	7.267477424093755e-17	nan	nan	2.2258569246708663e-15	4.178420542146628e-17	nan	nan	4.006158613820989e-15	1.0350570856976265e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.35180000012	1.0943390328474479e-14	7.79669735313239e-17	nan	nan	2.2729040616569345e-15	4.2131998305438365e-17	nan	nan	4.087947321640981e-15	1.0411694338907561e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.40180000012	1.1042840644589715e-14	8.313862670864228e-17	nan	nan	2.319634115065022e-15	4.2461978784030164e-17	nan	nan	4.168956521904691e-15	1.0462345222459964e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.451800000126	1.1140289575747753e-14	8.817332267368796e-17	nan	nan	2.366035141675359e-15	4.277329222745904e-17	nan	nan	4.249151707468454e-15	1.0502736263479649e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.50180000013	1.123572382058733e-14	9.305671692619536e-17	nan	nan	2.4120952002530046e-15	4.306524525174711e-17	nan	nan	4.32849834735349e-15	1.0533094632158179e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.55180000013	1.1329129926877196e-14	9.777632992154792e-17	nan	nan	2.4578023469165788e-15	4.333729307453731e-17	nan	nan	4.406961885676273e-15	1.0553662521988655e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.601800000135	1.1420494296907816e-14	1.0232139185122469e-16	nan	nan	2.5031446374538957e-15	4.3589028377003366e-17	nan	nan	4.484507740622739e-15	1.056469780091436e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.65180000014	1.1509803179844955e-14	1.0668272182296967e-16	nan	nan	2.548110130464613e-15	4.382017100519435e-17	nan	nan	4.561101303379045e-15	1.0566474703929168e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.70180000014	1.1597042674964685e-14	1.1085263319661204e-16	nan	nan	2.5926868810749343e-15	4.4030559055440116e-17	nan	nan	4.636707937062712e-15	1.0559284565959339e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.751800000144	1.1682198728810501e-14	1.1482485926051934e-16	nan	nan	2.6368629473883098e-15	4.422014081491658e-17	nan	nan	4.711292975692213e-15	1.0543436592880343e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.80180000015	1.1765257133624813e-14	1.1859449503380289e-16	nan	nan	2.6806263860195662e-15	4.438896785550899e-17	nan	nan	4.78482172310659e-15	1.0519258667302977e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.85180000015	1.1846203528133192e-14	1.2215795204179021e-16	nan	nan	2.723965252591116e-15	4.4537188087575847e-17	nan	nan	4.857259451929655e-15	1.0487098184344383e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.90180000015	1.1925023394505411e-14	1.2551292363508908e-16	nan	nan	2.7668676047102e-15	4.466504120047844e-17	nan	nan	4.928571402483066e-15	1.0447322910612025e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53550.951800000155	1.2001702056983005e-14	1.2865835890859198e-16	nan	nan	2.8093214991570495e-15	4.4772851912511664e-17	nan	nan	4.998722781762454e-15	1.040032185714557e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.00180000016	1.2076224683251704e-14	1.315944435919794e-16	nan	nan	2.8513149913886725e-15	4.4861027466410786e-17	nan	nan	5.0676787623443445e-15	1.0346506154171196e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.05180000016	1.2148576279147757e-14	1.343225864823887e-16	nan	nan	2.8928361840017973e-15	4.493004987294916e-17	nan	nan	5.135404481348829e-15	1.0286309911795827e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.101800000164	1.2218741690422485e-14	1.3684541008991368e-16	nan	nan	2.9338734690475615e-15	4.49804647930058e-17	nan	nan	5.201865039366862e-15	1.0220191046393234e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.15180000017	1.2286705602644256e-14	1.391667441920125e-16	nan	nan	2.9744153558474894e-15	4.5012883242666365e-17	nan	nan	5.267025499405632e-15	1.0148632047214022e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.20180000017	1.2352452533846143e-14	1.4129162095034823e-16	nan	nan	3.0144503596775967e-15	4.502798434862998e-17	nan	nan	5.3308508858116275e-15	1.0072140651520788e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.25180000017	1.2415966842368419e-14	1.432262701462299e-16	nan	nan	3.053966990521018e-15	4.502651150204942e-17	nan	nan	5.393306183224084e-15	9.99125038961009e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.301800000176	1.2477232716467254e-14	1.449781129365129e-16	nan	nan	3.092953759022498e-15	4.500927052664762e-17	nan	nan	5.454356335496129e-15	9.90652095275065e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.35180000018	1.2536234180000518e-14	1.465557523323981e-16	nan	nan	3.1313991769845994e-15	4.497712640658274e-17	nan	nan	5.513966244635538e-15	9.818538328354883e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
