MJD,Mag,Mag_err,band,Instr
55674.39,17.02,0.07,Bessell_B,LTetal
55674.39,16.02,0.04,Bessell_I,LTetal
55674.39,16.24,0.03,Bessell_R,LTetal
55674.39,16.53,0.07,Bessell_V,LTetal
55674.88,17.04,0.09,Bessell_B,LTetal
55674.88,16.04,0.06,Bessell_I,LTetal
55674.88,16.2,0.07,Bessell_R,LTetal
55674.88,16.54,0.09,Bessell_V,LTetal
55674.88,16.74,0.09,sdss_g',LTetal
55674.88,16.49,0.14,sdss_i',LTetal
55674.88,16.48,0.08,sdss_r',LTetal
55674.88,16.59,0.02,sdss_z',LTetal
55675.91,17.1,0.06,Bessell_B,LTetal
55675.91,16.04,0.05,Bessell_I,LTetal
55675.91,16.17,0.05,Bessell_R,LTetal
55675.91,16.89,0.1,Bessell_U,LTetal
55675.91,16.54,0.05,Bessell_V,LTetal
55675.91,16.82,0.04,sdss_g',LTetal
55675.91,16.43,0.05,sdss_i',LTetal
55675.91,16.43,0.04,sdss_r',LTetal
55675.91,17.52,0.23,sdss_u',LTetal
55675.91,16.53,0.03,sdss_z',LTetal
55676.94,17.11,0.02,Bessell_B,LTetal
55676.94,16,0.03,Bessell_I,LTetal
55676.94,16.17,0.04,Bessell_R,LTetal
55676.94,17.06,0.05,Bessell_U,LTetal
55676.94,16.52,0.02,Bessell_V,LTetal
55676.94,16.82,0.09,sdss_g',LTetal
55676.94,16.41,0.07,sdss_i',LTetal
55676.94,16.42,0.08,sdss_r',LTetal
55676.94,17.6,0.15,sdss_u',LTetal
55676.94,16.58,0.03,sdss_z',LTetal
55682.91,17.32,0.09,Bessell_B,LTetal
55682.91,15.95,0.07,Bessell_I,LTetal
55682.91,16.15,0.06,Bessell_R,LTetal
55682.91,16.58,0.17,Bessell_V,LTetal
55684.87,17.41,0.27,Bessell_B,LTetal
55684.87,15.96,0.05,Bessell_I,LTetal
55684.87,16.14,0.06,Bessell_R,LTetal
55684.87,17.56,0.08,Bessell_U,LTetal
55684.87,16.61,0.2,Bessell_V,LTetal
55684.87,17.02,0.06,sdss_g',LTetal
55684.87,16.41,0.05,sdss_i',LTetal
55684.87,16.34,0.07,sdss_r',LTetal
55684.87,18.4,0.1,sdss_u',LTetal
55684.87,16.51,0.02,sdss_z',LTetal
55688.99,17.58,0.16,Bessell_B,LTetal
55688.99,16.12,0.09,Bessell_I,LTetal
55688.99,16.24,0.14,Bessell_R,LTetal
55688.99,17.71,0.17,Bessell_U,LTetal
55688.99,16.63,0.14,Bessell_V,LTetal
55689.1,17.61,0.05,Bessell_B,LTetal
55689.1,15.99,0.04,Bessell_I,LTetal
55689.1,16.15,0.05,Bessell_R,LTetal
55689.1,17.83,0.04,Bessell_U,LTetal
55689.1,16.65,0.05,Bessell_V,LTetal
55689.1,17.27,0.04,sdss_g',LTetal
55689.1,16.39,0.03,sdss_i',LTetal
55689.1,16.33,0.04,sdss_r',LTetal
55689.1,18.71,0.2,sdss_u',LTetal
55689.1,16.49,0.03,sdss_z',LTetal
55692.87,17.7,0.03,Bessell_B,LTetal
55692.87,15.99,0.04,Bessell_I,LTetal
55692.87,16.2,0.04,Bessell_R,LTetal
55692.87,18.06,0.17,Bessell_U,LTetal
55692.87,16.75,0.03,Bessell_V,LTetal
55692.88,17.37,0.03,sdss_g',LTetal
55692.88,16.44,0.01,sdss_i',LTetal
55692.88,16.41,0.03,sdss_r',LTetal
55692.88,18.92,0.26,sdss_u',LTetal
55692.88,16.54,0.02,sdss_z',LTetal
55695.89,17.8,0.07,Bessell_B,LTetal
55695.89,16.02,0.04,Bessell_I,LTetal
55695.89,16.24,0.05,Bessell_R,LTetal
55695.89,18.31,0.06,Bessell_U,LTetal
55695.89,16.85,0.07,Bessell_V,LTetal
55695.9,17.42,0.07,sdss_g',LTetal
55695.9,16.49,0.1,sdss_i',LTetal
55695.9,16.52,0.07,sdss_r',LTetal
55695.9,19.3,0.27,sdss_u',LTetal
55695.9,16.6,0.07,sdss_z',LTetal
55702.95,18.18,0.03,Bessell_B,LTetal
55702.95,16.02,0.02,Bessell_I,LTetal
55702.95,16.36,0.03,Bessell_R,LTetal
55702.95,18.68,0.12,Bessell_U,LTetal
55702.95,16.99,0.03,Bessell_V,LTetal
55702.95,17.63,0.05,sdss_g',LTetal
55702.95,16.58,0.03,sdss_i',LTetal
55702.95,16.62,0.05,sdss_r',LTetal
55702.95,19.5,0.16,sdss_u',LTetal
55702.95,16.69,0.04,sdss_z',LTetal
55703.86,18.35,0.13,Bessell_B,LTetal
55703.86,16.26,0.09,Bessell_I,LTetal
55703.86,16.4,0.09,Bessell_R,LTetal
55703.86,18.52,0.14,Bessell_U,LTetal
55703.86,16.99,0.13,Bessell_V,LTetal
55708.97,18.29,0.04,Bessell_B,LTetal
55708.97,16.15,0.04,Bessell_I,LTetal
55708.97,16.46,0.04,Bessell_R,LTetal
55708.97,18.76,0.07,Bessell_U,LTetal
55708.97,17.16,0.04,Bessell_V,LTetal
55708.97,17.75,0.08,sdss_g',LTetal
55708.97,16.65,0.03,sdss_i',LTetal
55708.97,16.81,0.07,sdss_r',LTetal
55708.97,19.57,0.12,sdss_u',LTetal
55708.97,16.71,0.03,sdss_z',LTetal
55710.27,18.3,0.1,Bessell_B,LTetal
55710.27,16.2,0.03,Bessell_I,LTetal
55710.27,16.46,0.07,Bessell_R,LTetal
55710.27,17.09,0.1,Bessell_V,LTetal
55716.99,18.49,0.06,Bessell_B,LTetal
55716.99,16.32,0.03,Bessell_I,LTetal
55716.99,16.65,0.03,Bessell_R,LTetal
55716.99,18.96,0.22,Bessell_U,LTetal
55716.99,17.35,0.06,Bessell_V,LTetal
55716.99,17.96,0.04,sdss_g',LTetal
55716.99,16.82,0.02,sdss_i',LTetal
55716.99,16.92,0.04,sdss_r',LTetal
55716.99,19.74,0.17,sdss_u',LTetal
55716.99,16.79,0.03,sdss_z',LTetal
55724.31,18.6,0.09,Bessell_B,LTetal
55724.31,16.45,0.06,Bessell_I,LTetal
55724.31,16.83,0.05,Bessell_R,LTetal
55724.31,17.44,0.08,Bessell_V,LTetal
55728.89,18.76,0.14,Bessell_B,LTetal
55728.89,16.58,0.02,Bessell_I,LTetal
55728.89,16.94,0.03,Bessell_R,LTetal
55728.89,19.05,0.36,Bessell_U,LTetal
55728.89,17.55,0.14,Bessell_V,LTetal
55728.9,18.21,0.08,sdss_g',LTetal
55728.9,17.16,0.04,sdss_i',LTetal
55728.9,17.22,0.08,sdss_r',LTetal
55728.9,19.97,0.24,sdss_u',LTetal
55728.9,16.97,0.05,sdss_z',LTetal
55736.0,18.89,0.06,Bessell_B,LTetal
55736.0,16.75,0.04,Bessell_I,LTetal
55736.0,17.15,0.04,Bessell_R,LTetal
55736.0,19.24,0.07,Bessell_U,LTetal
55736.0,17.63,0.05,Bessell_V,LTetal
55738.92,18.92,0.09,Bessell_B,LTetal
55738.92,16.8,0.09,Bessell_I,LTetal
55738.92,17.21,0.1,Bessell_R,LTetal
55738.92,19.3,0.16,Bessell_U,LTetal
55738.92,17.69,0.09,Bessell_V,LTetal
55738.92,18.37,0.06,sdss_g',LTetal
55738.92,17.3,0.05,sdss_i',LTetal
55738.92,17.35,0.06,sdss_r',LTetal
55738.92,19.99,0.31,sdss_u',LTetal
55738.92,17.02,0.03,sdss_z',LTetal
55741.27,18.82,0.1,Bessell_B,LTetal
55741.27,16.78,0.04,Bessell_I,LTetal
55741.27,17.24,0.11,Bessell_R,LTetal
55741.27,17.69,0.1,Bessell_V,LTetal
55742.89,18.92,0.17,Bessell_B,LTetal
55742.89,16.82,0.09,Bessell_I,LTetal
55742.89,17.26,0.11,Bessell_R,LTetal
55742.89,19.42,0.37,Bessell_U,LTetal
55742.89,17.8,0.16,Bessell_V,LTetal
55749.89,19.06,0.07,Bessell_B,LTetal
55749.89,16.99,0.09,Bessell_I,LTetal
55749.89,17.33,0.1,Bessell_R,LTetal
55749.89,19.4,0.17,Bessell_U,LTetal
55749.89,17.9,0.06,Bessell_V,LTetal
55749.89,18.55,0.06,sdss_g',LTetal
55749.89,17.49,0.03,sdss_i',LTetal
55749.89,17.62,0.05,sdss_r',LTetal
55749.89,20.18,0.22,sdss_u',LTetal
55749.89,17.19,0.05,sdss_z',LTetal
55759.94,19.24,0.08,Bessell_B,LTetal
55759.94,17.17,0.06,Bessell_I,LTetal
55759.94,17.45,0.06,Bessell_R,LTetal
55759.94,19.32,0.33,Bessell_U,LTetal
55759.94,18.04,0.08,Bessell_V,LTetal
55759.94,18.71,0.18,sdss_g',LTetal
55759.94,17.64,0.08,sdss_i',LTetal
55759.94,17.74,0.14,sdss_r',LTetal
55759.94,20.22,0.65,sdss_u',LTetal
55759.94,17.39,0.05,sdss_z',LTetal
55774.88,19.4,0.22,Bessell_B,LTetal
55774.88,17.18,0.08,Bessell_I,LTetal
55774.88,17.68,0.09,Bessell_R,LTetal
55774.88,18.23,0.08,Bessell_V,LTetal
55901.57,20.7,0.23,Bessell_B,LTetal
55901.57,18.71,0.17,Bessell_I,LTetal
55901.57,19.08,0.27,Bessell_R,LTetal
55901.57,19.63,0.23,Bessell_V,LTetal
55909.19,20.2,0.61,sdss_g',LTetal
55909.19,19.46,0.31,sdss_i',LTetal
55909.19,19.43,0.36,sdss_r',LTetal
55909.19,19.67,0.98,sdss_z',LTetal
55910.61,20.92,0.61,Bessell_B,LTetal
55910.61,18.61,0.23,Bessell_I,LTetal
55910.61,18.97,0.34,Bessell_R,LTetal
55910.61,19.8,0.6,Bessell_V,LTetal
55913.22,20.75,0.26,Bessell_B,LTetal
55913.22,18.84,0.09,Bessell_I,LTetal
55913.22,19.13,0.22,Bessell_R,LTetal
55913.22,20,0.25,Bessell_V,LTetal
55917.17,20.86,0.62,Bessell_B,LTetal
55917.17,18.85,0.43,Bessell_I,LTetal
55917.17,19.16,0.51,Bessell_R,LTetal
55917.17,19.88,0.5,Bessell_V,LTetal
55919.17,19.09,0.39,Bessell_I,LTetal
55919.17,19.36,0.19,Bessell_R,LTetal
55919.17,20.05,0.19,Bessell_V,LTetal
55927.26,19.1,0.21,Bessell_I,LTetal
55927.26,19.36,0.23,Bessell_R,LTetal
55927.26,20.15,0.17,Bessell_V,LTetal
55927.27,20.47,0.27,sdss_g',LTetal
55927.27,19.65,0.08,sdss_i',LTetal
55927.27,19.51,0.26,sdss_r',LTetal
55927.27,19.77,0.16,sdss_z',LTetal
55948.33,21.07,0.41,Bessell_B,LTetal
55948.33,19.08,0.06,Bessell_I,LTetal
55948.33,19.38,0.12,Bessell_R,LTetal
55948.33,20.35,0.12,Bessell_V,LTetal
