MJD,Mag,Mag_err,band,Instr
56474.959,15.552,0.007,sdss_g',LCOGT
56474.961,15.161,0.007,sdss_r',LCOGT
56474.963,15.267,0.01,sdss_i',LCOGT
56475.049,15.808,0.006,Bessell_B,LCOGT
56475.053,15.258,0.007,Bessell_V,LCOGT
56475.055,14.955,0.006,Bessell_R,LCOGT
56475.057,14.853,0.008,Bessell_I,LCOGT
56475.059,15.536,0.006,sdss_g',LCOGT
56475.063,15.151,0.007,sdss_r',LCOGT
56475.065,15.265,0.007,sdss_i',LCOGT
56475.067,15.219,0.022,sdss_z',LCOGT
56475.187,15.268,0.01,sdss_i',P60
56475.187,15.16,0.01,sdss_r',P60
56475.188,15.527,0.01,sdss_g',P60
56475.189,15.259,0.01,sdss_i',P60
56475.19,15.158,0.01,sdss_r',P60
56475.191,15.54,0.01,sdss_g',P60
56476.049,15.837,0.012,Bessell_B,LCOGT
56476.053,15.238,0.009,Bessell_V,LCOGT
56476.055,14.926,0.011,Bessell_R,LCOGT
56476.057,14.78,0.011,Bessell_I,LCOGT
56476.059,15.613,0.013,sdss_g',LCOGT
56476.063,15.17,0.013,sdss_r',LCOGT
56476.065,15.267,0.012,sdss_i',LCOGT
56476.067,15.145,0.022,sdss_z',LCOGT
56476.222,15.549,0.01,sdss_g',P60
56477.222,15.203,0.01,sdss_i',P60
56477.222,15.122,0.01,sdss_r',P60
56477.237,15.361,0.04,Bessell_V,LCOGT
56477.239,14.954,0.019,Bessell_R,LCOGT
56477.241,14.752,0.036,Bessell_I,LCOGT
56477.243,15.61,0.012,sdss_g',LCOGT
56477.247,15.104,0.024,sdss_r',LCOGT
56477.249,15.212,0.035,sdss_i',LCOGT
56478.243,15.677,0.005,sdss_g',LCOGT
56478.247,15.145,0.008,sdss_r',LCOGT
56478.249,15.201,0.01,sdss_i',LCOGT
56478.251,15.082,0.028,sdss_z',LCOGT
56479.233,16.118,0.012,Bessell_B,LCOGT
56479.236,15.306,0.007,Bessell_V,LCOGT
56479.239,14.928,0.009,Bessell_R,LCOGT
56479.241,14.753,0.012,Bessell_I,LCOGT
56479.243,15.734,0.005,sdss_g',LCOGT
56479.246,15.187,0.01,sdss_i',P60
56479.247,15.139,0.009,sdss_r',LCOGT
56479.247,15.149,0.01,sdss_r',P60
56479.248,15.722,0.01,sdss_g',P60
56479.249,15.216,0.011,sdss_i',LCOGT
56479.251,15.008,0.023,sdss_z',LCOGT
56479.762,16.368,0.021,Bessell_U,LCOGT
56479.858,16.122,0.017,Bessell_B,LCOGT
56479.861,15.316,0.024,Bessell_V,LCOGT
56479.863,15.779,0.024,sdss_g',LCOGT
56479.866,15.17,0.029,sdss_r',LCOGT
56479.868,15.203,0.018,sdss_i',LCOGT
56480.049,16.176,0.009,Bessell_B,LCOGT
56480.052,15.327,0.007,Bessell_V,LCOGT
56480.055,14.919,0.008,Bessell_R,LCOGT
56480.057,14.773,0.009,Bessell_I,LCOGT
56480.059,15.813,0.006,sdss_g',LCOGT
56480.063,15.173,0.007,sdss_r',LCOGT
56480.065,15.219,0.007,sdss_i',LCOGT
56480.067,15.155,0.022,sdss_z',LCOGT
56480.203,15.199,0.01,sdss_i',P60
56480.204,15.188,0.01,sdss_r',P60
56480.205,15.798,0.01,sdss_g',P60
56480.233,16.249,0.013,Bessell_B,LCOGT
56480.236,15.379,0.009,Bessell_V,LCOGT
56480.239,14.958,0.01,Bessell_R,LCOGT
56480.241,14.752,0.011,Bessell_I,LCOGT
56480.243,15.829,0.009,sdss_g',LCOGT
56480.247,15.179,0.009,sdss_r',LCOGT
56480.249,15.227,0.012,sdss_i',LCOGT
