MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
55962.95000000011	3.2303336466038373e-16	1.7095546507044672e-17	1.9235235792409717e-16	1.4690507493692388e-17	2.298182375151883e-16	1.2189022340606158e-17	3.1694810885744773e-16	1.5454173941400114e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.00000000012	3.3903497567707355e-16	1.7284129422354602e-17	1.984307284003756e-16	1.470617721342192e-17	2.4103423030066035e-16	1.2399192818886668e-17	3.3267931619428836e-16	1.5807452118698964e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.05000000012	3.549184784962406e-16	1.7474741391555186e-17	2.0448234728781882e-16	1.4728952941427003e-17	2.521716170773764e-16	1.259784439996357e-17	3.483397086355171e-16	1.6138909917119686e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.10000000012	3.7067422257409514e-16	1.767834608226325e-17	2.1050478208719e-16	1.475774100466114e-17	2.632246220522983e-16	1.2789692082486586e-17	3.6392320155193786e-16	1.6451981526035156e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.150000000125	3.863022178929903e-16	1.7892631333149274e-17	2.1649666038282725e-16	1.4791213221661172e-17	2.741928499970362e-16	1.2974469928433105e-17	3.794284844332074e-16	1.674693024522731e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.20000000013	4.018048872089402e-16	1.8111644402153104e-17	2.224568745838559e-16	1.4828069807232998e-17	2.850772500256085e-16	1.3150630718579947e-17	3.948554397485845e-16	1.7023262585797383e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.25000000013	4.171846501952036e-16	1.8329361319090612e-17	2.28384316832192e-16	1.4867128369109865e-17	2.9587877019965864e-16	1.331667006069653e-17	4.1020394923655656e-16	1.7280570676491866e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.300000000134	4.3244392349846526e-16	1.854004877040301e-17	2.342778789934898e-16	1.4907324167265686e-17	3.065983575408025e-16	1.3471218218231428e-17	4.254738939032725e-16	1.7518568968379333e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.35000000014	4.475851207947913e-16	1.8738541945159386e-17	2.4013645264763654e-16	1.4947708885794982e-17	3.1723695804179806e-16	1.3613112410870503e-17	4.406651540217174e-16	1.7737123188457724e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.40000000014	4.626106528457714e-16	1.892045046728951e-17	2.4595892907960754e-16	1.4987448237823896e-17	3.277955166772829e-16	1.3741452986289228e-17	4.557776091298496e-16	1.7936273036641728e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.45000000014	4.775229275546698e-16	1.9082306076094046e-17	2.517441992698505e-16	1.5025818680393732e-17	3.382749774159065e-16	1.3855646397811516e-17	4.708111380292663e-16	1.8116249751839347e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.500000000146	4.923243500222838e-16	1.9221665033698443e-17	2.5749115388538964e-16	1.5062203474034105e-17	3.4867628323133333e-16	1.3955437387267328e-17	4.857656187834472e-16	1.827748934983891e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.55000000015	5.070173226025659e-16	1.9337176155320665e-17	2.6319868327016363e-16	1.5096088275412232e-17	3.5900037611309703e-16	1.4040932182586978e-17	5.006409287169285e-16	1.84206420634999e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.60000000015	5.216042449590787e-16	1.9428622546098952e-17	2.6886567743576094e-16	1.5127056410995444e-17	3.692481970786327e-16	1.411261391825573e-17	5.154369444135667e-16	1.8546578272472216e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.650000000154	5.36087514120187e-16	1.9496942024180433e-17	2.744910260523113e-16	1.5154783942144655e-17	3.794206861841476e-16	1.4171350884394236e-17	5.301535417152051e-16	1.8656390991144203e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.70000000016	5.504695245353367e-16	1.9544228052766514e-17	2.800736184387043e-16	1.5179034598352514e-17	3.895187825361887e-16	1.42183976223062e-17	5.447905957193236e-16	1.8751394792726644e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.75000000016	5.647526681302946e-16	1.957370991897259e-17	2.8561234355378544e-16	1.51996546263947e-17	3.9954342430246346e-16	1.425538832447022e-17	5.593479807793781e-16	1.8833120866751738e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.80000000016	5.789393343632317e-16	1.9589707971900305e-17	2.9110608998655606e-16	1.5216567580385872e-17	4.0949554872332483e-16	1.428432147552476e-17	5.738255705014543e-16	1.8903307752243684e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.850000000166	5.930319102800228e-16	1.9597557107715153e-17	2.965537459472774e-16	1.5229769055842373e-17	4.1937609212335514e-16	1.4307534228569995e-17	5.882232377437399e-16	1.8963887166890556e-17	nan	nan	nan	nan	nan	nan	nan	nan
