MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56450.90000000011	1.2632516906025547e-14	1.6646010333073537e-16	2.2569633234006923e-15	3.0918250535015166e-17	5.538966421400786e-15	5.616889525102353e-17	2.2833979611246167e-14	6.223622739839521e-16	7.359901433654906e-15	5.2485267139177665e-17	nan	nan	nan	nan	nan	nan	2.209750664658409e-14	5.630369042119499e-16	nan	nan	nan	nan
56450.95000000011	1.3069463609847569e-14	1.7158198289750736e-16	2.3356875789109502e-15	3.1754280538377875e-17	5.749457986302528e-15	5.760812721258276e-17	2.3108851467534058e-14	6.1205591455338e-16	7.624194513792047e-15	5.384024117680322e-17	nan	nan	nan	nan	nan	nan	2.280041103335228e-14	5.762061967907942e-16	nan	nan	nan	nan
56451.00000000012	1.3492906275558664e-14	1.7648216520083153e-16	2.4133134877214032e-15	3.258239124869557e-17	5.9502781801957445e-15	5.897127122330187e-17	2.338086911994766e-14	6.035105629546595e-16	7.875648886183926e-15	5.514211057594017e-17	nan	nan	nan	nan	nan	nan	2.346193139570271e-14	5.886534095342901e-16	nan	nan	nan	nan
56451.05000000012	1.3902493550058239e-14	1.8114938818523035e-16	2.4897884929654513e-15	3.3398401828969666e-17	6.141561820880372e-15	6.026185056845273e-17	2.3649437738912753e-14	5.96621564656172e-16	8.11449475373648e-15	5.639154184063088e-17	nan	nan	nan	nan	nan	nan	2.4083470865534635e-14	6.00389724024279e-16	nan	nan	nan	nan
56451.10000000012	1.429793242261477e-14	1.8557793474528606e-16	2.56506287589435e-15	3.419883740831099e-17	6.32346156112906e-15	6.148245365133353e-17	2.391397779995061e-14	5.912710767282093e-16	8.340991317156739e-15	5.758864721233162e-17	nan	nan	nan	nan	nan	nan	2.466644299672806e-14	6.114286313657707e-16	nan	nan	nan	nan
56451.150000000125	1.4678983643406753e-14	1.8976614037447482e-16	2.6390896437979867e-15	3.498082129270873e-17	6.496144883942169e-15	6.263500233666438e-17	2.4173928873274685e-14	5.873315530131497e-16	8.555420569906117e-15	5.873313434085937e-17	nan	nan	nan	nan	nan	nan	2.521225109706847e-14	6.21786090832112e-16	nan	nan	nan	nan
56451.20000000013	1.5045457538833502e-14	1.9371527593747577e-16	2.7118244270418516e-15	3.574198294444293e-17	6.659791516460451e-15	6.372097161899951e-17	2.4428752434044984e-14	5.846692947294423e-16	8.758082030992116e-15	5.982444893635555e-17	nan	nan	nan	nan	nan	nan	2.57222731709281e-14	6.314802504942276e-16	nan	nan	nan	nan
56451.25000000013	1.539721018060047e-14	1.9742871035710128e-16	2.783225384193341e-15	3.648038001132514e-17	6.814591121810108e-15	6.474156409221685e-17	2.4677933883006603e-14	5.831478624557058e-16	8.949288312213373e-15	6.086190172726321e-17	nan	nan	nan	nan	nan	nan	2.6197851279410828e-14	6.405309624658894e-16	nan	nan	nan	nan
56451.300000000134	1.5734139870469007e-14	2.00911282438739e-16	2.8532531143240947e-15	3.719443256727011e-17	6.960741304713081e-15	6.56978488491513e-17	2.4920983941675372e-14	5.826311812622608e-16	9.129361359514039e-15	6.18447675156094e-17	nan	nan	nan	nan	nan	nan	2.6640284358402695e-14	6.489592393387435e-16	nan	nan	nan	nan
56451.35000000014	1.6056183907023142e-14	2.0416882940672464e-16	2.921870575710256e-15	3.788286780216404e-17	7.098445839000225e-15	6.659087067964914e-17	2.5157439557786757e-14	5.829862192991602e-16	9.298629280375742e-15	6.277235691788846e-17	nan	nan	nan	nan	nan	nan	2.7050823723422582e-14	6.567867371384536e-16	nan	nan	nan	nan
56451.40000000014	1.6363315604966825e-14	2.0720783333866765e-16	2.9890430102614037e-15	3.854467355459734e-17	7.227913087449018e-15	6.74217377286448e-17	2.5386864430180798e-14	5.840851726657987e-16	9.457423676305419e-15	6.364406269575452e-17	nan	nan	nan	nan	nan	nan	2.7430670642340555e-14	6.640353086317724e-16	nan	nan	nan	nan
