MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56192.7600000002	3.8188070893833495e-16	4.564762736390866e-17	1.0709847197807204e-16	1.572730266607708e-17	2.384632848422281e-16	3.637038376494115e-17	nan	nan	2.771207987559083e-16	2.1132165268664145e-17	3.11688658399877e-16	2.6013099080698213e-17	1.0438095755272969e-16	1.419971507813038e-17	nan	nan
56192.8100000002	3.7834741896694503e-16	3.595718975128738e-17	1.087548508953084e-16	1.2747004620453959e-17	2.356625132132005e-16	3.0480776246331224e-17	nan	nan	5.238745904812414e-16	3.235823486344738e-17	9.75262128182112e-16	8.285150363665645e-17	5.610441792498557e-16	4.10753807589242e-17	5.847921757589278e-16	6.223294354348291e-17
56192.860000000204	3.746763576290835e-16	2.6649345555429124e-17	1.1045395507910333e-16	9.893025321988195e-18	2.324817556095614e-16	2.4704612756122808e-17	nan	nan	7.712320954545483e-16	5.303878345788062e-17	1.6399478674894645e-15	1.3960678088616192e-16	1.0184114895311222e-15	7.752798786876144e-17	1.2591527235092391e-15	1.372590965771971e-16
56192.91000000021	3.708637480134251e-16	1.8358944790294237e-17	1.1219266460360173e-16	7.366539258417828e-18	2.289010092268714e-16	1.9276693198635266e-17	nan	nan	1.01917578788049e-15	7.520589924847232e-17	2.305691778616636e-15	1.9513749422325243e-16	1.4764459475723268e-15	1.1384058055016378e-16	1.9359868326825975e-15	2.1052847739119455e-16
56192.96000000021	3.669058052757707e-16	1.2788703669123222e-17	1.1396786354156968e-16	5.57339243572589e-18	2.2490022476810746e-16	1.461555995193714e-17	2.546042405294184e-16	8.947492976022921e-18	1.2676881438035816e-15	9.741276264417541e-17	2.9724397653502593e-15	2.4933668635993347e-16	1.9351106136999772e-15	1.4942681556864543e-16	2.6151977632773636e-15	2.8187252648780303e-16
56193.01000000021	3.627027018396087e-16	1.2551372327600758e-17	1.1572734827802543e-16	5.004575445640541e-18	2.204262262253099e-16	1.1368431723271248e-17	2.55298366327114e-16	7.337647760183961e-18	1.5167516410613172e-15	1.1928700010271293e-16	3.6401377332334245e-15	3.0218023562871067e-16	2.394368549038408e-15	1.8416484830932044e-16	3.2966887937630335e-15	3.5126585291810426e-16
56193.060000000216	3.5777045713827484e-16	1.6186086328656495e-17	1.1722254670547199e-16	5.444804575956963e-18	2.152934702642221e-16	1.0189068468889568e-17	2.5511688001952925e-16	7.873730763472156e-18	1.76634875930292e-15	1.4069561051231243e-16	4.308731589253539e-15	3.5366254453176106e-16	2.8541828152182656e-15	2.1801549814911147e-16	3.980363220327644e-15	4.187033815817797e-16
56193.11000000022	3.5153934089629667e-16	2.1592759991988898e-17	1.1816001064918313e-16	6.4728464154460945e-18	2.092884880084036e-16	1.1761884259673756e-17	2.531982493485444e-16	1.0340304861616328e-17	2.0164619797760594e-15	1.6158074899753274e-16	4.978167241889938e-15	4.037842599461292e-16	3.3145164749288514e-15	2.5096377254368776e-16	4.666124356084565e-15	4.841857726844452e-16
56193.16000000022	3.4384092225812456e-16	2.7988750489654003e-17	1.1841123697722948e-16	7.75466999725125e-18	2.0240096722618558e-16	1.5383819612198135e-17	2.4921131276155016e-16	1.4720366134010565e-17	2.267073785444041e-15	1.8191407509270564e-16	5.6483906010186594e-15	4.52548757049826e-16	3.7753325914271504e-15	2.830039433980891e-16	5.353875530384872e-15	5.477160549749251e-16
56193.210000000225	3.3502808472237415e-16	3.4635484926976015e-17	1.1806199649412304e-16	8.95473418389105e-18	1.9488453249910158e-16	1.9674978438986434e-17	2.435138976675903e-16	1.984024690912157e-17	2.5181666608311145e-15	2.016807550269659e-16	6.3193475775685596e-15	4.999608695544301e-16	4.2365942286452305e-15	3.1413452777980547e-16	6.0435200879456374e-15	6.092985584052706e-16
