spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-06_04-26-57_Swift-UVOT_UV-grism_None.txt	56206.19	2.1161368612902456e-14	4.605086699234305e-16	True	4.027691351522717e-15	1.1655267346181294e-16	True	8.035167970869525e-15	1.3459611349372763e-16	True	1.2369110831663442e-14	1.8359281029814207e-16	True	3.8581766846401905e-14	8.164855758438335e-16	True	8.585625814346797e-14	1.8372563110621334e-15	True	6.176401645503064e-14	1.2848710032421425e-15	True	8.846907107003518e-14	1.3789290396574368e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-08_07-44-55_Swift-UVOT_UV-grism_None.txt	56208.32	2.066349968025233e-14	3.2359952011807533e-16	True	4.0793872761433875e-15	6.31348933251564e-17	True	7.953332274127146e-15	1.0592162366360036e-16	True	1.1451417603863964e-14	1.4303402769458035e-16	True	3.6813243289277957e-14	7.876044448640248e-16	True	7.63971518619961e-14	1.6753725547387058e-15	True	5.625494865014962e-14	1.1930233270451712e-15	True	7.380796029743847e-14	1.2512862370578314e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/2009ip_2012-10-08_00-00-00_ESO-NTT_EFOSC2-NTT_PESSTO.txt	56208.5	2.0533810630108477e-14	3.124825353369272e-16	True	4.073904616877321e-15	6.42601678654936e-17	True	7.8848690841781e-15	1.0082374997796815e-16	True	1.1377643110594531e-14	1.3806558281643846e-16	True	3.659785135950342e-14	7.786107697450246e-16	True	7.54512375094771e-14	1.647149637166042e-15	True	5.567734386089614e-14	1.175948613089218e-15	True	7.237181157774421e-14	1.2357948217637104e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/2009ip_2012-10-09_00-00-00_ESO-NTT_EFOSC2-NTT_PESSTO.txt	56209.5	1.9735996422141765e-14	2.402696179353683e-16	True	4.033043266021396e-15	5.674551593780828e-17	True	7.595543384080765e-15	7.220305274706847e-17	True	1.0978009832185504e-14	1.1309743374778276e-16	True	3.531278045438251e-14	7.366938858932911e-16	True	7.011752385874904e-14	1.5180466571876972e-15	True	5.235915501274976e-14	1.0967000744833518e-15	True	6.474634919635629e-14	1.186948988976834e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-10_03-01-55_Swift-UVOT_UV-grism_None.txt	56210.13	1.9278473018859605e-14	2.1916085062600907e-16	True	4.017028330809991e-15	4.6462531012312124e-17	True	7.496007715602544e-15	7.345283129713965e-17	True	1.0812806644098676e-14	1.2184002598935207e-16	True	3.449679967747096e-14	7.226328193727106e-16	True	6.684537057935773e-14	1.468041661437972e-15	True	5.024155535258811e-14	1.0648079482289643e-15	True	6.058771863932946e-14	1.1540851675020738e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-10_05-49-38_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii	56210.24	1.9212056634353517e-14	2.2214993896746e-16	True	4.017045026683163e-15	4.8100278371032775e-17	True	7.482508563573203e-15	7.474675924939634e-17	True	1.0800425418820987e-14	1.2627198746007687e-16	True	3.435903584711707e-14	7.217055233793432e-16	True	6.62922753736736e-14	1.4627008864019696e-15	True	4.9874293120707826e-14	1.0612146281378425e-15	True	5.993821881881917e-14	1.1527406034276813e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-11_22-19-12_SALT_RSS_None.dat	56211.43	1.8772579231386735e-14	2.7515863342158465e-16	True	4.043467958284214e-15	6.726798539228914e-17	True	7.555901365976103e-15	1.1902902818625028e-16	True	1.0920568632873345e-14	1.5623222280787685e-16	True	3.2904333288120174e-14	7.221760037518873e-16	True	6.057886867745724e-14	1.4138601107489335e-15	True	4.5936467205335536e-14	1.0310972156886683e-15	True	5.426581486324943e-14	1.141488556069774e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-12_06-20-54_Swift-UVOT_UV-grism_None.txt	56212.26	1.8700338569269312e-14	2.940989000798833e-16	True	4.063957385693604e-15	6.483399255803865e-17	True	7.67739297498807e-15	1.238536805554307e-16	True	1.1089067000671231e-14	1.4868558596911223e-16	True	3.1814050328723264e-14	7.248728562012723e-16	True	5.669381427654087e-14	1.3636688561467432e-15	True	4.318077218125111e-14	1.0116041872118162e-15	True	5.119365952401435e-14	1.0454297197051725e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-13_04-19-12_FLWO-1.5m_FAST_None.dat	56213.18	1.868575067522956e-14	3.076898225877149e-16	True	4.084565627143265e-15	7.167028786951557e-17	True	7.74914907121896e-15	1.2508890371672713e-16	True	1.110954781250258e-14	1.4160453629388125e-16	True	3.039715171087434e-14	7.436533816541446e-16	True	5.220856848608411e-14	1.3260974610108314e-15	True	4.0025102131577846e-14	1.0218330869118268e-15	True	4.7840672390061463e-14	1.0249273786026616e-15	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-14_04-50-54_Swift-UVOT_UV-grism_None.txt	56214.2	1.842397823571443e-14	2.6272877963230316e-16	True	4.039966800526176e-15	6.355855434144955e-17	True	7.687961047325213e-15	1.2145768982568102e-16	True	1.0792978291262087e-14	1.5890154635841774e-16	True	2.8476206823441927e-14	7.803679133774084e-16	True	4.661975206939192e-14	1.2800282680529447e-15	True	3.617650678891201e-14	1.06626151740975e-15	True	4.31377564805468e-14	9.608160121303862e-16	True
