MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_r	sdss_r_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56572.518499987076	2.6331808474453715e-15	3.3219391649457714e-17	3.308982027591489e-16	4.7889285268941764e-18	6.577602966187815e-16	8.735976829217713e-18	1.1416770010283954e-15	1.4173488345870575e-17	8.148592009669667e-16	7.912218928167468e-18	nan	nan	1.4482819008719313e-14	6.525204720450706e-16	9.730276179671492e-15	4.312010751628347e-16	1.913857570673572e-14	7.220780683427669e-16
56572.56849998708	2.6417901273945083e-15	3.269179760420257e-17	3.3448629931760057e-16	4.695986228257758e-18	6.648596647755036e-16	8.570535988666691e-18	1.153048942877254e-15	1.4071730424612366e-17	8.247965668788379e-16	7.779039794450704e-18	nan	nan	1.4550228028506286e-14	6.570108166535898e-16	9.791296753697924e-15	4.3542797402804046e-16	1.9137765943468334e-14	7.279708379999412e-16
56572.61849998708	2.650395881184545e-15	3.2198808450052684e-17	3.3808419872288695e-16	4.611773473259298e-18	6.719596662407446e-16	8.42622095542659e-18	1.164379455597389e-15	1.3992796274799475e-17	8.347272267830787e-16	7.675471152077811e-18	nan	nan	1.461543406880014e-14	6.614370225165543e-16	9.851205302571498e-15	4.394899187909766e-16	1.9133486312901123e-14	7.335641447428335e-16
56572.668499987085	2.658992354990127e-15	3.17398930459513e-17	3.4169053573945557e-16	4.536174268038362e-18	6.790568642244948e-16	8.302134991921207e-18	1.1756646903597969e-15	1.3935897382263395e-17	8.446448056224089e-16	7.598787089092415e-18	nan	nan	1.46782657491944e-14	6.656069438704347e-16	9.909891815564809e-15	4.4325875916417786e-16	1.9125655230082958e-14	7.386330208860919e-16
56572.71849998709	2.667573794715421e-15	3.131447285487643e-17	3.453039452430644e-16	4.46905752192479e-18	6.861478219200749e-16	8.197326503800646e-18	1.1869007972508378e-15	1.3900237573623512e-17	8.545429282711742e-16	7.54626429354931e-18	nan	nan	1.4738550285043643e-14	6.693573811883814e-16	9.967245477337613e-15	4.46628185085585e-16	1.9114189105564723e-14	7.429900854708192e-16
56572.76849998709	2.6761344459073915e-15	3.0921924151815704e-17	3.4892306220012163e-16	4.410277991976368e-18	6.932291024895937e-16	8.110805746154187e-18	1.1980839251883788e-15	1.3885025274477963e-17	8.644152195053981e-16	7.515265141601718e-18	nan	nan	1.479611342045951e-14	6.725523596665988e-16	1.0023154624317072e-14	4.495119428223235e-16	1.90990023143278e-14	7.464826150485108e-16
56572.818499987094	2.6846685536688554e-15	3.0561580766363704e-17	3.525465216470202e-16	4.359677557019301e-18	7.002972690472153e-16	8.041562675029197e-18	1.2092102218380675e-15	1.3889484900730393e-17	8.742553039716139e-16	7.503309743647172e-18	nan	nan	1.485077936084419e-14	6.750812596243136e-16	1.0077506700806963e-14	4.518420976628718e-16	1.9080007164077727e-14	7.48989650824949e-16
56572.8684999871	2.693170362571835e-15	3.0232737317886407e-17	3.5617295866942243e-16	4.317086789228782e-18	7.073488846448389e-16	7.988585045232219e-18	1.2202758335294098e-15	1.391286702866208e-17	8.840568061557532e-16	7.508133211249618e-18	nan	nan	1.4902370704942555e-14	6.768569626279394e-16	1.0130188214812938e-14	4.535674348704522e-16	1.9057113862892802e-14	7.504193167241387e-16
56572.9184999871	2.7016341165707176e-15	2.993465288288867e-17	3.5980100838162115e-16	4.282326772875045e-18	7.143805122556196e-16	7.950875874023453e-18	1.2312769051719065e-15	1.3954457066748302e-17	8.938133503529048e-16	7.52772652119724e-18	nan	nan	1.4950708376393884e-14	6.778141187734711e-16	1.0181084693571507e-14	4.546520476053588e-16	1.90302304862194e-14	7.507064463952581e-16
56572.9684999871	2.7100540589153407e-15	2.96665550178515e-17	3.634293059058573e-16	4.255211103747953e-18	7.213887147583153e-16	7.927469483993309e-18	1.2422095801713366e-15	1.4013582237274566e-17	9.03518560636389e-16	7.560361127300975e-18	nan	nan	1.4995611554763346e-14	6.77907596825673e-16	1.0230080638769944e-14	4.550741315130754e-16	1.8999262943204493e-14	7.498105648231586e-16
56573.018499987105	2.718424432064241e-15	2.942764404644027e-17	3.670564863516193e-16	4.23554799114699e-18	7.283700549224902e-16	7.917445485748549e-18	1.2530700003455927e-15	1.4089616760083747e-17	9.13166060826549e-16	7.604598713510882e-18	nan	nan	1.5036897606033702e-14	6.77111147606977e-16	1.0277059481444418e-14	4.548249869427045e-16	1.896411494235655e-14	7.477142360469432e-16
56573.06849998711	2.726739477597788e-15	2.921709750927136e-17	3.7068118479497986e-16	4.223142377583089e-18	7.353210953920994e-16	7.919940242367738e-18	1.263854305840986e-15	1.4181985209939054e-17	9.22749474460831e-16	7.659288179374562e-18	nan	nan	1.507438201253801e-14	6.75416289293335e-16	1.0321903536543227e-14	4.539082180339037e-16	1.8924687956523883e-14	7.444217669651979e-16
56573.11849998711	2.734993436131408e-15	2.903407466734047e-17	3.743020362579211e-16	4.217797990380625e-18	7.422383986705333e-16	7.934155543477916e-18	1.2745586350481558e-15	1.429016408831283e-17	9.322624247613838e-16	7.723552188989245e-18	nan	nan	1.5107878302312812e-14	6.728314083117357e-16	1.0364493957142722e-14	4.523391105445502e-16	1.8880881187182515e-14	7.399582436535828e-16
56573.168499987114	2.743180547228596e-15	2.8877720947426986e-17	3.7791767568763137e-16	4.2193192441455464e-18	7.491185271042032e-16	7.959364394541172e-18	1.2851791245181297e-15	1.441368170723847e-17	9.416985346066938e-16	7.796765536889337e-18	nan	nan	1.5137197977852095e-14	6.693810588989218e-16	1.0404710688302303e-14	4.501441652563542e-16	1.8832591528022076e-14	7.343688673370654e-16
56573.21849998712	2.7512954232360987e-15	2.8747056020312306e-17	3.815267905293539e-16	4.227496515486799e-18	7.559583901941655e-16	7.994824189144582e-18	1.2957122512798125e-15	1.4551990445255867e-17	9.510520273659593e-16	7.878363356863191e-18	nan	nan	1.5162150444242225e-14	6.651054360513827e-16	1.0442432420545841e-14	4.473607595601338e-16	1.8779713527820575e-14	7.277185492126877e-16
56573.26849998712	2.7593343119028708e-15	2.8640587605826486e-17	3.851284965611939e-16	4.241990954286503e-18	7.627564174690869e-16	8.039476948407645e-18	1.306155989022725e-15	1.4704041198811666e-17	9.60320626081572e-16	7.967060338457171e-18	nan	nan	1.5182542936656726e-14	6.600599889338263e-16	1.0477536542955917e-14	4.440369052324138e-16	1.872213935259721e-14	7.200917143323211e-16
56573.31849998712	2.767293907347769e-15	2.855669367142104e-17	3.8872211820166145e-16	4.262407768369225e-18	7.695114540720674e-16	8.092245403858637e-18	1.3165087193027712e-15	1.4868693210505096e-17	9.69503412669434e-16	8.061428047838585e-18	nan	nan	1.5198180447191168e-14	6.543151335002002e-16	1.0509899095867887e-14	4.4023106459749453e-16	1.865975874703318e-14	7.115922527010608e-16
56573.368499987126	2.775170902373725e-15	2.849377594809742e-17	3.923069811318007e-16	4.288366756294255e-18	7.762223449575081e-16	8.152151153046144e-18	1.3267688216051338e-15	1.5044875179977627e-17	9.785994747891397e-16	8.160248995159335e-18	nan	nan	1.520886565101714e-14	6.479560130791636e-16	1.0539394723150032e-14	4.3601197959000926e-16	1.8592458995149186e-14	7.023435388619162e-16
