MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55991.17649998556	7.818134558492727e-16	9.601966883392239e-17	3.710450189778586e-16	2.203920658810182e-17	6.291673355872831e-16	3.782715585167155e-17	9.121382377836795e-16	5.719841902589246e-17	3.5875850498627304e-16	2.0994068112545668e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.22649998556	8.157455441241187e-16	9.306501368110445e-17	3.8653254681426316e-16	2.274724121508633e-17	6.551373865949926e-16	3.8952469367210944e-17	9.497430005659026e-16	5.883118740575637e-17	3.7352858633832287e-16	2.161329578244416e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.276499985564	8.502016109593915e-16	9.038498172906864e-17	4.0212361958242043e-16	2.3437100389326356e-17	6.813108481501217e-16	4.0046791264332996e-17	9.876658497126697e-16	6.041483137786292e-17	3.88416225705563e-16	2.221627709218512e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.32649998557	8.851879577674212e-16	8.821569032259287e-17	4.17821980305611e-16	2.4109520354385348e-17	7.076949455157091e-16	4.111225221038654e-17	1.0259177870309344e-15	6.195340099365296e-17	4.03425629290141e-16	2.2804223436199775e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.37649998557	9.207109607207469e-16	8.680140753789161e-17	4.3363137215837827e-16	2.4765352900933562e-17	7.342969043354173e-16	4.215114599261691e-17	1.064509815182646e-15	6.345119186031773e-17	4.185610034969568e-16	2.3378429209911272e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.42649998557	9.567768317740089e-16	8.63658770873201e-17	4.495555384891478e-16	2.5405547148921546e-17	7.611239506684228e-16	4.316590178588887e-17	1.1034529377246543e-15	6.491270167610854e-17	4.338265549483947e-16	2.3940256715697358e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.476499985576	9.933852208588751e-16	8.694875177959566e-17	4.65598222821402e-16	2.6031134311122882e-17	7.88183311016553e-16	4.4159059297784885e-17	1.1427581591069183e-15	6.63425896460862e-17	4.492264904761816e-16	2.4491122461097786e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.52649998558	1.0305285235579126e-15	8.83861882042513e-17	4.817631688550499e-16	2.6643214611066442e-17	8.154822123017311e-16	4.513324576624394e-17	1.1824364847228992e-15	6.774563742295475e-17	4.647650171547275e-16	2.5032484386416743e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.57649998558	1.0681988315270064e-15	9.048129498426243e-17	4.980541204835387e-16	2.7242945768323293e-17	8.430278818987517e-16	4.6091154144286623e-17	1.2224988995754556e-15	6.912669955627813e-17	4.804461528159106e-16	2.5565750546905426e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.626499985585	1.1063883096765565e-15	9.303648564049844e-17	5.14474821783956e-16	2.7831532554854037e-17	8.708270329230117e-16	4.703529367375213e-17	1.262953587683043e-15	7.048922528115134e-17	4.962719318695702e-16	2.6091519509486477e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.67649998559	1.1450891947842595e-15	9.587079696813337e-17	5.310290170321836e-16	2.8410217130030177e-17	8.988826709329941e-16	4.796655679945237e-17	1.3038031711567014e-15	7.183380838887537e-17	5.122432060402628e-16	2.6609912337030717e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.72649998559	1.1842937941158495e-15	9.882950466271242e-17	5.477204503069869e-16	2.8980269712933337e-17	9.271961769514065e-16	4.888514092329807e-17	1.3450496167538118e-15	7.316073854352607e-17	5.283608115045672e-16	2.7121062513642755e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.77649998559	1.2239944840533618e-15	1.0178775074583071e-16	5.645521900995174e-16	2.9542715815796406e-17	9.5576892559626e-16	4.9791271478281114e-17	1.386694892260948e-15	7.447035449959905e-17	5.446255846949259e-16	2.7625124868545625e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
