MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_i'	sdss_i'_err	sdss_r	sdss_r_err	sdss_r'	sdss_r'_err	sdss_u	sdss_u_err	sdss_u'	sdss_u'_err	sdss_z	sdss_z_err
55102.300979909865	5.326938215161446e-16	8.866708181571102e-17	nan	nan	3.606982540138823e-16	2.610966771596109e-17	nan	nan	4.75566050905132e-16	3.260535614405652e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.35097990987	5.432908213508055e-16	8.85145791903303e-17	nan	nan	3.6865618241294e-16	2.6020712519684785e-17	nan	nan	4.856225152309108e-16	3.2745205777356653e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.40097990987	5.539709614332218e-16	8.835736856213158e-17	nan	nan	3.7663427275867325e-16	2.5933982367170834e-17	nan	nan	4.957403350343031e-16	3.2875408693747313e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.450979909874	5.64735491027219e-16	8.819437231905943e-17	nan	nan	3.846328942507403e-16	2.5849223298882617e-17	nan	nan	5.059201903958134e-16	3.299595006652933e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.50097990988	5.755856606314637e-16	8.802455805182495e-17	nan	nan	3.926524161069284e-16	2.5766187754159064e-17	nan	nan	5.161627615041317e-16	3.310682689981238e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.55097990988	5.865227219968506e-16	8.78469381392002e-17	nan	nan	4.0069320754801996e-16	2.5684634807519855e-17	nan	nan	5.264687286576535e-16	3.32080475885075e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.60097990988	5.975479281456528e-16	8.766056923478583e-17	nan	nan	4.087556378129001e-16	2.5604330377429646e-17	nan	nan	5.368387722763314e-16	3.329963151644464e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.650979909886	6.086625333895009e-16	8.746455167097094e-17	nan	nan	4.16840076149203e-16	2.552504740675863e-17	nan	nan	5.472735728864812e-16	3.338160869610697e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.70097990989	6.19867793346895e-16	8.725802879395888e-17	nan	nan	4.2494689181980182e-16	2.5446566011317574e-17	nan	nan	5.577738111358232e-16	3.3454019437952694e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.75097990989	6.311649649627765e-16	8.704018624322207e-17	nan	nan	4.33076454101915e-16	2.5368673614892876e-17	nan	nan	5.68340167784063e-16	3.351691405623826e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.800979909895	6.425553065245154e-16	8.681025118753908e-17	nan	nan	4.4122913227636077e-16	2.529116505391689e-17	nan	nan	5.789733237161099e-16	3.357035259999943e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.8509799099	6.540400776829957e-16	8.656749152838805e-17	nan	nan	4.494052956493902e-16	2.5213842658878216e-17	nan	nan	5.896739599305291e-16	3.361440461079837e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.9009799099	6.656205394685454e-16	8.631121508094484e-17	nan	nan	4.576053135319573e-16	2.5136516322031677e-17	nan	nan	6.004427575497225e-16	3.3649148905371734e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55102.9509799099	6.772979543100992e-16	8.604076874177876e-17	nan	nan	4.65829555252935e-16	2.505900354396372e-17	nan	nan	6.112803978173453e-16	3.367467337920568e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.000979909906	6.890735860540644e-16	8.575553765118796e-17	nan	nan	4.740783901529933e-16	2.498112946372898e-17	nan	nan	6.221875620996735e-16	3.369107482897486e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.05097990991	7.009486999807978e-16	8.5454944357944e-17	nan	nan	4.82352187585676e-16	2.4902726872815768e-17	nan	nan	6.331649318887949e-16	3.369845879348839e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.10097990991	7.129245628259747e-16	8.513844799257036e-17	nan	nan	4.906513169232602e-16	2.4823636220038244e-17	nan	nan	6.442131888020014e-16	3.3696939408989065e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.150979909915	7.250024427950413e-16	8.480554345555522e-17	nan	nan	4.989761475409921e-16	2.4743705597555866e-17	nan	nan	6.553330145834601e-16	3.36866392796966e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.20097990992	7.371836095846514e-16	8.44557606253518e-17	nan	nan	5.073270488525829e-16	2.4662790724157304e-17	nan	nan	6.6652509110315e-16	3.36676893589847e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.25097990992	7.494693344005776e-16	8.40886635911951e-17	nan	nan	5.157043902571088e-16	2.4580754913183645e-17	nan	nan	6.777901003646111e-16	3.364022884102354e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.30097990992	7.618608899741875e-16	8.370384991498315e-17	nan	nan	5.241085411882753e-16	2.4497469038800052e-17	nan	nan	6.891287245002341e-16	3.360440506187332e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.35097990993	7.743595505828582e-16	8.33009499257524e-17	nan	nan	5.325398710866978e-16	2.4412811489409345e-17	nan	nan	7.005416457717161e-16	3.3560373406455246e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.40097990993	7.869665920675214e-16	8.28796260506589e-17	nan	nan	5.409987494102009e-16	2.4326668120862703e-17	nan	nan	7.120295465762909e-16	3.350829722161389e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.45097990993	7.99683291851804e-16	8.243957218530459e-17	nan	nan	5.494855456388369e-16	2.4238932204462588e-17	nan	nan	7.235931094462723e-16	3.3448347730313644e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.500979909935	8.1251092895889115e-16	8.1980513106486e-17	nan	nan	5.580006292568621e-16	2.4149504368973668e-17	nan	nan	7.352330170466241e-16	3.338070395174439e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.55097990994	8.254507840323038e-16	8.150220393009784e-17	nan	nan	5.66544369769289e-16	2.40582925477825e-17	nan	nan	7.469499521813404e-16	3.330555261689651e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.60097990994	8.385041393513974e-16	8.100442961703348e-17	nan	nan	5.751171367027007e-16	2.396521191440056e-17	nan	nan	7.587445940256279e-16	3.322308708693947e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.650979909944	8.51672278853801e-16	8.048700452933424e-17	nan	nan	5.837192995937961e-16	2.3870184828573858e-17	nan	nan	7.706174911973338e-16	3.3133473664122135e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.70097990995	8.649564881499591e-16	7.994977203932756e-17	nan	nan	5.923512279996621e-16	2.3773140778007422e-17	nan	nan	7.825690311903092e-16	3.303684354240267e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.75097990995	8.78358054544183e-16	7.939260419464245e-17	nan	nan	6.0101329148786915e-16	2.3674016318102765e-17	nan	nan	7.94599591677794e-16	3.2933333074407075e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.80097990995	8.918782670526071e-16	7.881540144126975e-17	nan	nan	6.097058596560975e-16	2.3572755021107943e-17	nan	nan	8.067095504709958e-16	3.282308662525626e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.850979909956	9.055184164212805e-16	7.821809240809692e-17	nan	nan	6.1842930210363e-16	2.3469307422072995e-17	nan	nan	8.1889928552820685e-16	3.270625678799535e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55103.90097990996	9.192797951453984e-16	7.76006337557305e-17	nan	nan	6.27183988455314e-16	2.336363097058114e-17	nan	nan	8.311691749496369e-16	3.258300460061159e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
