MJD	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56604.45000000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.901623882961717e-16	4.1300120565509957e-17	6.600627740452248e-16	9.574714367327295e-17	nan	nan	nan	nan	nan	nan	4.016873618487514e-16	7.285266310327326e-18
56604.500000000175	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.137832039605651e-16	4.2412138686056296e-17	6.87523552476645e-16	9.798090780818578e-17	nan	nan	nan	nan	nan	nan	4.1753345576281264e-16	7.370457865658354e-18
56604.55000000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.378236289474723e-16	4.3555361949993767e-17	7.15624198949617e-16	1.0035413363368967e-16	nan	nan	nan	nan	nan	nan	4.3358436456334576e-16	7.491018039902469e-18
56604.60000000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.622810130756171e-16	4.473967278429404e-17	7.443751866658009e-16	1.0291275553658393e-16	nan	nan	nan	nan	nan	nan	4.498326575834053e-16	7.656516827214024e-18
56604.65000000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.871530654462757e-16	4.5959606768500014e-17	7.737905837406952e-16	1.0563482442488129e-16	nan	nan	nan	nan	nan	nan	4.662754272684098e-16	7.861970392735797e-18
56604.700000000186	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.124375982766216e-16	4.7205934079622614e-17	8.0388549483112515e-16	1.0848049163934923e-16	nan	nan	nan	nan	nan	nan	4.829108978071104e-16	8.098095248145888e-18
56604.75000000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.381324414404328e-16	4.8469824133341524e-17	8.346752110399505e-16	1.114105554090459e-16	nan	nan	nan	nan	nan	nan	4.997372946678197e-16	8.355484133680975e-18
56604.80000000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.642354423616942e-16	4.9743134052665485e-17	8.661752138262813e-16	1.1438825989622272e-16	nan	nan	nan	nan	nan	nan	5.167528445848373e-16	8.625309870023784e-18
56604.850000000195	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.90744465908589e-16	5.101860981952709e-17	8.984011789572428e-16	1.173805287256289e-16	nan	nan	nan	nan	nan	nan	5.339557755485238e-16	8.899762704596954e-18
56604.9000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.176573942876913e-16	5.229001787960676e-17	9.313689805019096e-16	1.2035874685522698e-16	nan	nan	nan	nan	nan	nan	5.51344316791321e-16	9.172278991376582e-18
56604.9500000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.449721269395135e-16	5.3552222861830896e-17	9.650946948685675e-16	1.2329920073650078e-16	nan	nan	nan	nan	nan	nan	5.689166987774207e-16	9.437628249696035e-18
56605.000000000204	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.726865804336498e-16	5.4801224357747476e-17	9.995946048858352e-16	1.2618327072742875e-16	nan	nan	nan	nan	nan	nan	5.866711531887856e-16	9.691915360866603e-18
56605.05000000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.007986883653899e-16	5.603416290388836e-17	1.0348852039287796e-15	1.289974492905477e-16	nan	nan	nan	nan	nan	nan	6.046059129152223e-16	9.932538164316926e-18
56605.10000000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.293064012520717e-16	5.724930272898081e-17	1.0709832000906799e-15	1.3173323833130754e-16	nan	nan	nan	nan	nan	nan	6.227192120420234e-16	1.0158125383660357e-17
56605.15000000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.582076864307472e-16	5.844599661007323e-17	1.1079055204015208e-15	1.3438696143847704e-16	nan	nan	nan	nan	nan	nan	6.41009285836799e-16	1.0368467928901806e-17
56605.200000000215	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	9.875005279556732e-16	5.962463637726639e-17	1.1456693150938213e-15	1.3695951256792248e-16	nan	nan	nan	nan	nan	nan	6.594743707373216e-16	1.0564448316843488e-17
56605.25000000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.017182926496913e-15	6.078659119893426e-17	1.1842919619171588e-15	1.3945605183416883e-16	nan	nan	nan	nan	nan	nan	6.781127043434222e-16	1.0747967373510278e-17
56605.30000000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0472528992392258e-15	6.193413473398561e-17	1.2237910705017149e-15	1.4188565116906538e-16	nan	nan	nan	nan	nan	nan	6.969225253977439e-16	1.0921863717935369e-17
56605.350000000224	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0777084797813e-15	6.307036150842959e-17	1.264184486772261e-15	1.4426088724830891e-16	nan	nan	nan	nan	nan	nan	7.159020737829066e-16	1.108981922626762e-17
56605.40000000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.108547718036056e-15	6.419909242250326e-17	1.3054902974132507e-15	1.4659737591722495e-16	nan	nan	nan	nan	nan	nan	7.350495905022598e-16	1.125624251853118e-17
56605.45000000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1397686801309894e-15	6.53247690834664e-17	1.347726834385988e-15	1.489132411174785e-16	nan	nan	nan	nan	nan	nan	7.543633176693488e-16	1.1426122615852311e-17
56605.50000000023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1713694483091627e-15	6.645233665895502e-17	1.3909126794989142e-15	1.5122851185765858e-16	nan	nan	nan	nan	nan	nan	7.738414985010259e-16	1.1604846489100184e-17
56605.550000000236	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2033481208307027e-15	6.758711512977374e-17	1.4350666690318729e-15	1.5356444293989274e-16	nan	nan	nan	nan	nan	nan	7.934823772971919e-16	1.1797977548337325e-17
56605.60000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.235701650488454e-15	6.873288041470924e-17	1.4802017064531338e-15	1.5593527114630462e-16	nan	nan	nan	nan	nan	nan	8.132839583681424e-16	1.2009465062736708e-17
56605.65000000024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.268422360289169e-15	6.988643642905445e-17	1.5263061890392321e-15	1.583252600800476e-16	nan	nan	nan	nan	nan	nan	8.332432828103268e-16	1.2236878947213779e-17
56605.700000000244	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3015014272740818e-15	7.104302225330703e-17	1.5733625796365011e-15	1.607115864516947e-16	nan	nan	nan	nan	nan	nan	8.533571516941234e-16	1.2476163007500543e-17
56605.75000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3349300435052184e-15	7.21981976966392e-17	1.6213535923245155e-15	1.6307244482105736e-16	nan	nan	nan	nan	nan	nan	8.736223671133968e-16	1.2723393493477031e-17
56605.80000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3686994156659245e-15	7.334792701677813e-17	1.6702621861714074e-15	1.6538752343518818e-16	nan	nan	nan	nan	nan	nan	8.940357321549073e-16	1.2974952751825839e-17
56605.85000000025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4028007646614624e-15	7.448864273179005e-17	1.7200715590417463e-15	1.676383597697623e-16	nan	nan	nan	nan	nan	nan	9.145940508885865e-16	1.3227655986779652e-17
56605.900000000256	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4372253252200572e-15	7.561729252710434e-17	1.7707651414553486e-15	1.698085966081937e-16	nan	nan	nan	nan	nan	nan	9.352941283393773e-16	1.3478839134145261e-17
56605.95000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.4719643454948339e-15	7.673137192501685e-17	1.8223265904956445e-15	1.7188415771598103e-16	nan	nan	nan	nan	nan	nan	9.561327704629226e-16	1.3726416143873193e-17
56606.00000000026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5070090866657987e-15	7.782894500396752e-17	1.874739783766069e-15	1.7385335964488523e-16	nan	nan	nan	nan	nan	nan	9.771067841317896e-16	1.3968913080487935e-17
56606.050000000265	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5423508225421381e-15	7.890865506412585e-17	1.92798881339315e-15	1.7570697335911686e-16	nan	nan	nan	nan	nan	nan	9.982129771099431e-16	1.420548502170518e-17
56606.10000000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5779808391654233e-15	7.996972675686084e-17	1.982057980074781e-15	1.774382465063766e-16	nan	nan	nan	nan	nan	nan	1.0194481580290432e-15	1.4435920096458372e-17
56606.15000000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6138904344127305e-15	8.101196084585534e-17	2.0369317871721954e-15	1.7904289443908942e-16	nan	nan	nan	nan	nan	nan	1.040809136371224e-15	1.4660633447366195e-17
56606.20000000027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6500709176004508e-15	8.20357224542205e-17	2.0925949348443485e-15	1.8051906561651592e-16	nan	nan	nan	nan	nan	nan	1.0622927224451884e-15	1.4880652507079916e-17
56606.25000000028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6865136090879867e-15	8.304192338088586e-17	2.1490323142232238e-15	1.8186728482082531e-16	nan	nan	nan	nan	nan	nan	1.0838957273645312e-15	1.509759381770342e-17
56606.30000000028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7232098398826132e-15	8.403199884158158e-17	2.2062290016286642e-15	1.8309037569889064e-16	nan	nan	nan	nan	nan	nan	1.105614963025859e-15	1.531363072521849e-17
56606.35000000028	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7601509512439376e-15	8.500787880755585e-17	2.264170252821308e-15	1.8419336248100342e-16	nan	nan	nan	nan	nan	nan	1.1274472420911649e-15	1.5531450636592814e-17
56606.400000000285	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.7973282942888915e-15	8.597195397476997e-17	2.3228414972923535e-15	1.8518334930965643e-16	nan	nan	nan	nan	nan	nan	1.1493893779614921e-15	1.575420021496332e-17
56606.45000000029	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.834733229597327e-15	8.692703630014503e-17	2.382228332588611e-15	1.8606937442602887e-16	nan	nan	nan	nan	nan	nan	1.1714381847564716e-15	1.5985416887765216e-17
56606.50000000029	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8723571268176582e-15	8.787631398919166e-17	2.442316518671555e-15	1.868622355102919e-16	nan	nan	nan	nan	nan	nan	1.1935904772975077e-15	1.6228945462686106e-17
56606.550000000294	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9101913642724854e-15	8.882330080490754e-17	2.5030919723090924e-15	1.8757428177222193e-16	nan	nan	nan	nan	nan	nan	1.215843071078605e-15	1.6488839433249798e-17
56606.6000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9482257940782528e-15	8.977078076648287e-17	2.5645303044660045e-15	1.8821525981211968e-16	nan	nan	nan	nan	nan	nan	1.2381925301336964e-15	1.6768332209138964e-17
56606.6500000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.986444138210351e-15	9.07177728358156e-17	2.6265654398956842e-15	1.8878043279815925e-16	nan	nan	nan	nan	nan	nan	1.2606344106615223e-15	1.7067012899688042e-17
