MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55830.31000000011	nan	nan	nan	nan	nan	nan	7.11629748042575e-17	2.1226286071246205e-18	nan	nan	8.717919274310106e-17	1.1935144138436543e-17	8.757864572482802e-18	7.909979541481311e-18	2.660973531395506e-17	1.0080858638579426e-17	1.617436133249149e-17	9.240565589524287e-18	7.222550925736543e-17	1.0523577414752493e-18
55830.36000000011	nan	nan	nan	nan	nan	nan	7.647807872008193e-17	2.2418121299587954e-18	nan	nan	9.373223695328383e-17	1.261300680960651e-17	9.410837288109645e-18	8.351855013461991e-18	2.859854640580583e-17	1.0647598734746771e-17	1.7381668925615093e-17	9.758775743472764e-18	7.761354462864419e-17	1.111285275061188e-18
55830.41000000011	nan	nan	nan	nan	nan	nan	8.185430119545968e-17	2.360313567614278e-18	nan	nan	1.0036235484921487e-16	1.3286947947519792e-17	1.0071436608665386e-17	8.791184365856888e-18	3.061016604357965e-17	1.1211107041515643e-17	1.8602908621693015e-17	1.0274014528593414e-17	8.306406870563249e-17	1.169874081620381e-18
55830.460000000116	nan	nan	nan	nan	nan	nan	8.728903832037183e-17	2.4781729006781273e-18	nan	nan	1.070656027478861e-16	1.395721426914612e-17	1.0739331579562578e-17	9.228120788857442e-18	3.2643609575514214e-17	1.1771573090153669e-17	1.98374905385037e-17	1.078645744075502e-17	8.857443092532168e-17	1.2281443825958536e-18
55830.51000000012	nan	nan	nan	nan	nan	nan	9.277993908402734e-17	2.5954259423233706e-18	nan	nan	1.1383850307743634e-16	1.4624026800132715e-17	1.1414220658858047e-17	9.662800532069956e-18	3.469799279885061e-17	1.2329166074136931e-17	2.1084879563430078e-17	1.1296261829252873e-17	9.41422142996204e-17	1.286114254175832e-18
55830.56000000012	nan	nan	nan	nan	nan	nan	9.832486376242935e-17	2.7121049635144993e-18	nan	nan	1.2067796855898354e-16	1.5287582757663963e-17	1.2095827912956709e-17	1.0095345766783276e-17	3.6772514613000575e-17	1.2884038242411648e-17	2.2344586794028417e-17	1.180356928635547e-17	9.976520700430878e-17	1.3437998837937767e-18
55830.610000000124	nan	nan	nan	nan	nan	nan	1.0392185184440866e-16	2.828239191635162e-18	nan	nan	1.275812398957085e-16	1.5948058136515992e-17	1.2783899947599511e-17	1.0525866595561825e-17	3.88664439205194e-17	1.3436327374525901e-17	2.361616300260909e-17	1.2308508044686842e-17	1.0544137230084095e-16	1.4012159730431039e-18
55830.66000000013	nan	nan	nan	nan	nan	nan	1.0956909684800942e-16	2.9438551998564226e-18	nan	nan	1.3454583519993011e-16	1.6605610389310793e-17	1.347820331454825e-17	1.0954462757251988e-17	4.097910922767969e-17	1.3986158879009815e-17	2.4899193423461794e-17	1.2811194286583281e-17	1.1116882922516975e-16	1.458375752480105e-18
55830.71000000013	nan	nan	nan	nan	nan	nan	1.152649262891023e-16	3.0589772371719222e-18	nan	nan	1.4156950808574842e-16	1.726038098048192e-17	1.4178522240516637e-17	1.1381224876963569e-17	4.310989038737901e-17	1.4533647278145247e-17	2.6193293550370467e-17	1.3311734047170024e-17	1.1694583365862707e-16	1.5152913417759265e-18
55830.76000000013	nan	nan	nan	nan	nan	nan	1.2100778553046305e-16	3.1736275027283115e-18	nan	nan	1.4865021304165189e-16	1.791249766085532e-17	1.4884656822846986e-17	1.1806235917532905e-17	4.525821215695985e-17	1.5078897563880222e-17	2.74981057544881e-17	1.3810224178383867e-17	1.227707650601738e-16	1.571973734446628e-18
55830.810000000136	nan	nan	nan	nan	nan	nan	1.2679622446743078e-16	3.287826384419213e-18	nan	nan	1.5578607701772905e-16	1.8562076392303826e-17	1.5596421258434477e-17	1.222957189403036e-17	4.742353875564083e-17	1.562200623098857e-17	2.8813296379324604e-17	1.4306753560122426e-17	1.286421121566801e-16	1.6284330760568567e-18
55830.86000000014	nan	nan	nan	nan	nan	nan	1.3262888652971906e-16	3.4015926578698903e-18	nan	nan	1.6297537556919904e-16	1.9209222997865475e-17	1.6313642481853085e-17	1.2651302708697031e-17	4.9605369493114894e-17	1.6163062271573295e-17	3.013855340895685e-17	1.480140398593377e-17	1.3455846342626706e-16	1.6846786494408678e-18
55830.91000000014	nan	nan	nan	nan	nan	nan	1.385044993384881e-16	3.514943665741085e-18	nan	nan	1.7021651289992336e-16	1.9854034572469565e-17	1.703615885207415e-17	1.3071492975071605e-17	5.1803235100694146e-17	1.6702147921652635e-17	3.1473584374223137e-17	1.5294250980909623e-17	1.405184973385219e-16	1.7407190524441446e-18
55830.960000000145	nan	nan	nan	nan	nan	nan	1.4442186680141234e-16	3.627895470223804e-18	nan	nan	1.7750800519395042e-16	2.0496600601057827e-17	1.7763819105166026e-17	1.3490202307886353e-17	5.401669472163437e-17	1.723933947308546e-17	3.2818114541524214e-17	1.5785364387657772e-17	1.4652097342828952e-16	1.7965622490062187e-18
55831.01000000015	nan	nan	nan	nan	nan	nan	1.5037986222535945e-16	3.740462983187108e-18	nan	nan	1.8484846681021686e-16	2.113700392638768e-17	1.8496481327453797e-17	1.3907486425879753e-17	5.62453330987798e-17	1.7774707664984206e-17	3.417188544372698e-17	1.6274809147954726e-17	1.5256472722475205e-16	1.852215620453115e-18
55831.06000000015	nan	nan	nan	nan	nan	nan	1.5637742239817547e-16	3.852660085453629e-18	nan	nan	1.922365982052892e-16	2.177532153541931e-17	1.923401217292119e-17	1.4323396954092097e-17	5.84887584907748e-17	1.8308318526146093e-17	3.553465346598762e-17	1.6762645689533908e-17	1.5864866111682642e-16	1.9076860370513998e-18
55831.11000000015	nan	nan	nan	nan	nan	nan	1.6241354228841361e-16	3.964499726424041e-18	nan	nan	1.9967117617706984e-16	2.2411625205071046e-17	1.997628597703336e-17	1.473798193431009e-17	6.074660054490853e-17	1.884023353690391e-17	3.690618864896438e-17	1.724893026413866e-17	1.6477174028948153e-16	1.9629799009009654e-18
55831.160000000156	nan	nan	nan	nan	nan	nan	1.6848727044991333e-16	4.075994014281706e-18	nan	nan	2.071510451548395e-16	2.3045982070331127e-17	2.072318422988982e-17	1.5151286541433343e-17	6.301850862748226e-17	1.93705102458594e-17	3.8286273621320073e-17	1.7733715607605457e-17	1.70932987305495e-16	2.018103218493133e-18
55831.21000000016	nan	nan	nan	nan	nan	nan	1.7459770485181582e-16	4.187154293764895e-18	nan	nan	2.1467511020465698e-16	2.367845511999808e-17	2.1474594853727835e-17	1.556335300498844e-17	6.530415019320712e-17	1.989920262037896e-17	3.967470257570238e-17	1.821705108050838e-17	1.7713147790284127e-16	2.073061608469801e-18
55831.26000000016	nan	nan	nan	nan	nan	nan	1.8074398920121668e-16	4.2979912154834895e-18	nan	nan	2.222423307037803e-16	2.430910353600624e-17	2.223041173617686e-17	1.5974220886315924e-17	6.76032094950334e-17	2.0426361215956488e-17	4.107128050673597e-17	1.8698983065278307e-17	1.8336633522912475e-16	2.1278603681841285e-18
55831.310000000165	nan	nan	nan	nan	nan	nan	1.8692530954977974e-16	4.408514797460641e-18	nan	nan	2.2985171526434997e-16	2.4937983103346287e-17	2.299053426095544e-17	1.6383927580727054e-17	6.99153862267609e-17	2.095203369253084e-17	4.247582231171584e-17	1.9179555059391638e-17	1.8963672768817546e-16	2.1825044160897663e-18
55831.36000000017	nan	nan	nan	nan	nan	nan	1.9314089132881912e-16	4.518734477414946e-18	nan	nan	2.375023170565822e-16	2.556514645548004e-17	2.375486681682927e-17	1.679250812363657e-17	7.224039447572389e-17	2.147626490626814e-17	4.388815215445662e-17	1.965880822891021e-17	1.9594186570994237e-16	2.2369984694033993e-18
55831.41000000017	nan	nan	nan	nan	nan	nan	1.9938999655314068e-16	4.6286591637051776e-18	nan	nan	2.4519323012756774e-16	2.6190643329486602e-17	2.4523318452347357e-17	1.7199995713810532e-17	7.457796158440519e-17	2.199909721199828e-17	4.530810277422229e-17	2.0136781285211672e-17	2.0228099792993708e-16	2.291346911144888e-18
55831.460000000174	nan	nan	nan	nan	nan	nan	2.0567192137250899e-16	4.738297276037015e-18	nan	nan	2.529235860561657e-16	2.681452085324791e-17	2.5295802588122127e-17	1.7606421672972027e-17	7.692782733296676e-17	2.2520570599944526e-17	4.673551487703519e-17	2.061351093223688e-17	2.086534082022536e-16	2.34555392663918e-18
55831.51000000018	nan	nan	nan	nan	nan	nan	2.1198599373578894e-16	4.8476567863554744e-18	nan	nan	2.6069255107082295e-16	2.7436823695634773e-17	2.6072236570543927e-17	1.8011815645682363e-17	7.928974291795479e-17	2.3040722986208274e-17	4.8170236652842184e-17	2.1089031772563977e-17	2.1505841361982533e-16	2.3996234672608792e-18
55831.56000000018	nan	nan	nan	nan	nan	nan	2.1833157134056446e-16	4.956745250377442e-18	nan	nan	2.68499323855438e-16	2.8057594265307907e-17	2.6852541519609173e-17	1.8416205828728766e-17	8.166347027794171e-17	2.355959027189641e-17	4.961212318627432e-17	2.1563376797186435e-17	2.2149536229155617e-16	2.4535592702767055e-18
55831.61000000018	nan	nan	nan	nan	nan	nan	2.247080397070533e-16	5.065569841687603e-18	nan	nan	2.7634313331400644e-16	2.8676872875052406e-17	2.7636641997722806e-17	1.8819618822872568e-17	8.404878116980726e-17	2.4077206539962465e-17	5.1061036066489613e-17	2.2036577132282772e-17	2.2796363049426943e-16	2.507364884962716e-18
55831.660000000185	nan	nan	nan	nan	nan	nan	2.311148104142132e-16	5.1741373780108696e-18	nan	nan	2.8422323686160447e-16	2.929469787559129e-17	2.8424465847296404e-17	1.9222080021982403e-17	8.644545668736391e-17	2.4593604193971457e-17	5.2516842892897637e-17	2.2508662523543617e-17	2.344626226032431e-16	2.561043701144733e-18
55831.71000000019	nan	nan	nan	nan	nan	nan	2.375513194722707e-16	5.28245434688348e-18	nan	nan	2.9213891912439555e-16	2.991110580397104e-17	2.921594388896198e-17	1.962361359210286e-17	8.885328640702534e-17	2.5108814087633762e-17	5.397941693076858e-17	2.297966116018552e-17	2.409917670632596e-16	2.6145989246977712e-18
