MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57652.80000000016	3.214271194077149e-16	9.239785734684143e-18	nan	nan	nan	nan	2.5419271389045294e-16	5.2142439247112574e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.850000000166	3.3507228812865314e-16	9.502835476039719e-18	nan	nan	nan	nan	2.6504714525618244e-16	5.2053053589697045e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.90000000017	3.4896370821572347e-16	9.763342654552627e-18	nan	nan	nan	nan	2.760601375375821e-16	5.1928822248151905e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57652.95000000017	3.6309829385778136e-16	1.0024253359009602e-17	nan	nan	nan	nan	2.8722492380094e-16	5.190361957425523e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.000000000175	3.77472962871614e-16	1.028879629950393e-17	nan	nan	nan	nan	2.9853473822272905e-16	5.212347257824195e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.05000000018	3.9208463665461825e-16	1.0560347778914686e-17	nan	nan	nan	nan	3.099828160469114e-16	5.273565699970791e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.10000000018	4.069304205707742e-16	1.0841315485473187e-17	nan	nan	nan	nan	3.2156360698829683e-16	5.383996246084665e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.15000000018	4.2200814520380317e-16	1.1130133548155404e-17	nan	nan	nan	nan	3.332764155818536e-16	5.537831363444259e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.200000000186	4.373158250258522e-16	1.1424244303459449e-17	nan	nan	nan	nan	3.4512176078953386e-16	5.7243947558695565e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.25000000019	4.528514779350555e-16	1.1721172290533122e-17	nan	nan	nan	nan	3.571001625448208e-16	5.932860479087007e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.30000000019	4.686131252243602e-16	1.2018599993720245e-17	nan	nan	nan	nan	3.6921214175543723e-16	6.153213640409205e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.350000000195	4.845987915509027e-16	1.2314420257846945e-17	nan	nan	nan	nan	3.814582203077529e-16	6.376784047085692e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.4000000002	5.008065049061463e-16	1.2606770187479314e-17	nan	nan	nan	nan	3.938389210681123e-16	6.5964645872120874e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.4500000002	5.172342965848344e-16	1.2894050795499203e-17	nan	nan	nan	nan	4.0635476789058763e-16	6.8067386651116025e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.500000000204	5.338802011545775e-16	1.3174935945777609e-17	nan	nan	nan	nan	4.190062856171382e-16	7.00361253732474e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.55000000021	5.507422564261614e-16	1.3448373373624685e-17	nan	nan	nan	nan	4.317940000822306e-16	7.184512795671181e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.60000000021	5.678185034215464e-16	1.3713579873310522e-17	nan	nan	nan	nan	4.447184381183611e-16	7.348180963009302e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.65000000021	5.851069863457635e-16	1.3970032137573242e-17	nan	nan	nan	nan	4.577801275574897e-16	7.494578348553857e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.700000000215	6.026057525547014e-16	1.421745424105376e-17	nan	nan	nan	nan	4.709795972353948e-16	7.62480290420496e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.75000000022	6.203128525256054e-16	1.4455802372215423e-17	nan	nan	nan	nan	4.843173769952307e-16	7.741012983644874e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.80000000022	6.382263398273422e-16	1.4685247119367544e-17	nan	nan	nan	nan	4.977939976923073e-16	7.846348589627977e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.850000000224	6.563442710891406e-16	1.4906153400165987e-17	nan	nan	nan	nan	5.114099911970637e-16	7.94483784161074e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.90000000023	6.746647059711528e-16	1.5119057971724853e-17	nan	nan	nan	nan	5.251658903978828e-16	8.041274722182039e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57653.95000000023	6.931857071344872e-16	1.5324644358968384e-17	nan	nan	nan	nan	5.390622292069326e-16	8.141054134092991e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.00000000023	7.119053402106895e-16	1.552371499486193e-17	nan	nan	nan	nan	5.53099542562025e-16	8.249952773489187e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.050000000236	7.308216737711825e-16	1.5717160353633543e-17	nan	nan	nan	nan	5.672783664309171e-16	8.373850307894206e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.10000000024	7.499323394740183e-16	1.5905485985030893e-17	nan	nan	nan	nan	5.815989935891363e-16	8.516786856032729e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.15000000024	7.692332125511601e-16	1.608747346132329e-17	nan	nan	nan	nan	5.960607409403924e-16	8.675918464566146e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.200000000244	7.887197312213069e-16	1.6261515531963325e-17	nan	nan	nan	nan	6.106626821924486e-16	8.846546727765445e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
