MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57261.55280000002	nan	nan	nan	nan	nan	nan	nan	nan	3.046713871454547e-15	2.848354177629841e-17	nan	nan	1.2589343029895321e-15	6.831100522136577e-18	2.096502227628355e-15	9.497837662951586e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.60280000002	nan	nan	nan	nan	nan	nan	nan	nan	3.1948815932349147e-15	3.0093730683242395e-17	nan	nan	1.3133588824329897e-15	7.210056963961886e-18	2.1893091185177377e-15	1.0018755276941883e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.652800000025	nan	nan	nan	nan	nan	nan	nan	nan	3.338191974946607e-15	3.162759547728796e-17	nan	nan	1.3662657784137863e-15	7.575144972343745e-18	2.2790765762954463e-15	1.0514560616694897e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.70280000003	nan	nan	nan	nan	nan	nan	nan	nan	3.476688473183619e-15	3.308663214285761e-17	nan	nan	1.4176639041930487e-15	7.925369292931838e-18	2.36582364297809e-15	1.0985779805663351e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.75280000003	nan	nan	nan	nan	nan	nan	nan	nan	3.610432699414976e-15	3.447370582217629e-17	nan	nan	1.4675632006732616e-15	8.260474892134654e-18	2.4495693303900067e-15	1.1433986156886857e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.802800000034	nan	nan	nan	nan	nan	nan	nan	nan	3.739486121739766e-15	3.5793546494897247e-17	nan	nan	1.5159735937490102e-15	8.580806533727844e-18	2.53033463719181e-15	1.1861431142963144e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.85280000004	nan	nan	nan	nan	nan	nan	nan	nan	3.863911302662908e-15	3.705225512830666e-17	nan	nan	1.5629049943702258e-15	8.887180593636855e-18	2.6081711950998088e-15	1.2269315835579268e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.90280000004	nan	nan	nan	nan	nan	nan	nan	nan	3.983798051490664e-15	3.8254265292307726e-17	nan	nan	1.6083672991163344e-15	9.18078414337037e-18	2.6831544603353197e-15	1.2658055542487078e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57261.95280000004	nan	nan	nan	nan	nan	nan	nan	nan	4.09926286134774e-15	3.940223775120477e-17	nan	nan	1.6523749911070124e-15	9.462772341768943e-18	2.7553604888334595e-15	1.3028488245166878e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.002800000046	nan	nan	nan	nan	nan	nan	nan	nan	4.210423214588428e-15	4.04996940803451e-17	nan	nan	1.6949584812710106e-15	9.733423922733854e-18	2.8248653086407825e-15	1.338187849604275e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.05280000005	nan	nan	nan	nan	nan	nan	nan	nan	4.317396463508208e-15	4.155107259751511e-17	nan	nan	1.7361516166621297e-15	9.992988784174551e-18	2.8917449206765356e-15	1.3719881324541118e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.10280000005	nan	nan	nan	nan	nan	nan	nan	nan	4.4202998338536996e-15	4.256164268088418e-17	nan	nan	1.7759882303856286e-15	1.0241920188530642e-17	2.9560752996259014e-15	1.4044498673501175e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.152800000054	nan	nan	nan	nan	nan	nan	nan	nan	4.519252323246232e-15	4.353658999215356e-17	nan	nan	1.8145021419450855e-15	1.048086522207019e-17	3.0179323988559123e-15	1.4358025064085225e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
